name,lat,lng,province,city,district,adderss,street_id,telephone,detail,uid
浪淘沙网咖,39.746291,116.149251,北京市,北京市,房山区,北京市房山区拱辰大街12号楼,,,1,c5f448a26b081b6a5d0d02e5
白夜网咖(网娱店),39.735877,116.148136,北京市,北京市,房山区,北京市房山区拱辰南大街19号,,,1,9af2a64a868b473cfa0cade3
金苹网吧台球,39.735045,116.141686,北京市,北京市,房山区,北京市房山区西潞南大街甲8号,,,1,e3c60a26cb4599a0acee7a41
亿龙缘网络会所,39.734819,116.1267,北京市,北京市,房山区,月华南大街10号,e505128b4c136abfc51b7508,,1,e505128b4c136abfc51b7508
逍遥游网咖,39.72914,116.162714,北京市,北京市,房山区,北京市房山区长虹东路10号,343c467292daabae04026f45,,1,343c467292daabae04026f45
学悦网咖,39.732286,116.142133,北京市,北京市,房山区,西潞街道西潞南大街14号梦艺主题酒店二层,19021bcd5ceea07738e4a607,,1,19021bcd5ceea07738e4a607
北京金运佳乐网吧,39.732833,116.14751,北京市,北京市,房山区,良乡五街罗府家园1号,19fe6a4e54db08a4e8e582c1,(010)69385878,1,19fe6a4e54db08a4e8e582c1
昊衡网吧,39.738145,116.148142,北京市,北京市,房山区,北京市房山区拱辰大街181号麦当劳楼上,1ae1b3bde9c7f803b21e36e9,13521794365,1,7d72171c9dec38cfc61b7512
海龙网咖,39.741734,116.146821,北京市,北京市,房山区,北京市房山区良乡北关西路朝晖大厦3楼,,"(010)86935661,(010)69382899",1,230d4076396d2057b5147f9e
世纪创艺网咖,39.732365,116.14209,北京市,北京市,房山区,北京市房山区西潞南大街甲14号国大写字楼东北门,c1e24b375e3465926b49f3ec,(010)89358630,1,c1e24b375e3465926b49f3ec
网鱼网咖(良乡大学城店),39.729029,116.167788,北京市,北京市,房山区,长虹东路荷园东街1号院申宝大厦2层,0172a6170c84cee51f38949c,,1,0172a6170c84cee51f38949c
SummerNight网咖,39.72905,116.17759,北京市,北京市,房山区,北京市房山区书院南街12号院3号楼201-202-203室,794ffe8ec2f62864eb12e46e,,1,794ffe8ec2f62864eb12e46e
北京龙腾网吧,39.727315,116.284647,北京市,北京市,大兴区,北京市大兴区黄村镇北京航空旅游专修学院西门,bdd263986245a94e4d2fdf40,,1,2c46873f606cfd4bc7f02521
电玩城网吧,39.759115,116.295759,北京市,北京市,大兴区,黄村芦城黄鹅路昕睿宾馆2层,7b6cb01fffe86578c16c1408,,1,7b6cb01fffe86578c16c1408
快乐网咖,39.742785,116.349216,北京市,北京市,大兴区,北京市大兴区黄村富强路2号时代龙和北门,e8a739913191fac5095cb3d9,15010995655,1,e8a739913191fac5095cb3d9
世纪网安,39.734579,116.338658,北京市,北京市,大兴区,北京市大兴区黄村镇兴华大街67号,6d148d5b4fe117b72e4733e5,,1,6d148d5b4fe117b72e4733e5
学海网吧(清源北路店),39.751649,116.340081,北京市,北京市,大兴区,清源北路12号,e603e47ef44c796a1e58009b,(010)69209674,1,e603e47ef44c796a1e58009b
北京联圣奇上网服务有限公司,39.728587,116.342961,北京市,北京市,大兴区,北京市大兴区黄村林校北路21号,4ea3f2f1b1c72cb3afcb66bf,13240115111,1,4ea3f2f1b1c72cb3afcb66bf
博文网城(三中西巷),39.738663,116.337821,北京市,北京市,大兴区,兴华大街中段27号,68e456ad325defd2a8175a51,,1,68e456ad325defd2a8175a51
百联兴华网咖,39.755582,116.340557,北京市,北京市,大兴区,北京市大兴区兴华北路二段78号院-53号,2f26e550418f8cd401294f59,(010)69205493,1,2f26e550418f8cd401294f59
新干线网吧,39.728002,116.357715,北京市,北京市,大兴区,北京市大兴区海北路11-4号,7b2b35507dbbeaf554bfff29,(010)69298606,1,7b2b35507dbbeaf554bfff29
电玩网咖,39.75545,116.340536,北京市,北京市,大兴区,北京市大兴区兴华北路物美超市附近,c867876abd8128dcbd484294,(010)69205493,1,c867876abd8128dcbd484294
e网情网吧,39.719101,116.353516,北京市,北京市,大兴区,黄安路8号,a69ed34b7f6793090869d9df,,1,a69ed34b7f6793090869d9df
世先锋网吧,39.742485,116.35857,北京市,北京市,大兴区,黄村镇团河路69号2层,198fc963ce2bbf44d92f2884,,1,198fc963ce2bbf44d92f2884
新开心网吧,39.737199,116.347775,北京市,北京市,大兴区,北京市大兴区黄村东大街56号楼帝园鞋城3层,80169b61c94f725deedfcafb,,1,80169b61c94f725deedfcafb
天和隆网吧,39.734233,116.349311,北京市,北京市,大兴区,市场路139号二层(建设银行旁),ebc8359638f54d95ebe5820b,13520902111,1,ebc8359638f54d95ebe5820b
监控网络,39.741842,116.350641,北京市,北京市,大兴区,北京市大兴区黄村东里8号楼5单元101,3f6c1cf8ad91a28cf42310d5,,1,3f6c1cf8ad91a28cf42310d5
盛唐网咖(竞技时空店),39.816107,116.161103,北京市,北京市,丰台区,北京市丰台区云岗西路12-3号附近,03bf6bf075e3912a74026987,,1,03bf6bf075e3912a74026987
星空网咖,39.813139,116.19524,北京市,北京市,丰台区,北京市丰台区云岗路朱家坟188号(华冠超市隔壁),,18701036606,1,d1ec185ae9f17da12cfaa751
鹏博网咖,39.780447,116.227496,北京市,北京市,房山区,北京市房山区天泰新景温泉家园18号楼2层01-01,,17665485210,1,2134061bef7cd2a0157643ce
北京东方网盛网咖,39.791724,116.291877,北京市,北京市,大兴区,黄村地区狼垡四村八条1号,1ae5963ae3926f18bbbd63f2,,1,1ae5963ae3926f18bbbd63f2
绿色经典网吧,39.780019,116.341384,北京市,北京市,大兴区,北京市大兴区郁花园二里小区(兴丰大街西),8541e79df560d866c42ba1e3,,1,f520d163a5136f3a047ce8ca
十指飞扬网吧,39.776763,116.34136,北京市,北京市,大兴区,北京市大兴区兴丰大街双流兔头诚一锅2楼,f8f71070e774b602d22dd6cd,,1,f8f71070e774b602d22dd6cd
博旺网城,39.798701,116.346077,北京市,北京市,大兴区,西红门北一街一号院5号楼,f7f40831de49870f5a3ac8c5,,1,f7f40831de49870f5a3ac8c5
鸿源鑫网咖,39.763733,116.317845,北京市,北京市,大兴区,北京市大兴区康庄路53号院8号楼,0ae40e0a05ecf1decf06a458,,1,0ae40e0a05ecf1decf06a458
静慧诚网城,39.764696,116.357618,北京市,北京市,大兴区,北京市大兴区金苑路14号2层,52d9465503c2f6a8f6c59c5e,,1,52d9465503c2f6a8f6c59c5e
欣宇亚伟网城,39.806224,116.340178,北京市,北京市,丰台区,北京市丰台区京良路10号c座3楼,bebed7112af99c059122e097,,1,bebed7112af99c059122e097
四海畅通网吧,39.833938,116.214766,北京市,北京市,丰台区,长辛店大街39号,a4f6309f4cfb4878b5147f71,,1,a4f6309f4cfb4878b5147f71
泰天通网吧,39.844711,116.256385,北京市,北京市,丰台区,丰西北里98号,a27db123f281f1fe9868b4ce,(010)51222356,1,a27db123f281f1fe9868b4ce
北京双璐潞通网吧,39.865064,116.258737,北京市,北京市,丰台区,北京市丰台区卢沟桥路356号,90a3f9da9caa8ffb1b11d5cd,,1,90a3f9da9caa8ffb1b11d5cd
