name,lat,lng,province,city,district,adderss,street_id,telephone,detail,uid
汉斯特自助烤肉(良乡店),39.741124,116.148233,北京市,北京市,房山区,拱辰大街53号大厦5楼,34f45bd40c552dbd38e4a608,(010)57155740,1,34f45bd40c552dbd38e4a608
北京好伦哥餐饮有限公司良乡店,39.741872,116.14438,北京市,北京市,房山区,北京市房山区北关西路20号伟业商厦2层,fe515e81e94f01503c9a5e8e,(010)60350767,1,fe515e81e94f01503c9a5e8e
肯德基(良乡长虹东路餐厅),39.7301,116.16443,北京市,北京市,房山区,拱辰街道东羊庄村18号一层,8d3049d87e237c2822f017fd,(010)89377615,1,8d3049d87e237c2822f017fd
很久前烤串坊(长虹店),39.732409,116.143023,北京市,北京市,房山区,良乡五街157号,4877b85d0148a6612806ceff,(010)69367748,1,4877b85d0148a6612806ceff
洪顺斋老太太烧饼店,39.724182,116.157155,北京市,北京市,房山区,北京市房山区良乡拱辰大街常舜嘉苑5号楼,12855d5432d14e1e266e987f,13661141972,1,12855d5432d14e1e266e987f
吉野家(良乡西潞店),39.735865,116.14306,北京市,北京市,房山区,北京市房山区良乡西潞南大街5号同方写字楼项目1层,68032d6198ebe088b4265587,(010)69360992,1,68032d6198ebe088b4265587
星巴克(北关西路店),39.741642,116.145599,北京市,北京市,房山区,房山区良乡北关西路14号华冠购物中心一层,371602792ae707fc38e4a666,(010)69384187,1,371602792ae707fc38e4a666
肯德基(良乡西潞大街餐厅),39.736491,116.142068,北京市,北京市,房山区,良乡西潞南大街1号中大瑞祥内,ca03c2909863479b13293518,,1,ca03c2909863479b13293518
麦当劳(政通路DT餐厅),39.753561,116.154316,北京市,北京市,房山区,政通路2号院内,e758bdafd12a998976e5b668,(010)89356674,1,e758bdafd12a998976e5b668
铁瓷涮肉(良乡店),39.736688,116.131526,北京市,北京市,房山区,良乡西路30号1层(华亚医院对面),9d080263822679928505bf69,(010)69366870,1,9d080263822679928505bf69
呷哺呷哺(国泰百货店),39.736591,116.149033,北京市,北京市,房山区,北京市房山区拱辰南大街6号国泰百货F5层,4a4429f755b1cbb2c72ba1f0,(010)69363992,1,4a4429f755b1cbb2c72ba1f0
味多美(良乡店),39.730086,116.164382,北京市,北京市,房山区,北京市房山区拱辰街道长虹东路东羊庄村18号,e6ee2fd2e2bbe8512a11d1e8,(010)89377458,1,e6ee2fd2e2bbe8512a11d1e8
蝎王府(良乡店),39.748169,116.148862,北京市,北京市,房山区,北京市房山区良乡拱辰大街2号5幢,73d69f265d89a4cb8bfc06b4,(010)60305393,1,73d69f265d89a4cb8bfc06b4
庆丰包子铺(良乡大学城店),39.730075,116.16489,北京市,北京市,房山区,北京市房山区长虹东路良乡玉竹园小区南侧,a5ef680fc900a2ceb8df8ff5,(010)89377620,1,a5ef680fc900a2ceb8df8ff5
重庆老火锅(长虹店),39.732178,116.142973,北京市,北京市,房山区,房山良乡西潞南大街17号(金天乐KTV旁),03fa1da6d6402e2925d2bbbe,(010)69366765,1,03fa1da6d6402e2925d2bbbe
魏家凉皮(瑞城店),39.736346,116.14826,北京市,北京市,房山区,拱辰南大街1号1层110-1,96f8a7cc9c322139601809f7,"(010)53387679,(010)60350678",1,96f8a7cc9c322139601809f7
美薇婷婚礼主题餐厅,39.744009,116.142948,北京市,北京市,房山区,北京市房山区良乡西潞北大街83号,7a546baf60a9bb7bb1077d77,(010)69367999,1,7a546baf60a9bb7bb1077d77
天天美食城自助火锅,39.741356,116.146752,北京市,北京市,房山区,北京市房山区华冠购物中心东门楸树街53号大厦后天天美食城2楼2号,c99f47b40455338701294f7d,18888841920,1,c99f47b40455338701294f7d
金手勺(文化路店),39.738604,116.15158,北京市,北京市,房山区,良乡文化路21号院1号楼,,(010)59450499,1,c62f2bdcfe18b725f8dc854b
门框胡同百年卤煮(良乡分店),39.741779,116.142881,北京市,北京市,房山区,拱辰街道西潞北大街41号慧丽鑫大厦,32248684d6e41c2b2902e19c,18516822996,1,32248684d6e41c2b2902e19c
滩羊铺子(行宫店),39.752916,116.153561,北京市,北京市,房山区,行宫小区南门龙达园南侧,aee9b6443b20b6b8e115f955,"(010)89356382,13161516035",1,aee9b6443b20b6b8e115f955
当家院饭店,39.72387,116.155834,北京市,北京市,房山区,北京市房山区良官路瑞雪春堂2里9号楼,,(010)66166617,1,21d9482cdf6b61a283a00c14
玉林串串香(良乡西潞园店),39.740927,116.142387,北京市,北京市,房山区,北京市房山区西潞北大街24号,da64c046d7cffa188c55ec1f,15010738581,1,da64c046d7cffa188c55ec1f
功德福(太平庄店),39.738593,116.125498,北京市,北京市,房山区,北京市房山区太平庄南路,33fbfa83035b25d80bf5eb03,"(010)89358999,(010)89359999",1,33fbfa83035b25d80bf5eb03
渡娘火锅(良乡店),39.741841,116.143061,北京市,北京市,房山区,北京市房山区北关西路47号,,"(010)57739230,18519889922",1,f56245b7b91129e270210b45
麦当劳(西潞南大街餐厅),39.736884,116.143198,北京市,北京市,房山区,良乡镇西潞南大街1号楼绿缘商城一层,1981a30b3836a8b61288242b,(010)60354399,1,1981a30b3836a8b61288242b
老诚一锅(良乡南关店),39.730144,116.147276,北京市,北京市,房山区,拱辰南大街嘉瑞通小区4-4号,4642844a92fff3c0c9fa5fca,(010)69361548,1,1e9176177a4c5cf926e0a095
洋森餐厅,39.731712,116.143025,北京市,北京市,房山区,北京市房山区良乡西潞南大街21号,480b24d066a962e89cec2b1b,(010)69376886,1,480b24d066a962e89cec2b1b
味多美(拱辰大街店),39.741869,116.148157,北京市,北京市,房山区,北京市房山区拱辰大街西侧拱辰大厦一层,ec5683a524a20e511df74d3c,(010)69369502,1,ec5683a524a20e511df74d3c
洋森餐厅(大学城店),39.729839,116.164633,北京市,北京市,房山区,北京市房山区长虹东路9号,,(010)63341355,1,34ef69fb4e8e48c74d2fdff7
虾吃虾涮(良乡店),39.742352,116.143396,北京市,北京市,房山区,良乡镇北秀街68号北关西路与西潞北大街交叉口东北角(美廉美超市对么),ea8f30c07e40b1242bd7ab08,"(010)53646885,13910441765",1,df9b2b0ae6be0fea0b1cc749
鑫隆四季涮肉(房山店),39.752918,116.142155,北京市,北京市,房山区,良乡政通西路2号楼,231169138abe93e4734b871f,13582201820,1,231169138abe93e4734b871f
鑫旗园烤鸭店(行宫店),39.753599,116.152941,北京市,北京市,房山区,北京市房山区政通路2号院22号,ef0fd45727d8be4579dbd2ef,(010)61378181,1,ef0fd45727d8be4579dbd2ef
呷哺呷哺(良乡华冠店),39.741533,116.145455,北京市,北京市,房山区,北京市房山区北关西路14号华冠购物中心B1层,c5ddcc086f3518dfd8131867,(010)69362497,1,c5ddcc086f3518dfd8131867
京都蝎府(良乡店),39.732026,116.142066,北京市,北京市,房山区,北京市房山区西潞南大街乙14号,1164ab66ed24923715c905c5,(010)57039737,1,1164ab66ed24923715c905c5
晋大碗刀削面川湘菜馆(苏庄店),39.734865,116.129828,北京市,北京市,房山区,苏庄大街10附近,7885844b5d375a457369d374,(010)56039919,1,7885844b5d375a457369d374
稻香村(良乡店),39.740136,116.148872,北京市,北京市,房山区,北京市房山区良乡拱辰大街94号底商,6c92358bf6a8b9ba41d63e31,(010)69378980,1,7eed8f6e94420a053586f4b6
庆丰包子铺(良乡店),39.73857,116.142837,北京市,北京市,房山区,北京市房山区西潞北大街西潞东里小区,,(010)69366390,1,dcfd9abf137f81bab13c819e
功德福饭庄(拱辰店),39.736684,116.148089,北京市,北京市,房山区,良乡拱辰南大街5号,cd9d05dd651408af84420ead,(010)69382888,1,cd9d05dd651408af84420ead
鲜芋仙(华冠购物中心店),39.741061,116.145974,北京市,北京市,房山区,北京市房山区良乡秋树街38号华冠购物中心F5,4319b81e42f4d2bd71455b70,(010)59482497,1,4319b81e42f4d2bd71455b70
味多美(苏庄地铁店),39.729472,116.129704,北京市,北京市,房山区,北京市房山区良乡苏庄长虹西路共创大厦一层三角地,ce548da3cde5c2e96e20b93c,(010)53031244,1,ce548da3cde5c2e96e20b93c
私奔(阎村店),39.729575,116.106087,北京市,北京市,房山区,北京市房山区阎村镇前阎村路汇海中医医院北30米,,"13910386947,18611760190",1,eacee141676819a2ac080fe9
龙岗酒楼(南上岗街),39.745311,116.110902,北京市,北京市,房山区,良乡镇南上岗村金鸽园南区1号,5c56edd668ef4043a0d230ee,,1,5c56edd668ef4043a0d230ee
金香源烤鸭店(苏庄店),39.732607,116.13055,北京市,北京市,房山区,北京市房山区苏庄大街9号,f3d67ef8ef645b06621c6792,(010)89370817,1,f3d67ef8ef645b06621c6792
海宴日式料理(苏庄店),39.735225,116.129183,北京市,北京市,房山区,良乡月华大街28号,ec4b9c14c3c86ac4f5c59c2b,(010)57127083,1,ec4b9c14c3c86ac4f5c59c2b
麦当劳(拱辰大街餐厅),39.738159,116.148077,北京市,北京市,房山区,良乡拱辰大街181号,d7fd2ad345b1fa4d0bccdd4a,(010)69377080,1,d7fd2ad345b1fa4d0bccdd4a
杨国福麻辣烫(西门店),39.736645,116.143057,北京市,北京市,房山区,北京市房山区良乡镇良乡中路与西潞南大街交叉口(美丫美百货一楼),0f5e2b15c3ac73c82ce67bdd,(010)60354392,1,0f5e2b15c3ac73c82ce67bdd
好利来(良乡西门店),39.736741,116.143097,北京市,北京市,房山区,北京市房山区良乡中路绿源商城1楼,,(010)89374060,1,d5a6f5e89135636e9cec2b1a
老五炖吊子卤煮火烧,39.736917,116.159685,北京市,北京市,房山区,拱辰街道办事处二街铁路东南39号,0358269e42086bedd7b74e43,18511577645,1,0358269e42086bedd7b74e43
爱上湘味,39.729732,116.144489,北京市,北京市,房山区,良乡长虹东路甲2号1层103号,,"(010)69361160,18901333070",1,f0f8f7d7f718bc99b6147f3d
李先生(北京良乡拱振大街餐厅),39.741214,116.148784,北京市,北京市,房山区,北京市房山区良乡拱辰大街拱辰家园1号楼(国美电器旁),610852113a1bf0b8c41b75f5,"(010)69377324,13683176812",1,610852113a1bf0b8c41b75f5
秋味稻(良乡店),39.741858,116.14504,北京市,北京市,房山区,良乡北关西路18号1幢1层101,e2552e8542a3011da5da39e2,(010)56271476,1,e2552e8542a3011da5da39e2
庆丰包子铺(良乡月华店),39.736666,116.131204,北京市,北京市,房山区,北京市房山区良乡月华大街32号,d8f17d74b64e53f6f60e77e3,(010)89372876,1,77e66777ec1204c2593ac8b7
呷哺呷哺(良乡中大瑞祥店),39.736768,116.14194,北京市,北京市,房山区,北京市房山区良乡西路2号中大瑞祥B1层,601cd26b1ac36fb1d72ce266,(010)69360422,1,601cd26b1ac36fb1d72ce266
吉祥馄饨(文化路店),39.737507,116.15087,北京市,北京市,房山区,北京市房山区良乡文化路15号(良乡小学对面),0ed20a1540b4938e56bfffa0,"(010)69366448,17778129147",1,0ed20a1540b4938e56bfffa0
老门框爆肚涮肉(良乡店),39.731379,116.142697,北京市,北京市,房山区,北京市房山区南大街21号,d89e1d6b6bb4dabaede4a5c6,(010)56465385,1,d89e1d6b6bb4dabaede4a5c6
肯德基(良乡家乐福餐厅),39.73793,116.149065,北京市,北京市,房山区,良乡地区拱辰大街家乐福首层北侧,,(010)52910062,1,629d075be7b563c629b97cae
好利来(良乡商场店),39.742559,116.148858,北京市,北京市,房山区,北京市房山区拱辰大街78号良乡商场1层,acdfbcd914be934feb56fa3a,(010)69368974,1,acdfbcd914be934feb56fa3a
青城草堂老火锅,39.730703,116.142836,北京市,北京市,房山区,北京市房山区西潞南大街21号,6f5a755233c6f38d8a36eed3,"(010)56335789,13651076190",1,6f5a755233c6f38d8a36eed3
都来顺(常庄店),39.722837,116.156954,北京市,北京市,房山区,北京市房山区良常路瑞雪春堂南门对面,7364f45bbb747b664f776eb3,(010)60330866,1,7364f45bbb747b664f776eb3
肯德基(良乡餐厅),39.741666,116.146045,北京市,北京市,房山区,北京市房山区良乡秋树街38号华冠购物中心1楼,51194d3420cbb815364aaed9,(010)69382641,1,51194d3420cbb815364aaed9
新辣道鱼火锅(华冠购物中心店),39.740897,116.145436,北京市,北京市,房山区,北京市房山区良乡秋树街38号华冠购物中心F5,26bb0269339b143be5073817,(010)60308600,1,26bb0269339b143be5073817
必胜客(良乡龙湖餐厅),39.751208,116.147976,北京市,北京市,房山区,北京市房山区政通南路2号院1号楼,,13611366574,1,c1a5e16351ac6b7c0d3dda96
田老师红烧肉(月华家园店),39.734925,116.127276,北京市,北京市,房山区,良乡月华南大街10号,022a7ed1e559b43a902ca319,"(010)69381668,4008507777",1,022a7ed1e559b43a902ca319
京东老味,39.735579,116.128535,北京市,北京市,房山区,北京市房山区苏庄北路西段东港渔村附近(靠近汉丽轩),8d79c9d4d8f8eaad3fe231d9,13910096905,1,8d79c9d4d8f8eaad3fe231d9
济州岛火炉烤肉(渔儿沟店),39.752815,116.142167,北京市,北京市,房山区,"政通西里2号楼(祥和居饺子馆附近,近鱼儿沟)",b624b9a741da2ba84251c06f,(010)89351269,1,b624b9a741da2ba84251c06f
老谢烧饼店,39.73294,116.151504,北京市,北京市,房山区,良乡南关东路3号楼3-102底商,2eb0038f92a8e8cc3586f423,13269583738,1,2eb0038f92a8e8cc3586f423
胜宴碳烤羊腿,39.732284,116.142854,北京市,北京市,房山区,北京市房山区良乡西路南大街15号,,18614052918,1,4f072d32c6769bbcf942b29c
乔顺祥酒楼,39.737062,116.124857,北京市,北京市,房山区,北京市房山区太平庄市场对面(美家窗帘布艺对面),,13520940545,1,d56337de14ba7e5d1b11d5ff
德克士(拱辰南大街店),39.736146,116.14825,北京市,北京市,房山区,良乡镇拱辰南大街瑞城广场1层,456f2856a14d4715fa42b28c,"(010)60357771,13301283255",1,456f2856a14d4715fa42b28c
晴川道日式料理(良乡店),39.732461,116.141977,北京市,北京市,房山区,北京市房山区西潞南大街国大写字楼1层14号,30614775187e409d8f1a89e7,15811141701,1,30614775187e409d8f1a89e7
西域克里木食府(渔儿沟店),39.753533,116.142153,北京市,北京市,房山区,北京市房山区政通路西里1号楼,e85e2527b9f4605395f08cfb,(010)89365220,1,e85e2527b9f4605395f08cfb
杨国福麻辣烫(华冠店),39.74128,116.147395,北京市,北京市,房山区,北京市房山区拱辰大街昊天广场天天美食城1层1号底商,38d57c08a5a2ad2b97ec846d,(010)56108620,1,38d57c08a5a2ad2b97ec846d
张亮麻辣烫(北关店),39.747568,116.14808,北京市,北京市,房山区,北京市房山区拱辰大街3号,6cfe62f77c6c785b0d3dda7a,,1,6cfe62f77c6c785b0d3dda7a
汇莱阁(繁华巷店),39.747327,116.157739,北京市,北京市,房山区,繁华巷9号(近北京电力设备总厂),,(010)80338860,1,28f4d763a88e01306e20b990
尚品西餐(北潞园店),39.746007,116.141202,北京市,北京市,房山区,北京市房山区良乡北潞园东门外商业街24号(京周路与良坨路交叉路口),,(010)89393688,1,d4085499729a330ac42ba116
峰味关东,39.753208,116.153301,北京市,北京市,房山区,北京市房山区龙达园2号院,dfeecc128702dd2e0969d959,"(010)61377558,15600812206",1,dfeecc128702dd2e0969d959
夏至味至音乐餐厅,39.742139,116.166045,北京市,北京市,房山区,北京市房山区良乡伟业嘉园北里往北100米,,17701030908,1,2857c794f1f75d0528201aa6
王婆大虾(良乡店),39.753672,116.153129,北京市,北京市,房山区,北京市房山区良乡政通路2号院22号,34b2839c30155deeb64f548c,(010)81313630,1,34b2839c30155deeb64f548c
大岩屋(良乡大角店),39.736188,116.14816,北京市,北京市,房山区,拱辰南大街1号瑞城广场五层(大岩屋),43d15f439774a0875d0d02ed,(010)57151768,1,43d15f439774a0875d0d02ed
老曹家驴肉,39.754574,116.161826,北京市,北京市,房山区,北京市房山区明源路5号,f28452fe3996407f2fb908de,13832227708,1,f28452fe3996407f2fb908de
小国龙虾烧烤(良乡中路店),39.737122,116.151563,北京市,北京市,房山区,良乡中路112号(良乡小学正门西行20米),34b77551ace8d1ea8bf15d00,18600990555,1,34b77551ace8d1ea8bf15d00
秋味稻(良乡二店),39.741342,116.148252,北京市,北京市,房山区,良乡拱辰大街11号科豪商厦二楼,1147f8924ae509a2118824d6,(010)56052570,1,1147f8924ae509a2118824d6
