,locations
0,大兴四合庄
1,南苑乡
2,王楼
3,辛集
4,桥梓
5,房山东大桥
6,裕龙五区
7,东明化学
8,辛庄户路口
9,朝阳医院
10,感化胡同
11,羊市口
12,燕郊冶金西区
13,矿桥东街居委会
14,北河漕胡同
15,大成里
16,郎西
17,后河
18,软件园南站
19,佟辛庄
20,炎黄艺术馆
21,铸造村社区
22,顺义新华书店
23,半壁店车站
24,铁西社区
25,塔山驾校
26,于家务村西口
27,西南次村
28,国门商务区
29,佃起村
30,夏霖园
31,苍上村
32,园田队村
33,栗树园一站
34,保温管厂
35,茶坞火车站
36,上方山云水洞西门
37,城北市场东门
38,不老屯镇政府
39,穿堂门胡同
40,沙坨南
41,林校北路
42,皋营村
43,古庄村
44,涧头大宫门
45,官庄道口
46,北庄头超市
47,碧桂园
48,青年路小区
49,汤河口总站
50,西沙屯
51,刘家窑第二社区
52,苗家胡同
53,长图治
54,月坛北街北站
55,良乡大学城西
56,西海子
57,大兴永合庄
58,密云丰各庄
59,遗光寺社区
60,良乡医院南
61,大东流社区
62,云岗北区西里
63,庄头北
64,圣星社区
65,东官坊
66,柳芳南里社区
67,云梯胡同
68,大稿北站
69,塔院
70,赵全营东
71,马家坟北口
72,唐大庄
73,中滩营村
74,十一号院社区
75,北堤寺村
76,针匠胡同
77,康安小区北门
78,高能所社区
79,独义村
80,南口村社区
81,东鑫街
82,朝丰家园
83,东白庙东口
84,永乐庄村
85,富源里
86,小海子村
87,小沙河
88,大石桥
89,向阳小区居委会
90,后沙涧路
91,世葡会博览园南门
92,佰富苑小区
93,西南章
94,府右街
95,南华南街
96,石槽村
97,南弓匠营胡同
98,北石渠
99,城角路社区
100,马连洼北路东口
101,丰汇园
102,西红门四村
103,鹿海园四里
104,玉皇阁
105,炮厂西小区
106,前八家庄
107,田村
108,大兴定福庄
109,一亩园
110,公益东桥东
111,南磨房地区
112,东口村
113,漷县镇
114,崔村镇人民政府
115,燕王庄村
116,小海子
117,葛布店
118,丽湖馨居
119,北辰东路北口
120,栗榛寨村
121,巴园子
122,西坝河北里
123,枪厂
124,姜家台
125,东安街头条号院社区
126,马家堡西里第三社区
127,袁庄
128,明光桥东
129,武圣北路
130,房山义和庄
131,昊腾家园
132,黄村西大街
133,车营儿
134,珠营
135,通州杨庄南口
136,南找子营
137,燕山建筑公司
138,密云白草洼
139,青春路南口
140,四中北口
141,天津
142,汤河
143,槐树岭社区
144,大兴长途汽车站
145,燕郊交通干部管理学院
