name,lat,lng,adderss,street_id,telephone,detail,uid
博安消防,39.843323,116.275736,花乡看丹路798号鹤童慈善老人院对面楼,ea0c46885cb6deb4260bd018,,1,ea0c46885cb6deb4260bd018
北京海岸青年公寓,39.815006,116.550126,北京市通州区科创五街798号金海投资大厦2-4层,,,1,132ff2f664bdea9cebe58270
观印象艺术发展有限公司,39.873259,116.492656,北京市朝阳区弘燕东路山水米兰国际商业街7号楼A01,efc0d3f81d52d1e6cc06a488,,1,efc0d3f81d52d1e6cc06a488
798家常菜串吧,39.89734,116.4674,垂杨柳北里4号楼(近双井美食街双井桥南路西胡同把口),eaef2a980efc2d8ae81e975d,(010)57192211,1,eaef2a980efc2d8ae81e975d
五洲源KTV,40.116387,116.217529,上庄镇上庄村798号,277a76b29f3db37c22026289,,1,277a76b29f3db37c22026289
停车场(798中二街),39.986616,116.500613,北京市朝阳区万红路5号30^-3附近,49b7639a0aafa533d8d891fc,,1,49b7639a0aafa533d8d891fc
北京798艺术区-南门,39.987752,116.501855,酒仙桥路4号,ea11d4444668c3015e0d023b,,1,ea11d4444668c3015e0d023b
798艺术足球场-西北门,39.985701,116.510391,万红路与驼房营路交叉口南100米,d2170d5ea53c25afcb213dc7,,1,d2170d5ea53c25afcb213dc7
便宜坊(酒仙桥798艺术区店),39.985542,116.495755,北京市朝阳区酒仙桥路13号苏宁电器大山子店3层,8ea1589978016281f7231005,"(010)64388550,(010)64388560",1,8ea1589978016281f7231005
纸飞机(GM798艺术区店),39.987596,116.501049,朝阳区万红路5号院蓝涛中心C栋101,dcf96846f44d15749222e00b,,1,dcf96846f44d15749222e00b
北京798艺术区-F区,39.988018,116.503555,北京市朝阳区酒仙桥路2号北京798艺术区内,bd3a87e3322a9c8c4c3a5958,,1,bd3a87e3322a9c8c4c3a5958
北京798艺术区-南1门,39.986963,116.505742,万红路与酒仙桥东路交叉口北50米,73a8076643fc6f774f6d46d4,,1,73a8076643fc6f774f6d46d4
七九八创新空间北京科技有限公司,39.962817,116.512348,将台路14号1号楼,620091f876e686c04151c0bb,,1,620091f876e686c04151c0bb
顺丰速运(北京朝阳七九八营业点),39.987721,116.501444,北京市朝阳区酒仙桥万红路5号蓝涛中心内,c5829387edf61ffc2e473349,(010)64388732,1,c5829387edf61ffc2e473349
汉庭酒店(酒仙桥798店),39.980656,116.495398,北京市朝阳区酒仙桥路13号,442076460e633672deee8b76,(010)64368880,1,442076460e633672deee8b76
