name,lat,lng,adderss,street_id,telephone,detail,uid
良乡影剧院,39.744383,116.147796,北京市房山区良乡拱辰大街31号,aa40108b9da6210cc4effbac,"(010)69352415,(010)69353905",1,aa40108b9da6210cc4effbac
良乡影剧院-停车场,39.744297,116.148152,北京市房山区拱辰大街,3f8bb8634ec479f6cf06a418,,1,3f8bb8634ec479f6cf06a418
良乡影剧院-南门,39.744457,116.148246,北京市房山区拱辰大街31附近,274daf9c59b96cc5eb12e4bc,,1,274daf9c59b96cc5eb12e4bc
良乡影剧院-售票处,39.744401,116.147926,北京房山区良乡拱辰大街31号,330c033bae1b986b12882482,(010)69352415,1,330c033bae1b986b12882482
良乡影剧院停车场-出入口,39.744366,116.148296,北京市房山区拱辰大街,cdc29239e271d20a30169b29,,1,cdc29239e271d20a30169b29
良乡影剧院站自行车租赁点,39.744779,116.148775,拱辰大街良乡影剧院对面,145dd9f1603ea22b5d17c366,,1,145dd9f1603ea22b5d17c366
滋牛韩式烤肉私人影院,39.728768,116.177142,书院南街12号院2号楼2层213,,15001008345,1,958eea16c79d8c075a3ac804
北京理工大学音乐厅,39.738317,116.178543,北京市房山区良乡东区十六号路与良乡东路交叉口西北角,fd01b786703c86d19e95de92,(010)81382088,1,fd01b786703c86d19e95de92
万像国际微影院(旭辉店),39.728653,116.177108,北京市房山区书院南街12号院旭辉E天地2号楼214,,17718365065,1,72bee2675b148cc11f389454
北京理工大学良乡校区北校区演艺厅,39.739515,116.178516,北京市房山区良乡高教园区良乡东路北京理工大学良乡校区,b5d310e47cb272de95ca07ca,,1,b5d310e47cb272de95ca07ca
聚影咖主题影院,39.73706,116.34544,北京市大兴区兴丰大街兴城商厦北边李先生四楼,,(010)69266883,1,6e00c9fe71f1d505601c674d
大兴影剧院,39.737429,116.343592,840路;947路;x105路;凤河营通勤班车;兴13路;兴14路;兴20路;兴22路;兴28路;兴37路;兴45路;兴46路;兴52路;兴54路;兴57路;兴59路,,,0,24eafa86a799f3519ee3218c
文化馆小剧场,39.738107,116.344478,北京市大兴区黄村西大街11号,92046d65b39b79669a0050ef,,1,92046d65b39b79669a0050ef
北京大兴剧院-南门,39.737596,116.344577,北京市大兴区黄村西大街15号,397925e9bb58a1fb1e1d1180,,1,397925e9bb58a1fb1e1d1180
北京大兴影剧院-地上停车场,39.737604,116.344523,北京市大兴区黄村西大街北京大兴剧院南门,b75bd6c9bda4d7d8932ca3a2,,1,b75bd6c9bda4d7d8932ca3a2
北京大兴剧院-北门,39.738745,116.344137,三中巷与育才北巷交叉口东100米,a7ff12cd38564ea9afee7ada,,1,a7ff12cd38564ea9afee7ada
聚影咖主题影院-停车场,39.737058,116.345438,兴丰大街3段157号,,,1,7ce7ecc7e3d0a8db44e2744e
停车场(北京大兴剧院南),39.736924,116.343912,黄村西大街15号,c0e58f72b280f749deee8ba3,,1,c0e58f72b280f749deee8ba3
大兴影剧院-地下停车场,39.73766,116.344496,大兴区黄村西大街15号(帝园商场西侧，少年宫东侧，公安局东侧),a6be7a156099b5c27bf79636,,1,a6be7a156099b5c27bf79636
北京大兴剧院-南1门,39.737657,116.34468,北京市大兴区黄村西大街15号,92166db1634b7d74a21de978,,1,92166db1634b7d74a21de978
大兴影剧院-自行车租赁点,39.737527,116.34399,黄村西大街5-2号附近,9414d5d37df8c09f0bccddc1,,1,9414d5d37df8c09f0bccddc1
梦想剧场,39.765142,116.168608,北京市房山区昊天大街,0486d21073d86de300ec01ab,,1,0486d21073d86de300ec01ab
悉尼歌剧院,39.815213,116.296875,北京市丰台区花乡丰葆路158号世界公园非洲景区内,20141a496626d5c49ff77903,,1,20141a496626d5c49ff77903
露天剧场,39.81668,116.295424,世界公园内,403b9e3d7a1349d8fb221310,,1,403b9e3d7a1349d8fb221310
贝酷5D影院(鸿坤广场),39.797857,116.346308,北京市大兴区宏福路鸿坤广场3层,b8e52b93be4419c73517dc1e,,1,b8e52b93be4419c73517dc1e
RBITER 7D动感影院,39.795254,116.333724,北京市大兴区西红门荟聚购物中心2层,1aee3c04c9337811336212ca,,1,1aee3c04c9337811336212ca
数字影院,39.794753,116.341587,北京市大兴区宏旭路,b36c3183aa6375d2adcb66fd,,1,b36c3183aa6375d2adcb66fd
北宫森林音乐厅,39.864727,116.127366,长辛店镇大灰厂东路55号北宫国家森林公园内,,,1,109a45374df4469dd618b75e
丰台青少年剧场,39.857948,116.290946,北京市丰台区丰台路86号,d219bb1d5444458bf50e7700,(010)63810206,1,d219bb1d5444458bf50e7700
艺术剧场,39.818962,116.294371,北京市丰台区花乡丰葆路158号世界公园欧洲景区内,e9c0c7678548f0e9d32dd6d9,,1,e9c0c7678548f0e9d32dd6d9
5D动感影院,39.818386,116.292618,北京市丰台区丰葆路158号世界公园游艺区内,b7b2e90405cbe5bc0d3dda4d,(010)83613344,1,b7b2e90405cbe5bc0d3dda4d
莱纳恒泰影院,39.872463,116.31259,北京市丰台区丰台北路18号恒泰广场6楼,59ac85e110f4b65a11882434,,1,59ac85e110f4b65a11882434
中国戏曲学院-小剧场,39.868718,116.338667,万泉寺400号院3,c484decad29af462bea2400b,(010)63339858,1,c484decad29af462bea2400b
乐创7d动感体验馆,39.847203,116.333563,纪家庙路168号秋实公寓1楼(花乡法院南侧),5ba45b295d4079413a04b1a2,13810479798,1,5ba45b295d4079413a04b1a2
五一剧场,39.923777,116.159341,石景山路以东,8fa14fc3eed9ca6ef7eafcdd,,1,8fa14fc3eed9ca6ef7eafcdd
五一剧场,39.927098,116.162652,专108路,,,0,0a5c2edbcd6e54eaaaf0cd3c
五一剧场路,39.923896,116.161745,北京市石景山区,,,0,091bed3a2e18d696f8f0cb9e
五一剧场南路,39.922308,116.158983,北京市石景山区,,,0,a516a3c8210ef240744ff198
首钢古城影剧院,39.919318,116.196513,北京市石景山区古城路小区46号院,f6d67d1444a9c9bad8eced3a,,1,f6d67d1444a9c9bad8eced3a
田老师（古城影院店）,39.916729,116.19891,石景山古城南路托儿所浴室1号楼第一号商铺,d52831f98d6982be2efaa74a,(010)68866047,1,d52831f98d6982be2efaa74a
古城剧场,39.921952,116.193131,399路内环;399路外环;597路;958路;快速直达专线111路;专108路,,,0,70bedf770e2e67054c554742
金鹏剧场,39.90721,116.229952,北京市石景山区鲁谷南路11号,3dc9befdddbe2217bfa240b7,(010)68654402,1,3dc9befdddbe2217bfa240b7
百姓大舞台,39.921843,116.201764,北京市石景山区八角北路19号楼附近,,,1,e504a79d59ea2439c42ba1e1
首钢古城影剧院-西门,39.919395,116.195674,北京市石景山区古城小街21号首钢艺术团附近,d84ca1b94511a1f73b221cc9,,1,d84ca1b94511a1f73b221cc9
首钢古城影剧院停车场-出入口,39.919234,116.195717,北京市石景山区古城小街,5e26cf2ee0407fcc364aae0c,,1,5e26cf2ee0407fcc364aae0c
首钢古城影剧院-停车场,39.919144,116.195853,古城小街17号附近,0e04e5ef20343ca204026f03,,1,0e04e5ef20343ca204026f03
CRD剧场-南门,39.919843,116.216962,北京市石景山区石景山路25号北京石景山游乐园西园内,84579592abbc113e02294fa5,,1,84579592abbc113e02294fa5
CRD剧场-北门,39.920127,116.216962,北京市石景山区石景山路25号北京石景山游乐园西园内,68f668dd60d51fc5715e80b4,,1,68f668dd60d51fc5715e80b4
M空间,39.916649,116.287127,北京市海淀区复兴路69号,6139b31ee5334d34c829157d,13810069797,1,6139b31ee5334d34c829157d
MAO Livehouse北京五棵松,39.916375,116.28377,海淀区复兴路69号院2号136-G23,ba848557b4b3e35e2a02e16c,,1,ba848557b4b3e35e2a02e16c
