name,lat,lng,adderss,street_id,telephone,detail,uid
良乡影院,39.744383,116.147796,北京市房山区良乡拱辰大街31号,aa40108b9da6210cc4effbac,"(010)69352415,(010)69353905",1,aa40108b9da6210cc4effbac
DMG国际影城(良乡店),39.735882,116.14813,北京市房山区拱辰南大街瑞城广场7层,8d29468a8f1c435032870a79,(010)69388300,1,8d29468a8f1c435032870a79
良乡影剧院停车场-出入口,39.744366,116.148296,北京市房山区拱辰大街,cdc29239e271d20a30169b29,,1,cdc29239e271d20a30169b29
北京市社区科普体验厅,39.740635,116.14077,北京市房山区西潞北大街附近,,,1,8d76be50d630527458109375
万像国际微影院(旭辉店),39.728653,116.177108,北京市房山区书院南街12号院旭辉E天地2号楼214,,17718365065,1,72bee2675b148cc11f389454
聚影咖主题影院,39.73706,116.34544,北京市大兴区兴丰大街兴城商厦北边李先生四楼,,(010)69266883,1,6e00c9fe71f1d505601c674d
乐糖影城(房山店),39.769015,116.220072,北京市房山区长阳镇长政南街长阳地铁京投港5F,32b9bb9bcd8510be9d95dee0,(010)50875258,1,32b9bb9bcd8510be9d95dee0
恐龙王国环球动感影城,39.817934,116.290914,北京市丰台区丰葆路158号世界公园内,df165c5f8366e56043e19201,(010)83613685,1,df165c5f8366e56043e19201
耀莱成龙国际影城(西红门店),39.796864,116.346897,北京市大兴区欣旺北大街8号鸿坤广场6层,35d0661c45a8a4bab6f42f47,(010)80255335,1,35d0661c45a8a4bab6f42f47
保利国际影城(北京缤纷城店),39.770376,116.340115,北京市大兴区兴华大街与金星西路交叉口东北角绿地缤纷城F4,5712002c8dc28fb4a1acc41f,,1,5712002c8dc28fb4a1acc41f
贝酷5D影院(鸿坤广场),39.797857,116.346308,北京市大兴区宏福路鸿坤广场3层,b8e52b93be4419c73517dc1e,,1,b8e52b93be4419c73517dc1e
RBITER 7D动感影院,39.795254,116.333724,北京市大兴区西红门荟聚购物中心2层,1aee3c04c9337811336212ca,,1,1aee3c04c9337811336212ca
POLYMAX,39.768721,116.343033,北京市大兴区金星西路3号绿地缤纷城4层,fea5072b6955a41cc9c3dbad,,1,fea5072b6955a41cc9c3dbad
数字影院,39.794753,116.341587,北京市大兴区宏旭路,b36c3183aa6375d2adcb66fd,,1,b36c3183aa6375d2adcb66fd
丰台影剧院,39.858148,116.290553,丰台区西四环南路86号,d59ac6389818cb0fdd1e5260,(010)63810206,1,d59ac6389818cb0fdd1e5260
3D魔幻迷城,39.81856,116.291045,花乡丰葆路158号世界公园游艺区3D魔幻迷城,8c0553848a38cf00b54f5402,,1,8c0553848a38cf00b54f5402
5D动感影院,39.818386,116.292618,北京市丰台区丰葆路158号世界公园游艺区内,b7b2e90405cbe5bc0d3dda4d,(010)83613344,1,b7b2e90405cbe5bc0d3dda4d
万达影城(丰台店),39.830488,116.304993,北京市丰台区丰科路6号院万达广场6层,42dc8d0d0a7310b52bd7ab47,(010)83890606-820,1,42dc8d0d0a7310b52bd7ab47
城市花园尊贵婚纱电影城(南三环店),39.856872,116.35514,丰台区南三环西路65号(玉泉营环岛东北角),7e536b0607358abe94f08cf6,(010)63575911,1,7e536b0607358abe94f08cf6
北京莱纳恒泰影城,39.872463,116.31259,北京市丰台区丰台北路18号恒泰广场6楼,59ac85e110f4b65a11882434,,1,59ac85e110f4b65a11882434
乐创7d动感体验馆,39.847203,116.333563,纪家庙路168号秋实公寓1楼(花乡法院南侧),5ba45b295d4079413a04b1a2,13810479798,1,5ba45b295d4079413a04b1a2
世界公园-电影院,39.818973,116.297371,丰葆路178号附近,f1bc2290770eeb737dc876be,,1,f1bc2290770eeb737dc876be
卧龙岗村数字影厅,39.895767,116.150564,西六环北宫路入口附近,b0793bb15066e640d23ce370,,1,b0793bb15066e640d23ce370
古城电影院(古城南路店),39.917377,116.197433,北京市石景山区古城南路15号,15e1e85ebc7d8abb591093a2,(010)68874790,1,15e1e85ebc7d8abb591093a2
首钢古城影剧院,39.919318,116.196513,北京市石景山区古城路小区46号院,f6d67d1444a9c9bad8eced3a,,1,f6d67d1444a9c9bad8eced3a
中影国际影城(千禧街店),39.896553,116.293455,北京市丰台区靛厂路千禧购物街4号楼F1-F3,4c41838487971d9a9e82eac9,"(010)88177970,(010)88177863",1,4c41838487971d9a9e82eac9
北京橙天嘉禾吉彩影城,39.928967,116.265715,北京市海淀区玉海园五里22号配套商业楼,90a3bbdf1eb1c713ddee8b6b,"(010)88268200,(010)88268201",1,90a3bbdf1eb1c713ddee8b6b
万达影城(石景山万达广场店),39.911722,116.232308,北京市石景山区石景山路乙18号万达广场F3层,69629062a7eccdd40682c2a4,(010)68663399,1,69629062a7eccdd40682c2a4
耀莱成龙国际影城5F-3号厅(卓展购物中心),39.920114,116.285631,五棵松桥北复兴路69号5层,27eb3654937a631b2bb97c4f,,1,27eb3654937a631b2bb97c4f
恒业影城北京IMAX店(北京银座和谐广场购物中心店),39.888412,116.303439,北京市丰台区万丰路68号银座和谐广场5层,f9f4738ea11220a83010af20,,1,f9f4738ea11220a83010af20
居然耀莱成龙影城,39.877979,116.315834,北京丰台区西三环南路甲27号居然之家5层,,(010)83733877,1,a135b4d8dd6bc072cd04ef77
大地影院(西城区晟嘉国际影城万方店),39.919328,116.347943,北京市西城区月坛南街30号万方西单商场东侧主楼2-3层,,"(010)68575080,(010)68579580",1,581db910eb1414c197ec84b9
中华世纪坛放映厅,39.917334,116.328165,复兴路甲9号中华世纪坛C段,65d16ae72f0d7f8cc3364471,(010)59802222,1,65d16ae72f0d7f8cc3364471
北京市西城区工人文化宫电影院,39.91937,116.349795,北京市西城区三里河月坛南街24号西城区工人文化宫三里河南一巷东,bf724a37cd69584f35b06c59,(010)68523343,1,bf724a37cd69584f35b06c59
小马厂社区科普体验厅,39.898162,116.348422,北京市西城区小马厂路1-4附近,,,1,57d72c2ac4eb327d1f38948a
北京北普陀影视城,39.740992,116.462461,北京市大兴区京福路南宫村,f1194770a29d949f4307c193,(010)69281556,1,f1194770a29d949f4307c193
百尚影城(百尚生活广场店),39.758815,116.551528,通州区马驹桥镇百尚生活广场3楼,dfa8e7269c0be8752fe67b76,15311968955,1,dfa8e7269c0be8752fe67b76
7D互动影院,39.816448,116.414963,北京市丰台区南苑路88号宝苑国际购物中心2层,df01185d2baf73da7dc8761b,,1,df01185d2baf73da7dc8761b
保利国际影城(北京万源店),39.809195,116.429842,北京市丰台区东高地街道万源北路36栋航天万源广场F5,a5097bfaca95a77af03cba53,(010)68198833,1,a5097bfaca95a77af03cba53
卢米埃北京住总万科影城,39.811544,116.466669,"北京市大兴区忠凉路1号院1号楼5,6层",6bf072a4cc4e011c9d95de3d,(010)50927566,1,6bf072a4cc4e011c9d95de3d
大地影院(通州米拉家园店),39.766089,116.551999,北京市通州区新海东路1号米拉广场7层,40b680748150bd2897ec841e,(010)80897925,1,40b680748150bd2897ec841e
CGV影城(亦庄店),39.796923,116.519104,北京市大兴区荣华南路大族广场三层F3-316号,eb7ce47be013ebe0843304dd,(010)67896008,1,eb7ce47be013ebe0843304dd
VC电影,39.788521,116.505892,亦庄地盛西路1号数码庄园B3-1,,,1,bc301d6260b17e7117b54bd0
