name,lat,lng,adderss,street_id,telephone,detail,uid
昊天假日酒店,39.749579,116.147486,北京市房山区良乡拱辰北大街1号,925c550f80570fab5a3ac80e,(010)89350800,1,925c550f80570fab5a3ac80e
米佳国际酒店,39.761364,116.166951,北京市房山区天星街1号院13号楼,,(010)81387858,1,0067b155066a3900deee8b9c
希岸轻雅酒店(北京良乡大学城店),39.737828,116.164458,北京市房山区良乡镇良乡东路伟业嘉园西侧150米,48333b4828c9c79f077ce804,(010)68820688,1,48333b4828c9c79f077ce804
速8酒店(北京良乡北关区政府店),39.756082,116.147327,北京市房山区良乡拱辰北大街33号,681e2585c3be57a3d12dd691,(010)81388058,1,681e2585c3be57a3d12dd691
德宝温泉会议中心,39.743448,116.156105,北京房山区良乡多宝路1号,bba87388f44850b9bca82207,(010)69375500,1,bba87388f44850b9bca82207
福星泉宾馆,39.741936,116.14705,北京市房山区北关西路朝晖大厦4层,11977725ff2cfbf096ec8433,(010)69351233,1,11977725ff2cfbf096ec8433
汉庭酒店(良乡西路店),39.737513,116.136864,北京市房山区良乡西路11号,14b4ba54d0ce0566b05c6a73,(010)89369199,1,14b4ba54d0ce0566b05c6a73
太平龙逸宾馆,39.738679,116.128312,北京市房山区良乡太平庄村1幢,8e64e68d7fe5dbcf130daa80,(010)89350111,1,8e64e68d7fe5dbcf130daa80
7天酒店(北京良乡大学城南关地铁站店),39.728943,116.150184,北京市房山区长虹东路良乡纸房村3号楼,d2e489bc8fa101a329d7ab83,(010)60357770,1,d2e489bc8fa101a329d7ab83
如家酒店(北京良乡西路店),39.73766,116.138977,北京市房山区良乡西路7号,b5e185befebf495030169b5c,(010)89368588,1,b5e185befebf495030169b5c
如家联盟酒店(华驿精选酒店北京良乡西路店),39.734709,116.142128,北京市房山区西潞南大街8号,3b06e9ed6ca2f56d17c8f6a9,(010)69364802,1,3b06e9ed6ca2f56d17c8f6a9
锦江之星酒店(北京良乡南关地铁站店),39.729813,116.149908,北京市房山区良乡镇南关村长虹东路6号(原运七酒店),b540fd0b54e622eb0bccdde2,(010)69385686,1,b540fd0b54e622eb0bccdde2
欧德丽尔酒店,39.736601,116.131423,良乡西路30号(庆丰包子铺旁),a8685a4f5a4aec30441a329a,(010)60339158,1,a8685a4f5a4aec30441a329a
北京梦园宾馆(政通西路),39.75377,116.141991,北京市房山区政通路西里1号楼三层,615777f00475e1d7f822133a,(010)51280123,1,615777f00475e1d7f822133a
尚品假日酒店,39.732395,116.148091,北京市房山区拱辰南大街91号,d083a7e5b616f444d23ce37a,(010)60350828,1,d083a7e5b616f444d23ce37a
速8酒店(北京良乡苏庄地铁站店),39.732848,116.13395,北京市房山区良乡镇苏庄东街9号,80353e293afa1a804307c1e7,(010)69379800,1,80353e293afa1a804307c1e7
北京隆港宾馆(运七酒店隆港店),39.72992,116.150006,北京市房山区长虹东路7号,61f634f6f00dec616b49f33f,(010)69389790,1,61f634f6f00dec616b49f33f
嘉悦程宾馆(房山良乡店),39.737899,116.150819,北京市房山区良乡中路新华书店后门,3ec8d601df599c9fe507389c,(010)69376930,1,3ec8d601df599c9fe507389c
99优选酒店(北京良乡南关地铁站店),39.731672,116.149101,北京市房山区拱辰街道拱辰南大街44号院1号楼,58db3b3088f5ee492b201ac9,(010)60343720,1,58db3b3088f5ee492b201ac9
速8酒店(北京良乡大学城店),39.72908,116.166312,北京市房山区长虹东路29号,0f7d826d81fe5b5478f796ca,(010)69382226,1,0f7d826d81fe5b5478f796ca
格林豪泰酒店(北京房山阎村东地铁店原大南郊汽配城店),39.727942,116.111826,北京市房山区良乡东沿村南路10号11幢(阎村东地铁站B口往南600米),57acf6dcf665dec643e192a2,(010)60307067,1,57acf6dcf665dec643e192a2
如家驿居酒店,39.73026,116.164397,北京市房山区拱辰街道东羊庄村18号-12,231593dff66f49ea40afe6b9,(010)60355556,1,231593dff66f49ea40afe6b9
龙城瑞豪宾馆,39.729743,116.144714,北京房山区良乡长虹东路甲2号,3a0fbba8609b93589fe321e5,(010)69367777,1,3a0fbba8609b93589fe321e5
艺恋主题酒店,39.731152,116.142933,北京市房山区良乡西潞南大街21号,6b357edd38e2e45bb320a88b,(010)69382952,1,6b357edd38e2e45bb320a88b
日日红宾馆,39.738703,116.15373,北京市房山区昊天大街91号,376e8914c23c1171c4f50d7b,(010)69375318,1,376e8914c23c1171c4f50d7b
北京蓝庭酒店,39.73015,116.165251,北京市房山区良乡大学城购物中心家家福购物中心东侧加油站背后,82b299382e667a90420245ce,(010)60330972,1,82b299382e667a90420245ce
如家联盟酒店(华驿精选酒店北京良乡南关店),39.732949,116.148139,北京市房山区拱辰南大街85号,,"(010)89360566,(010)80365200",1,12d40d0a1cfaf0fad9d891ac
影驿站考拉情侣主题酒店(良乡店),39.73802,116.142171,北京市房山区良乡西潞北大街西潞大厦3层,7e6ac60e5115d5b7364aaed8,(010)60305023,1,7e6ac60e5115d5b7364aaed8
运7酒店(北京良乡店),39.745897,116.148959,北京市房山区良乡拱辰大街12号,d305db1fb5ec6e27922ca380,(010)69373837,1,d305db1fb5ec6e27922ca380
梦忆主题酒店(良乡大学城店),39.732047,116.142128,北京市房山区西潞南大街14号,a2d763b9a2737d8f130daacb,(010)56260575,1,a2d763b9a2737d8f130daacb
鑫悦阳旅馆,39.728859,116.166793,北京市房山区长虹东路6号,18e9e1084f0d332bd23ce3e2,(010)69366658,1,18e9e1084f0d332bd23ce3e2
忆爱精品酒店(北京良乡北关店),39.741852,116.14458,北京市房山区北关西路20号伟业商厦好伦哥楼上4楼,c87961c037c8e9dd3010afbb,(010)69366965,1,c87961c037c8e9dd3010afbb
潢京客栈情侣酒店(良乡店),39.745957,116.141117,北京市房山区良乡北潞园24号,,(010)81388621,1,4b1a8eca77501b8b02294f03
网络客栈,39.735832,116.142935,北京市房山区西潞南大街5号同方写字楼B1层,045745e588800ac6c27da283,,1,045745e588800ac6c27da283
七彩时尚酒店(长虹东路辅路),39.729195,116.166957,北京市房山区良乡长虹东路6号,f4a33da9b135fb103010af36,(010)81352627,1,f4a33da9b135fb103010af36
聚源宾馆(良乡店),39.730162,116.165111,北京市房山区良乡大学城100,3188e7f59f4e26e3902ca32e,(010)89377526,1,3188e7f59f4e26e3902ca32e
金兴鸿源酒店,39.707354,116.155057,"北京市房山区良官公路58号,瑞雪春堂路口往南3个红绿灯即到(南六环良乡官道出口斜对面)",8dd7b8353ac2e06932870a1c,(010)60344393,1,8dd7b8353ac2e06932870a1c
第七空间主题酒店(良乡南关店),39.732932,116.150254,北京市房山区拱辰南大街42号,4b243765fbe78af3246e98bd,(010)57101777,1,4b243765fbe78af3246e98bd
民顺园88宾馆,39.73594,116.121076,北京市房山区良乡太平庄好又多连锁超市向西60米(圣景园小区西侧100米),3654f8fc1c23c51b46e27468,(010)89360015,1,3654f8fc1c23c51b46e27468
宝益盛宾馆,39.736017,116.12666,北京市房山区良乡月华大街路北1号,a7bcfec01b1e662d00ff2ddd,"(010)89362038,(010)89353757",1,a7bcfec01b1e662d00ff2ddd
双梅宾馆,39.742445,116.149409,北京市房山区良乡拱辰大街78号7栋3层,1882c51fe9b4f6302b3a9f5c,(010)69363658,1,1882c51fe9b4f6302b3a9f5c
开拓者宾馆,39.737444,116.150423,北京市房山区良乡中路37号1层,6113ef7714ba880d8e772707,(010)69371889,1,6113ef7714ba880d8e772707
比邻宾馆(拱辰大街),39.748347,116.148874,北京市房山区良乡北关拱辰大街2号,c36982f9eafc315b4107c147,(010)89352006,1,c36982f9eafc315b4107c147
银太阳宾馆,39.706595,116.161267,北京市房山区良关大街58号银太阳8号楼,,(010)61374525,1,ab5f2a743c3638449a005036
吉祥公寓出租房,39.736151,116.126168,北京市房山区月华大街吉祥公寓,cece2863d216d0f0c0f1cfe7,13552448839,1,cece2863d216d0f0c0f1cfe7
尚客优快捷酒店(良乡西潞店),39.733672,116.142233,北京市房山区西潞南大街9号,9803be6dd208c5730c0e6b89,(010)69369116,1,9803be6dd208c5730c0e6b89
海龙e时代宾馆,39.741936,116.147048,北京市房山区北关西路朝晖大厦1层,cfcd2c3d812f8cc996ec8468,(010)69381899,1,cfcd2c3d812f8cc996ec8468
新影旅馆,39.744401,116.147818,北京市房山区良乡拱辰大街31号,b368d566fc0527c6a6da3916,(010)69364857,1,b368d566fc0527c6a6da3916
圣源旅馆,39.741807,116.146878,北京市房山区北关西路朝晖大厦1层(良乡医院正对面),,(010)69378411,1,0e4a0d65a9c53f4a4bcc4a2b
金景御园旅馆(东关家园西南),39.736626,116.154352,北京市房山区良乡镇昊天大街144号,d068c63bb70ca355b45f1ef7,(010)69383044,1,6d1d6d4049ef2d1cf603b8e0
昊文宾馆,39.739212,116.15365,北京市房山区昊天大街91号,57d9d61016b30f614054d760,(010)59461363,1,57d9d61016b30f614054d760
米高时尚酒店(北京良乡店),39.745234,116.143116,西潞北大街89号盛川大厦1-4层,e307f166a1ba6e3e306212b3,(010)81387977,1,e307f166a1ba6e3e306212b3
北京常盛福鑫宾馆,39.736935,116.155391,北京市房山区昊天大街126号,4a94ddd8817e839eb320a8f8,(010)69365706,1,4a94ddd8817e839eb320a8f8
嘉泰和商务会馆,39.728791,116.138254,房山区良乡长虹西路71号(近房山区环保局),97985910c2a5dd2a5fd4fee6,(010)69352118,1,97985910c2a5dd2a5fd4fee6
北京肖庄福源宾馆,39.715863,116.134499,阎村镇肖庄村良乡凯旋大街70号,ef882e5e8b19bc1409a8d41a,(010)80333212,1,ef882e5e8b19bc1409a8d41a
秀北宾馆,39.741828,116.146653,北京市房山区北关西路朝晖大厦1层,6b429c9607eeaf6fb7265566,(010)69378411,1,6b429c9607eeaf6fb7265566
三利公寓,39.727998,116.14839,拱辰南大街与长虹东路交叉口南200米,,,1,dfa09f92b789f611ad31e5ef
安福旅馆,39.740921,116.150498,北京市房山区文化路20-6号,78c4f24578e48367ad080fa0,(010)51138362,1,78c4f24578e48367ad080fa0
