name,lat,lng,adderss,street_id,telephone,detail,uid
良乡医院,39.742655,116.146214,北京市房山区拱辰大街45号,a5ef680f22f0ddceb9df8fc5,(010)81356000,1,a5ef680f22f0ddceb9df8fc5
北京市房山区妇幼保健院,39.734852,116.133944,北京市房山区良乡苏庄东街5号,eb36750381feb51800ec01d6,(010)89372368,1,eb36750381feb51800ec01d6
房山区中医医院(月华分院),39.753866,116.157285,北京市房山区月华北大街10号,,(010)89356054,1,373cf757bb141b774354d7c2
北京市房山区中医医院(良乡分院),39.735201,116.142014,北京市房山区良乡镇西潞南大街甲8号,56f2f696933803990aa8d4c2,(010)69382140,1,56f2f696933803990aa8d4c2
北京市房山区第一医院分院房山区老年病医院,39.728783,116.128681,北京市房山区良乡镇长虹西路51号,dbf4d6ee40f9482a6fa3ccc7,"(010)60341704,(010)60341879",1,dbf4d6ee40f9482a6fa3ccc7
北京仁德医院,39.738515,116.153614,北京市房山区良乡昊天大街91号,6343467e4e6428352fb90871,(010)69368999,1,6343467e4e6428352fb90871
北京中能建医院,39.748402,116.156782,北京市房山区良乡镇体育场路1号,790073c08d6a65c6118824c8,(010)51158904,1,790073c08d6a65c6118824c8
北京今康中医医院,39.735356,116.127633,北京市房山区良乡月华南大街8号,fc5c00173928f043b6265542,(010)69373739,1,fc5c00173928f043b6265542
北京华亚医院,39.737282,116.131716,北京市房山区良乡西路19号,3f532dcd2b04f2a0b35c6a8d,,1,3f532dcd2b04f2a0b35c6a8d
北京汇海中医医院,39.729243,116.106316,北京市房山区阎村镇S317前沿村村南,ca1c303f378e340b21026248,,1,41e347865ca76ce5e3110399
房山区良乡社区卫生服务中心,39.732059,116.129687,北京市房山区良乡地区苏庄中路苏庄三里18号楼,bff8fa7de5e201b9c9213df2,(010)89371424,1,bff8fa7de5e201b9c9213df2
北京市房山区鹏园医院,39.729208,116.165446,北京市房山区良乡镇东羊庄,606ab0d0340fc2330e3ddaff,(010)69353995,1,606ab0d0340fc2330e3ddaff
北京中研中医院,39.730103,116.157339,北京市房山区良乡长虹东路玉竹园一里畅龙苑1号商业楼,f196e53bc734d73abda24000,"(010)69388779,(010)69388791",1,f196e53bc734d73abda24000
良乡地区太平庄社区卫生服务站,39.738482,116.126971,北京市房山区京周路良乡太平庄东里20号楼底商,,(010)61356609,1,7c074b09588911164afd3fc1
北京市房山区良乡电业社区卫生服务站,39.746076,116.156827,北京市房山区昊天大街与繁华路交叉口东北100米,1020060f13599abf1994c6f2,(010)51158936,1,1020060f13599abf1994c6f2
房山区良乡地区昊天社区卫生服务站,39.741651,116.155819,北京市房山区拱辰街道良乡镇昊天大街116号(昊天温泉家园11号楼),5e53af1aae61c0464051c0f2,(010)69368784,1,5e53af1aae61c0464051c0f2
房山区良乡地区行宫社区卫生服务站,39.756105,116.15311,北京市房山区良乡镇政通路行宫小区1里,a19447db231edaf65b109341,(010)89368074,1,a19447db231edaf65b109341
