name,lat,lng,adderss,street_id,telephone,detail,uid
首都师范大学附属房山中学,39.743536,116.15354,北京市房山区昊天大街75号,5d11ead647ece51889fc069d,(010)69364095,1,5d11ead647ece51889fc069d
良乡中学,39.733857,116.151999,北京市近郊房山区南关东路5号,750ec16566e95a2b4c3a59f4,(010)69352605,1,750ec16566e95a2b4c3a59f4
北京师范大学良乡附属中学,39.732347,116.136539,北京市房山区苏庄东街8号,844a750e9289f1b9626858f4,(010)69363082,1,844a750e9289f1b9626858f4
良乡小学,39.736581,116.150811,北京市房山区良乡中路12号,f633606a6238934e0b69d9f8,(010)69351626,1,f633606a6238934e0b69d9f8
良乡二中,39.740897,116.144159,北京市房山区城隍庙街106号,34059f97e129935471455bf4,(010)69351418,1,34059f97e129935471455bf4
北京市房山区昊天学校,39.733304,116.159383,北京市房山区良乡拱辰街道办事处昊天塔街西侧路,f7b1f33ed40839a4725e8047,(010)69387621,1,f7b1f33ed40839a4725e8047
房山区良乡第三小学,39.740266,116.138586,房山区西潞街道办事处西潞园小区三里11号,2848ffd695ef8b0f48cc4af4,(010)89355434,1,2848ffd695ef8b0f48cc4af4
良乡第二小学,39.743423,116.144116,房山区拱辰街道办事处北秀街27号,9f03379eb1df09f4130daa29,(010)69352015,1,9f03379eb1df09f4130daa29
北京工商大学附属中学,39.731641,116.13392,北京市房山区苏庄东街11号,e822b47dddae98ca6c3e1b0f,(010)69382124,1,e822b47dddae98ca6c3e1b0f
良乡第四小学,39.726219,116.153163,北京市房山区瑞雪春堂二里20,e6dcbad5df53f49db320a8a9,(010)60337866,1,e6dcbad5df53f49db320a8a9
良乡四中,39.740881,116.126052,北京市房山区良乡西路良乡四中,251374c9d1133f3fa11de9f8,(010)61356573,1,251374c9d1133f3fa11de9f8
北京工商大学附属小学,39.730927,116.131099,北京市房山区苏庄村苏庄大街,89c31348700301df40e19294,(010)69382134,1,89c31348700301df40e19294
太平庄小学,39.739782,116.126481,北京市房山区太平庄154号,f3dd4b6a93c37a95c9213dac,(010)61356549,1,f3dd4b6a93c37a95c9213dac
官道中心小学,39.710265,116.1546,北京市房山区良乡镇良官公路黑古台民族小学,6deee3086ba43a6a29fc48f4,,1,6deee3086ba43a6a29fc48f4
良乡第五小学,39.749348,116.152376,北京市房山区良乡镇建华路10号,45408d4182e7a3d0adcb662a,(010)89365747,1,45408d4182e7a3d0adcb662a
首都师范大学附属房山小学,39.749068,116.152734,北京市房山区良乡镇建华路10号,d816156e9b83ec9b077ce8b8,(010)89365747,1,d816156e9b83ec9b077ce8b8
良乡中心小学,39.731081,116.131058,北京市房山区苏庄大街6号,7e07f61594725affdeee8b67,(010)69369846,1,7e07f61594725affdeee8b67
西潞办事处固村完全小学,39.753754,116.132962,良坨路东50米,,,1,6b14889f5d2a8f243b221c52
北京工商大学附属小学(东沿村校区),39.741502,116.114503,北京市房山区阎欣苑东北,006fcadedb19d50bf7eafc94,,1,006fcadedb19d50bf7eafc94
北京市房山区希望学校,39.728328,116.149272,北京市房山区长虹西路希望学校(永林家居广场西南),4d890bebcc7a002ff62310e8,,1,4d890bebcc7a002ff62310e8
黑古台民族小学,39.710467,116.155357,北京市房山区官道中心小学(北京良乡工业基地北),b391d72398f09a4772210b7f,,1,b391d72398f09a4772210b7f
北京第一实验小学(房山分校),39.726341,116.1526,北京市房山区瑞雪春堂二里20,382b23acca165faf4207c1ad,,1,382b23acca165faf4207c1ad
ABC英语幼儿园,39.737758,116.159727,北京市房山区良乡ABC英语幼儿园(良乡东路北),,,1,9d5786454a692f32c8c3db72
希望学校(小学部),39.728466,116.149562,良乡良乡建材城内,f340e05588e1126fe5073843,,1,f340e05588e1126fe5073843
肖庄小学,39.713033,116.132326,北京市房山区阎村镇凯旋大街京蓼学校,f9a224256030016f100daafc,,1,f9a224256030016f100daafc
西南幼儿院,39.742621,116.119712,北京市房山区西潞街道京港澳高速公路西南幼儿园,cac6bb6729ee202c626858f6,"18610149938,13716617003",1,cac6bb6729ee202c626858f6
北京D一双语实践幼儿园,39.745873,116.14505,月华大街2号,9dfa1e67925164e54bcc4a50,"13910339089,(010)69353707",1,9dfa1e67925164e54bcc4a50
昊天幼儿园,39.741193,116.156736,房山区拱辰街道办事处昊天大街116号,36f7bf1c08f43661c61e515c,(010)69383397,1,36f7bf1c08f43661c61e515c
良乡双语第七幼儿园,39.738582,116.154785,良乡镇良乡东关昊天大街118号,948715d4828ddc089122e01f,13641197295,1,948715d4828ddc089122e01f
畅想童年双语幼儿园,39.742311,116.158508,北京市房山区东关街附近,c5ff73a6690b050476e5b665,(010)69366500,1,c5ff73a6690b050476e5b665
卡酷七色光艺术双语幼儿园,39.727566,116.144861,北京市房山区良乡城铁南关向南50米凯旋大街6号,3985a3fa333a378bbadf8f27,(010)69361599,1,3985a3fa333a378bbadf8f27
天使之翼双语幼儿园,39.748072,116.151526,北京市房山区体育场路13号,c631ac84f1179c6543e19277,(010)60301882,1,c631ac84f1179c6543e19277
西潞街道办事处中心幼儿园,39.726671,116.127522,北京市房山区西潞街道夏庄社区佳世苑小区21楼,5c4f5fe13675c88c21022054,(010)60342531,1,5c4f5fe13675c88c21022054
北京才艺OK幼儿园,39.73264,116.127227,苏庄一里23,a7c56ee0afc8c3b3a3acc4f8,(010)61355527,1,a7c56ee0afc8c3b3a3acc4f8
房山区职业技术学校,39.737348,116.139959,良乡西路5,18165334c40f5704fb2d61f4,(010)89367836,1,18165334c40f5704fb2d61f4
北京市房山区良乡第二幼儿园,39.740798,116.139377,房山区良乡西潞园三里9号,960699f6688f1d5b8936ee32,(010)60309583,1,960699f6688f1d5b8936ee32
二十一世纪幼儿园,39.738625,116.127665,良乡太平庄太平龙逸宾馆西院,d021be10d773b8e2932ca366,,1,d021be10d773b8e2932ca366
良乡第三幼儿园,39.748832,116.153283,北京市房山区良乡建华路10号,9fcfb75e06de5473e1110319,,1,9fcfb75e06de5473e1110319
嘉奇小学,39.735882,116.142931,北京市房山区良乡西潞南大街同方大厦(中大瑞祥东南),16f07d02030b314c31169ba2,(010)56228218,1,16f07d02030b314c31169ba2
良乡双语幼儿园(隆曦园路),39.75623,116.143817,隆曦园B区,b59df6c8113c57b148fc8d7f,(010)89364909,1,b59df6c8113c57b148fc8d7f
格鲁伯儿童大学(房山校区),39.738859,116.135442,北京市房山区西潞园东门外平房8-10号,6c47500f40bc62fc0e3dda98,"(010)61377899,(010)61377998,18501123015",1,6c47500f40bc62fc0e3dda98
北京房山卓越幼儿园,39.747139,116.15255,良乡北关体育场路26号土建院99号,,"(010)56241741,13501226684",1,3d34389d48482ca14151c008
魅力宝贝幼儿园,39.723375,116.143523,北京市房山区凯旋大街38号,8570671c669ac8f03f9a5ee6,(010)57175675,1,8570671c669ac8f03f9a5ee6
励德西潞幼儿园,39.738453,116.136882,北京市房山区良乡西潞园社区服务中心东侧,,,1,25a6be23a5bc13e841e1927f
希望学校-中学部,39.726394,116.149593,北京市房山区良乡拱辰南大街希望学校中学部,8d96925c673e8246c0f1cfad,,1,8d96925c673e8246c0f1cfad
睿恩幼儿园,39.730002,116.120109,北京市房山区良乡月华南大街32号,,(010)81380880,1,bbc0293b8108612c0ab93a41
房山区良乡中心幼儿园,39.73443,116.145733,北京市房山区罗府街79号,aa818c26bdef9cfbcafa5fed,(010)60357355,1,c861a0fddaff43b028d7ab6e
北京建人外语艺术幼儿园,39.755708,116.152735,房山区拱辰街道办事处行宫园小区行宫二里14-10号,b9e5d0b8810eaabf80a12ead,,1,b9e5d0b8810eaabf80a12ead
国际良乡双语幼儿园,39.735611,116.121968,北京市房山区月华大街良乡双语第六幼儿园,a2ee0ef94e5577f1b320a80d,(010)60307680,1,a2ee0ef94e5577f1b320a80d
伟业国际幼儿园,39.738017,116.16573,北京市房山区伟业嘉园西区南门,7eb8fef9f239b115210220a8,,1,7eb8fef9f239b115210220a8
安琪尔美语幼儿园,39.735202,116.15813,良乡良乡中路1号,e47f965b2dbdbd5e4354d76d,(010)81357298,1,e47f965b2dbdbd5e4354d76d
幸福泉幼儿园(瑞雪春堂分园),39.725751,116.152687,北京市房山区瑞雪春堂二里29,40ca059385d3228eb45f1e98,(010)69382049,1,40ca059385d3228eb45f1e98
玉竹国际幼儿园,39.731677,116.166424,北京市房山区良乡玉竹园(揽秀北大街东200米),,,1,771b6c889dee5038c9291544
北京市房山区小英才实验幼儿园,39.73902,116.12231,太平庄西里,a54a56d1be1d87fbb54f5474,(010)89358537,1,a54a56d1be1d87fbb54f5474
佳士苑幼儿园,39.726714,116.127178,北京市房山区规划十路,,,1,433a9938fff2a481f03cba3e
小博士英语艺术幼儿园,39.74152,116.146833,拱辰街道办事处楸树街36号,9de763ba8b90200afea778fe,(010)69385609,1,9de763ba8b90200afea778fe
常菁藤双语幼儿园,39.725386,116.129792,北京市房山区翠柳大街,608fef526b18387b3617dcd9,(010)69361780,1,608fef526b18387b3617dcd9
阳坤艺术幼儿园,39.739118,116.128303,北京市房山区良乡镇太平庄东里,5c4c8e82b6d34a5d11882449,(010)61377199,1,5c4c8e82b6d34a5d11882449
安琪尔美语幼儿园,39.742125,116.117356,西潞街道办事处南尚岗村,00ce57c00be8180a97f08c09,(010)60346685,1,00ce57c00be8180a97f08c09
哈佛国际良乡双语幼儿园,39.753305,116.139211,良乡政通西里西区别墅48号,229398dd9253725a9d95dede,13552313666,1,229398dd9253725a9d95dede
建人(英语)实验学校,39.755809,116.152709,行宫二里14-9,8768dd922ba2481f220262eb,,1,8768dd922ba2481f220262eb
月华实验幼儿园,39.737556,116.134904,北京市房山区良乡西门月华小区东门国家电网旁,,,1,1deafb6c011069f9f70e7775
手风琴音乐艺术幼儿园,39.739381,116.126359,北京市房山区太平庄154号良乡中心校太平庄完全小学附近,925c550f1611f9b25a3ac8f8,(010)89367951,1,925c550f1611f9b25a3ac8f8
字母幼儿园,39.735493,116.121656,北京市房山区良乡圣景苑小区南门,e915fef90a7f27e6d1f49e7e,(010)60307680,1,e915fef90a7f27e6d1f49e7e
北京市房山区北潞园学校-笃行楼,39.744778,116.136115,北京市房山区良乡良坨大街北潞春家园,f8596e29a4eb24155cbe86a8,,1,f8596e29a4eb24155cbe86a8
东关启蒙幼儿园,39.738066,116.155846,房山区拱辰街道办事处东关村23号,1497ab7a83e9ff6d85420e8c,(010)69375851,1,1497ab7a83e9ff6d85420e8c
希望学校幼儿园部,39.728447,116.149538,北京市房山区长虹西路希望学校(永林家居广场西南),c77674066be5572be81e97d8,(010)69352793,1,c77674066be5572be81e97d8
新天地幼儿园,39.710514,116.155349,良乡黑古台官道中心小学后身,988607b3c20d879397ec8429,,1,988607b3c20d879397ec8429
良乡中心园青春志分园,39.736266,116.153149,北京市房山区昊天大街与良乡中路交叉口西南150米,,,1,a0db3375d6d07009d13ce3be
北京师范大学良乡附中国际教育培训中心,39.732297,116.135725,苏庄东街8号,1b807fbe4bd7447cb35c6ade,,1,1b807fbe4bd7447cb35c6ade
金曙光幼儿园,39.738846,116.12747,良乡良乡太平庄别墅区172号,,13716593910,1,8b6446be894480b24107c14a
新世纪童乐园,39.743882,116.146029,西北关89号,6deee3084513646b29fc4844,(010)69362657,1,6deee3084513646b29fc4844
北潞园学校,39.744572,116.136431,北潞春南路1-3号,d4034eb38adf2ff6c03644f4,(010)81330606,1,d4034eb38adf2ff6c03644f4
北京舞韵舞蹈艺术学校,39.716394,116.134488,北京市房山区凯旋大街68号,,,1,5b9f0694411435cdb320a83c
阎村成人学校,39.719298,116.110354,北京市房山区阎村炒米店完全小学(紫元路),8c128f098742b709e7e9651d,,1,8c128f098742b709e7e9651d
良乡中学-南门,39.732958,116.150657,北京市房山区南关东路5号,98984f8e607cea645b109342,,1,98984f8e607cea645b109342
