name,lat,lng,adderss,street_id,telephone,detail,uid
昊天公园,39.740006,116.161341,北京市房山区东关村,d1469ee7b3a64a62843304c6,,1,d1469ee7b3a64a62843304c6
良香公园,39.714972,116.152918,北京市房山区白杨西路南150米,d9f34cbc1426e626a2acc49f,,1,d9f34cbc1426e626a2acc49f
昊天公园-良乡塔,39.741482,116.161135,良乡镇燎石岗,5090416797e53a66df1e52bb,,1,5090416797e53a66df1e52bb
良园,39.715047,116.155823,北京市房山区良香公园(良常路西),af74b1ceb05b1d24e81e97cf,,1,af74b1ceb05b1d24e81e97cf
赛纳园,39.732496,116.137949,苏庄北路南100米,1e085fce082eb3c4ce04ef30,,1,1e085fce082eb3c4ce04ef30
北潞园健身公园,39.742153,116.131778,苏庄东街与良乡西路交叉口,9ee7cc78f100bc7016c905c6,,1,9ee7cc78f100bc7016c905c6
文体公园,39.746206,116.142415,北京市房山区月华大街13号西南100米,,,1,2b8c192243091330ab0dd8e7
三街健身公园,39.739359,116.145971,北京市房山区良乡镇北巷15号附近,,,1,2e3c3d72b0faeca1e856fa5a
伊林郡公园,39.760578,116.149544,北京市房山区拱辰北大街与机场桥交叉口东北100米,,,1,0ecb361f63bc120a601c6755
郊野生态区公园,39.745932,116.205963,房山区清苑北街,ee926063002ffad717948e50,,1,ee926063002ffad717948e50
房山新城滨水森林公园,39.737082,116.202587,长阳镇清苑北街,b124e9087d257eb0b05c6a6b,,1,b124e9087d257eb0b05c6a6b
大学城公园,39.721544,116.182949,北京市房山区于管营村南大街29号,695a85540988445a2811d150,,1,695a85540988445a2811d150
长阳滨河公园西,39.760995,116.192859,北京市房山区中央休闲购物区CSD(长阳核心区)的万亩滨河公园,f30b4c0d267fa9d0f4e73bb2,,1,f30b4c0d267fa9d0f4e73bb2
北京理工大学人工湖休闲公园,39.740594,116.176268,北京市房山区,4355802eaad6736cb1077ddb,,1,4355802eaad6736cb1077ddb
房山区新城滨水森林公园南区,39.758671,116.194687,长阳路北200米,5d3b9fc501eebe8a1df74d10,,1,5d3b9fc501eebe8a1df74d10
金隅公园,39.746005,116.19524,北京市房山区阜盛大街,,,1,6dfa6e08cba0e1a4b320a8f3
广阳城森林公园,39.746514,116.191277,城建广悦居小区西侧,,,1,c6de8e391801ac458605bfaa
