name,lat,lng,adderss,street_id,telephone,detail,uid
国瓷会馆,39.755533,116.152978,行宫二里14-1,a3f21eee45f3e6392fb17e2a,,1,a3f21eee45f3e6392fb17e2a
泰山天元石文博馆,39.750209,116.150729,北京市房山区建华路36-1号西北50米,,,1,a9089da17754206f3686f416
燕都书画苑,39.753704,116.142199,良乡政通路西里1号,7daf2c566773f767a3acc480,,1,7daf2c566773f767a3acc480
中国印刷博物馆,39.749184,116.338174,兴华大街2段1号,fbc30ea746eb8d25260bd0f8,"(010)81282770,(010)81282860",1,fbc30ea746eb8d25260bd0f8
明清瓷器馆,39.736943,116.33854,黄村西大街兴雅珠宝城一层,f7ae10be27f582792902e14c,,1,f7ae10be27f582792902e14c
卢沟桥历史博物馆,39.856484,116.227289,卢沟桥城北街88号,49d959381a66a143c61e5107,,1,49d959381a66a143c61e5107
世纪京华酒文化博物馆,39.874407,116.286785,丰体北路6号,0c629e95c74eaa7de60738ed,(010)63867643,1,0c629e95c74eaa7de60738ed
国际二战博物馆协会,39.857218,116.233054,北京市丰台区城内街95号,211eb4e4cffd1d92a01de90e,,1,211eb4e4cffd1d92a01de90e
北京汽车博物馆,39.835009,116.308114,丰台区南四环西路126号,35d6b4d391445bb1e81e97f3,(010)63756666,1,35d6b4d391445bb1e81e97f3
中国插花艺术博物馆,39.845236,116.360975,北京市丰台区南四环中路235号,bcadbc19c1ad232f626858ac,(010)87500840,1,bcadbc19c1ad232f626858ac
正通BMW博物馆,39.868492,116.316081,北京市丰台区西三环南路59号,70355e705bfac761f50e7752,(010)63865826,1,70355e705bfac761f50e7752
北京市西南四环科丰桥东汽车博物馆,39.832272,116.311304,北京市丰台区南四环西路128号,,,1,21368275c2f47c06f4b9168b
普天充电站(汽车博物馆),39.833981,116.307798,北京市丰台区南四环西路126号,99fb645ec1455ba128fc48af,,1,99fb645ec1455ba128fc48af
二商博物馆,39.843281,116.361837,北京市丰台区镇国寺191号,,,1,bf9bbbb72b792cac725e8033
中国园林博物馆,39.885338,116.183773,北京市丰台区射击场路15号,0c88dcfbbe2bfcd74054d776,(010)63915025,1,0c88dcfbbe2bfcd74054d776
印度园博物馆,39.876059,116.204853,北京市丰台区射击场路15号(北京园博园内),,,1,7695fc4736a7315440e192ec
玉文化博物馆,39.881301,116.193725,北京市丰台区射击场路6号北京园博园内,90a957f0a1147f23f33cbad2,,1,90a957f0a1147f23f33cbad2
校园微博物馆,39.90314,116.219815,北京市石景山区京源学校,f401a9b2a30c946fad0457b1,,1,f401a9b2a30c946fad0457b1
北京市十一学校博物馆(校史馆),39.907265,116.26148,北京市海淀区玉泉路66号,930c89274337d7ec077ce8ac,,1,930c89274337d7ec077ce8ac
中国人民革命军事博物馆,39.914976,116.330207,北京市海淀区复兴路9号,5ce2637d2824d051af31e5b6,(010)66866244,1,5ce2637d2824d051af31e5b6
中华世纪坛,39.916466,116.327888,北京市海淀区复兴路甲9号,ca0a5de32ff30868a7c7566c,"(010)84187900,(010)84186161",1,ca0a5de32ff30868a7c7566c
中国消防博物馆,39.877026,116.35875,西城区广安门南街70号(近中加大厦),0731afb08f2f9e262906ce85,(010)66267929,1,0731afb08f2f9e262906ce85
京彩瓷博物馆,39.888182,116.354815,广安门外南滨河路25号(近金工宏洋大厦一层),04341170c45e3b0ac6effb9a,(010)51920138,1,04341170c45e3b0ac6effb9a
首都博物馆-西区,39.912234,116.348161,复兴门外大街16号首都博物馆内,93ac80f185199133cafa5f45,,1,93ac80f185199133cafa5f45
古井酒文化博物馆,39.879737,116.354999,南滨河路87号,0b69c8983658b2ac08f5eb64,,1,0b69c8983658b2ac08f5eb64
聚宝龙普洱博物馆,39.884751,116.334426,北京市西城区广外马连道胡同一号第三区商业街1027号,92363ec01dac9c86882fb522,(010)63259688,1,92363ec01dac9c86882fb522
中国铁道博物馆办公区,39.890021,116.336668,北京市西城区广安门外街道马连道南街2号院1号楼,,(010)51836872,1,d5af9f205194141caecb660a
中国淮扬菜文化博物馆,39.93121,116.318545,北京市海淀区航天桥阜成路北三街光耀东方中心,,,1,6cf701b07e03dd63441a3245
首都博物馆-东区,39.912144,116.349175,复兴门外大街16号首都博物馆内,7be7619c73322d5f3c9a5e9e,,1,7be7619c73322d5f3c9a5e9e
百年融通博物馆,39.881374,116.338621,北京市西城区欣园东路1号东北60米,,,1,4d8d8cc71fe678eaca291577
大兴南路烧酒博物馆,39.705581,116.388092,黃村镇桂村工业园富贵路3号,,18614021713,1,38d786b2c20cce4d75e5b6b1
北京崔永平皮影艺术博物馆,39.754508,116.55244,马驹桥镇金桥花园16楼4单元1层,fa01e9378a8ff04a774ff16b,(010)60502692,1,fa01e9378a8ff04a774ff16b
宜兴紫砂壶,39.792635,116.424003,北京市丰台区南小街路2-16号附近,6641e9637cb839bd71210b5c,,1,6641e9637cb839bd71210b5c
南海子麋鹿苑博物馆,39.784593,116.465142,北京市大兴区旧宫镇旧忠路,0dc3d82d487bb16c75e5b6f5,,1,0dc3d82d487bb16c75e5b6f5
可口可乐博物馆,39.803954,116.522987,大兴区亦庄开发区荣京东街9号,703364323f3e121d9a005006,(010)67878080,1,703364323f3e121d9a005006
景泰蓝博物馆,39.870361,116.420002,安乐林路10号,35d525c6d105e6ca02897244,,1,35d525c6d105e6ca02897244
辽金城垣博物馆,39.868656,116.365447,北京市丰台区右安门外玉林小区甲40号,1bf85b255be6cca4a1a93400,(010)63054992,1,1bf85b255be6cca4a1a93400
京朝国粹艺术苑,39.858603,116.393752,海户西里甲30,067944abe3ab953bc4f02501,,1,067944abe3ab953bc4f02501
文博馆,39.835531,116.369294,北京市丰台区北京国际文化城c座,0f50a236cb4b3016b9df8fe2,,1,0f50a236cb4b3016b9df8fe2
山水珍宝博物馆,39.873472,116.473402,北京市朝阳区弘燕路201-1,3e7d07a39f77dbf5f03cbade,,1,3e7d07a39f77dbf5f03cbade
中国国家博物馆文物科技保护中心,39.84321,116.427143,北京市丰台区石榴庄西街248号,883898d0f14ffcdc7dc87623,,1,883898d0f14ffcdc7dc87623
北京传统手工艺术博物馆,39.844023,116.476789,北京市朝阳区十八里店南桥古盛发古典家具城三层,d269e975dac8fb6a373a71f4,(010)53017018,1,d269e975dac8fb6a373a71f4
观瓷书院,39.873366,116.488908,北京市朝阳区弘燕东路山水文园东园北门东侧山水米兰文博商业街A28,,,1,e129547162c9520214c8f6cb
历史陶瓷博物馆(闽龙广场),39.860979,116.483231,北京市朝阳区大羊坊路37号闽龙广场F4层,83a5a10f5f815a5fa8059deb,,1,83a5a10f5f815a5fa8059deb
十里河蒙元博物馆,39.866436,116.467233,十八里店十里河家俱大道8号柏汇广场附近,,18636001798,1,5d25212892c17c31f7e73b09
香港名家易越石金石书画篆刻古玩文物文化艺术博物馆,39.86649,116.467035,北京市朝阳区十里河家俱大道8号佰汇古玩珠宝城B座,9e12614511ac7a79e011030b,,1,9e12614511ac7a79e011030b
中国钓鱼文化博物馆,39.866845,116.522793,北京市朝阳区化工路9,b6456429e7cd3e3e43e1929c,,1,b6456429e7cd3e3e43e1929c
故宫博物院,39.924091,116.403414,北京市东城区景山前街4号,06d2dffda107b0ef89f15db6,(010)85007114,1,06d2dffda107b0ef89f15db6
中国国家博物馆,39.91146,116.408016,北京市东城区东长安街16号,db1f39d42752aa6ff5c59cd1,(010)65116400,1,db1f39d42752aa6ff5c59cd1
自然博物馆,39.889525,116.406116,天桥南大街126号,17bb760f2e99a0e596ca07e2,(010)67027702,1,17bb760f2e99a0e596ca07e2
中国地质博物馆,39.929518,116.378653,西四羊肉胡同15号,ebcd3f91cd80c02ec8213de0,(010)66557858,1,ebcd3f91cd80c02ec8213de0
北京古代建筑博物馆,39.883887,116.398641,北京市西城区东经路21号,2bb54e31c13a3470bda24091,(010)63172150,1,2bb54e31c13a3470bda24091
