name,lat,lng,adderss,street_id,telephone,detail,uid
昊天塔,39.741048,116.160828,北京市房山区东关村昊天公园内,367caa9d4cbcfb6c41024547,,1,367caa9d4cbcfb6c41024547
赛纳园,39.732496,116.137949,苏庄北路南100米,1e085fce082eb3c4ce04ef30,,1,1e085fce082eb3c4ce04ef30
良乡塔,39.741482,116.161135,良乡镇燎石岗,5090416797e53a66df1e52bb,,1,5090416797e53a66df1e52bb
天元寺,39.750826,116.114458,北京市房山区大马村路,5c2dc21d7b4c7a796fc02c36,,1,5c2dc21d7b4c7a796fc02c36
昊天公园,39.740006,116.161341,北京市房山区东关村,d1469ee7b3a64a62843304c6,,1,d1469ee7b3a64a62843304c6
北潞园健身公园,39.742153,116.131778,苏庄东街与良乡西路交叉口,9ee7cc78f100bc7016c905c6,,1,9ee7cc78f100bc7016c905c6
良香公园,39.714972,116.152918,北京市房山区白杨西路南150米,d9f34cbc1426e626a2acc49f,,1,d9f34cbc1426e626a2acc49f
常庄清真寺,39.722848,116.157892,北京市房山区良乡东区十六号路常舜嘉苑东南,5eb30156675b0c189c09f700,,1,5eb30156675b0c189c09f700
清真古寺,39.722919,116.15746,良官公路与良梨路交叉口东150米,25ec69fc5934547dc26c14f5,,1,25ec69fc5934547dc26c14f5
太平寺,39.739782,116.123099,北京市房山区京港澳高速公路太平寺(太平庄西里附近),f534a9f58b1fb4332ab97c19,,1,f534a9f58b1fb4332ab97c19
北京基督教会房山堂,39.738949,116.125492,北京市房山区太平庄南路,cbd86e079ceb0b9db5147f3d,(010)81388077,1,cbd86e079ceb0b9db5147f3d
良园,39.715047,116.155823,北京市房山区良香公园(良常路西),af74b1ceb05b1d24e81e97cf,,1,af74b1ceb05b1d24e81e97cf
国瓷会馆,39.755533,116.152978,行宫二里14-1,a3f21eee45f3e6392fb17e2a,,1,a3f21eee45f3e6392fb17e2a
文体公园,39.746206,116.142415,北京市房山区月华大街13号西南100米,,,1,2b8c192243091330ab0dd8e7
三街健身公园,39.739359,116.145971,北京市房山区良乡镇北巷15号附近,,,1,2e3c3d72b0faeca1e856fa5a
巧虎游乐园,39.737171,116.142464,北京市房山区良乡西潞南大街,71f7c90b3a38b7ca95ca0797,,1,71f7c90b3a38b7ca95ca0797
