name,lat,lng,adderss,street_id,telephone,detail,uid
大南郊汽配城-南门,39.727612,116.113034,北京市房山区阎村大南郊汽配城(京周路北),0c3a7e3a1f6e77bfdeee8bd4,,1,0c3a7e3a1f6e77bfdeee8bd4
北京奥之旅汽车销售服务有限公司,39.727911,116.1105,北京市房山区京周路澎湃汽车城内,a9419be3f0f0382ebbbd63a9,(010)61378888,1,a9419be3f0f0382ebbbd63a9
房山交通支队非机动车登记站,39.750792,116.151729,北京市房山区月华北大街32号,1c4d3ff1508f744b4afc8da3,,1,1c4d3ff1508f744b4afc8da3
澎湃汽车汽配城,39.72749,116.109358,北京市房山区阎村北京奥之旅汽车销售服务有限公司,341c35de0cf472bee60738c7,(010)61351221,1,341c35de0cf472bee60738c7
北京汇宝行汽车销售服务有限公司,39.72553,116.106328,北京市房山区阎村镇阎村桥东京周公路南侧,aef2ba6e505894904f6d46b9,(010)59943555,1,aef2ba6e505894904f6d46b9
北京波士畅达汽车销售服务有限公司,39.761334,116.163016,北京市房山区昊天大街与广阳西路交叉口附近,,(010)80367600,1,aba4258627178631e60738df
燕房线阎村北车辆段,39.73681,116.112861,北京市房山区东沿村新村西南200米(大件路北),,,1,a41e06e0ecf4b6eeede4a5fa
北京泊易达汽车销售服务有限公司,39.716461,116.137859,北京市房山区凯旋大街与白杨西路交叉路口东400米路北,13c4e291a5319ce6047ce85a,"(010)83696032,(010)83695735,(010)69368123",1,13c4e291a5319ce6047ce85a
ETC速通卡(良乡服务网点),39.75366,116.152194,北京市房山区良乡镇政通路2号院底商1-6,e4bbcb927819b4fbeb56fa5b,,1,e4bbcb927819b4fbeb56fa5b
比亚迪汽车(北京润城销售服务店),39.725803,116.113244,阎村镇炒米店村一街甲1号,6e9caf0b80f9ae71601c67c9,(010)89317680,1,6e9caf0b80f9ae71601c67c9
途虎养车工场店(北京月华大街店),39.752772,116.15316,北京市房山区政通路2号龙达园金色大厅旁边,0da50d591cbe813fca1b954c,(010)60345674,1,0da50d591cbe813fca1b954c
北京凯威富檑汽车销售服务有限公司,39.722029,116.139967,北京市房山区良乡镇凯旋大街50号,464e27372a40ed5809a8d418,"(010)69378663,(010)69372588,13810287220",1,464e27372a40ed5809a8d418
北京市良乡万达工贸有限公司,39.755569,116.147749,北京市房山区良乡拱辰北大街29号,d561e0ae1b7ee8f7c929156e,(010)89360080,1,d561e0ae1b7ee8f7c929156e
