name,lat,lng,adderss,street_id,telephone,detail,uid
拱辰街道北关东路社区来京人员和出租房屋服务站,39.741751,116.151467,北京市房山区文化路67号楼附近,,(010)69385364,1,1b379c9a079c3a8e631809c4
北京市房山区森林公安处,39.733185,116.13448,北京市房山区良乡苏庄东街7号,4cf8d24ea92056e79cf779d6,(010)69353535,1,4cf8d24ea92056e79cf779d6
北京市公安局房山分局人民来访接待室,39.7499,116.143177,政通西路16号附近,,,1,ace82367d804f05cadcb6670
北京市公安局房山分局西潞派出所西门巡逻警务站,39.737521,116.141541,西潞北大街甲1-9号附近,,,1,8838a1a5996ab21dbda240a4
西潞派出所,39.749484,116.135107,北京市房山区北潞园社区北潞冠18号,61085211bcc77ea1c51b75c6,(010)89368293,1,61085211bcc77ea1c51b75c6
良乡派出所,39.708651,116.156195,北京市房山区良乡镇良官大街58号,6f1cdfbcc46b517c7dc8769c,"(010)60331012,(010)60333822",1,6f1cdfbcc46b517c7dc8769c
北环东路社区警务工作室,39.741842,116.151463,北关东路与文化路交叉口南50米,83b1d238b191fefb095cb38c,,1,83b1d238b191fefb095cb38c
警务工作站(良乡地区鸿顺园社区卫生服务站东北),39.72926,116.160891,长虹东路附近,5d2e542131b3fdfdfea7780b,,1,5d2e542131b3fdfdfea7780b
北京送变电公司社区居委会-外来人口管理站,39.755527,116.162337,明源北街1号附近,05bc9fbd4fbeecf822026245,,1,05bc9fbd4fbeecf822026245
行宫园社区居委会-外来人口管理站,39.755975,116.153523,行宫二里14-5,33f5655b2d2266d60869d953,,1,33f5655b2d2266d60869d953
良乡派出所南关村警务工作室,39.730863,116.148181,北京市房山区拱辰南大街109号附近,70b3461fe7a11fc6250bd0ea,,1,70b3461fe7a11fc6250bd0ea
北潞春治安岗亭,39.743589,116.137255,北京市房山区月华大街西150米,8891d7a527b284043904b116,,1,8891d7a527b284043904b116
西潞街道太平庄西里社区来京人员和出租房屋服务站,39.737056,116.125826,北京市房山区西潞街道月华大街太平庄东里临甲1号,,(010)89358533,1,8482b151842cdc02fea778e7
罗府街社区警务工作站,39.736329,116.143025,西潞南大街3号附近,5c11cd491848ea844151c07d,,1,5c11cd491848ea844151c07d
房山区公安分局,39.750666,116.143397,政通路16号,5211d219d6c3fd587dc876c6,(010)81389110,1,5211d219d6c3fd587dc876c6
电力设备总厂社区警务工作室,39.746014,116.157745,繁华巷11号附近,,,1,e71708c34b70381f8e7727ad
北京市公安局房山分局拱辰派出所财富广场巡逻警务站,39.738194,116.148845,拱辰大街与路家胡同交叉口东南50米,,,1,48101e2fba422c6bd81318b4
昊天小区社区警务工作站,39.740762,116.155047,良乡昊天大街114号院,df627fee38ccd92c97031972,,1,df627fee38ccd92c97031972
拱辰街道昊天社区来京人员和出租房屋服务站,39.74054,116.155137,北京市房山区拱辰街道昊天大街114号院1号楼,2a55d67b07340eeb774ff1dd,(010)69385964,1,2a55d67b07340eeb774ff1dd
城管执法,39.729142,116.143767,北京市房山区长虹东路甲1号,8cf2866b119e531609b93a80,,1,8cf2866b119e531609b93a80
瑞雪春堂流动人口和出租房屋管理服务站,39.724836,116.152989,北京市房山区,,,1,36cd97b3bb49cf4e1e580010
拱辰派出所,39.744009,116.149782,北京市房山区拱辰街道拱辰大街68号(良乡影剧院对面),,(010)69351019,1,be73831b9e3b5714f8dc85c8
北京市公安局公安交通管理局执法办案区域,39.750603,116.151913,月华大街14号附近,fd22dde774fba0529f09f76d,,1,fd22dde774fba0529f09f76d
北京市公安局公安交通管理局房山交通支队,39.737521,116.138578,北京市房山区良乡西路7号附近,,,1,9026573276de3f6432f71d65
刻制公章公安备案,39.737176,116.131204,良乡西路21号附近,,,1,a6d2e6b21e30636f1f38948f
北京市公安局交通管理局房山交通支队-南门,39.753974,116.146106,政通路5号附近,7b1f31005520a763283a9f15,,1,7b1f31005520a763283a9f15
北京市公安局法医检验鉴定中心二部,39.712247,116.128366,北京市房山区X004(炒十路),34e9097615a7575087154149,,1,34e9097615a7575087154149
房山公安交通办公大厅-西北门,39.751061,116.151782,月华北大街32号,,,1,348a706f768d4d712b11d193
房山公安交通办公大厅,39.750787,116.151735,北京市房山区月华北大街32号,378272bfd3451528fd0eb0ef,(010)68397030,1,378272bfd3451528fd0eb0ef
西潞派出所-停车场,39.749519,116.135063,北潞冠18号西潞派出所附近,,,1,8722e825999c5335a0acc4fe
北京市公安局房山分局拱辰派出所-停车场,39.743808,116.148727,北京市房山区拱辰大街68号,13ccbf80196175fb283a9f38,,1,13ccbf80196175fb283a9f38
北京市公安局房山分局停车场-出入口,39.749698,116.143526,北京市房山区合欢北街,f16d0651d185227fc909f0fd,,1,f16d0651d185227fc909f0fd
西潞派出所-西北门,39.749616,116.135139,北潞园社区北潞冠18号西潞派出所附近,,,1,34fa5d9ae045fd0f250bd003
房山区公安分局-停车场,39.74992,116.14367,北京市房山区合欢北街,49f68f4f3e9689703310af3b,,1,49f68f4f3e9689703310af3b
北京市公安局房山分局-出入境接待大厅,39.749921,116.143588,北京市房山区政通路16号,620248d134d98f98704b87f5,,1,620248d134d98f98704b87f5
长阳镇碧波园社区来京人员和出租房屋服务站,39.755883,116.181495,北京市房山区长阳镇阳城环路长阳社区居委会内,,(010)80351165,1,8d9fb78c69486841734b87c7
长阳家属区社区流动人口管理站,39.75335,116.188811,长阳农场居民委员会附近,3fba67367b07691add1e521e,,1,3fba67367b07691add1e521e
大兴一职社区警务工作站,39.727678,116.288505,佟前路附近,48dd9435bb54320bc61e51eb,,1,48dd9435bb54320bc61e51eb
黄村镇周村综治工作中心,39.714527,116.296717,北京市大兴区黄村镇芦求路周村村委会,9cc2b1b40cbaae0efb22137f,,1,9cc2b1b40cbaae0efb22137f
长阳镇阎仙垡来京人员和出租房屋服务站,39.733926,116.236646,北京市房山区长阳镇107国道阎仙垡村委会,,(010)60355433,1,e9dc6352170fec1dfb42b202
林校路街道永华北里社区来京人员和出租房屋服务站,39.735007,116.329908,北京市大兴区永华北里9号楼西侧平房,,(010)69205194,1,58aa9fc6c2b5084dca1b9568
兴丰街道黄村东里社区来京人员和出租房屋服务站,39.742846,116.3492,北京市大兴区龙河街时代龙河小区42号,,(010)69258171,1,bf5829e5167b3d1a6140a90b
兴丰街道兴华东里来京人员和出租房屋服务站,39.741698,116.342983,北京市大兴区兴华大街黄村西里37号楼南侧兴华东里居委会,,(010)69293520,1,a5ac6edd937ffd8995ca070a
兴丰街道黄村西里社区来京人员和出租房屋服务站,39.73996,116.34105,北京市大兴区三中巷黄村西里56号楼北侧平房,73b366fc6d1a8fc2d13ce328,(010)69208082,1,73b366fc6d1a8fc2d13ce328
滨河西里北区社区居委会-外来人口管理站,39.755992,116.346753,滨河西里16号,c73b06e810371fe2bea240aa,,1,c73b06e810371fe2bea240aa
三合南里社区警务工作室,39.740683,116.332037,北京市大兴区三合北巷与兴业大街交叉口西南100米,,,1,b86d2da32e84b2ab0bf5eba9
兴政东里警务站,39.733473,116.348476,林校路街道兴政东里24号楼院内西侧,bb80a983997b83e5ddee8b65,,1,bb80a983997b83e5ddee8b65
兴丰派出所三合庄警务区,39.742776,116.326252,黄村西大街,dd9c2617a23a3ecfa104649f,,1,dd9c2617a23a3ecfa104649f
北京市公安局大兴分局-人民来访接待室,39.739029,116.340691,北京市大兴区兴华中路32号,e81ea10231dee443a7c756e5,,1,e81ea10231dee443a7c756e5
观音寺街道开发区社区来京人员和出租房屋服务站,39.759682,116.356522,北京市大兴区黄村镇科苑路8号甲30号楼,619e96059219f9808adb736f,(010)60282247,1,619e96059219f9808adb736f
富强东里-社区警务工作站,39.74645,116.347168,兴丰大街52号附近,a58ff9b765818cff6fc02ca4,,1,a58ff9b765818cff6fc02ca4
北京市公安局大兴分局观音寺派出所观音寺社区警务工作室,39.735144,116.355726,南湖巷与观音寺街交叉口北100米,bcad6e5cbb10ddae04fef549,,1,bcad6e5cbb10ddae04fef549
林校路街道兴华南里社区来京人员和出租房屋服务站,39.737074,116.336793,北京市大兴区兴华南里黄村西大街,b54b52612e38be6a43afe641,(010)69269684,1,b54b52612e38be6a43afe641
海子角地区警务工作室,39.727341,116.354235,海北路与海子角北街交叉口东南50米,21537296be7f06810c0a7024,,1,21537296be7f06810c0a7024
北京铁路公安局北京公安处黄村车站派出所,39.728818,116.336199,北京市大兴区黄村站西北50米(兴旺大街南),711d4a8d29d48a99a4c7568f,,1,711d4a8d29d48a99a4c7568f
大兴公安分局兴丰派出所,39.742122,116.346542,北京市大兴区兴丰大街三段58号,6a2024a337b320fd2efaa7ac,"(010)69242256,(010)69235863",1,6a2024a337b320fd2efaa7ac
清源街道康馨园社区来京人员和出租房屋服务站,39.755683,116.318841,北京市大兴区丽园路30号院2号楼底商康馨园社区居委会107室,,(010)69293421,1,8138162cf9223e164657267e
黄村镇派出所户籍室,39.754645,116.298473,北京市大兴区第十小学对面,,,1,b8bd2e3f6ef008cfad0457ea
黄村镇派出所,39.754853,116.298168,北京市大兴区黄村镇黄鹅路1号,be1ea5ef6ee573bf14948efb,(010)61239766,1,be1ea5ef6ee573bf14948efb
林校路街道车站中里社区来京人员和出租房屋服务站,39.725177,116.340736,北京市大兴区黄村镇林校南路车站中里41号楼1单元底商,,(010)69259902,1,017b2740b1faf145fb2d61a5
义和庄南里社区警务工作站,39.718384,116.33695,义和庄东路17号附近,fd03eaf41ae8010cd8ecedb5,,1,fd03eaf41ae8010cd8ecedb5
义和庄北里-社区警务工作站,39.722869,116.335244,北京市大兴区义平路56附近,2e28f0fe9322a9f9b8bd635a,(010)69201110,1,2e28f0fe9322a9f9b8bd635a
北京铁路公安处黄村车站派出所中铁吉盛警务区,39.70648,116.345492,矿林路10号附近,80fcd8250a8effd4704b873b,,1,80fcd8250a8effd4704b873b
义和庄东里社区警务工作站(锦华园小区西),39.721849,116.329997,北京市大兴区佟前路,fa2729bf224b183ae812e435,,1,fa2729bf224b183ae812e435
义和庄东里社区居委会外来人口管理站,39.721867,116.330015,义平路78号附近,9a999e3c32b2ce0f9b68b486,,1,9a999e3c32b2ce0f9b68b486
林校路派出所户籍室,39.726413,116.34177,北京市大兴区车站北巷7号,,,1,44274c0414bcbc39ad0457e4
双河南里-社区警务工作室,39.740397,116.353095,北京市大兴区双河南里,d84ecffacd58e884283a9fcd,,1,d84ecffacd58e884283a9fcd
清源街道彩虹新城社区来京人员和出租房屋服务站,39.753416,116.342745,北京市大兴区兴丰大街彩虹新城29号楼一层,,(010)69238690,1,861d287a4a1cfdbff90cadde
瑞康家园社区警务工作室,39.745704,116.347613,北京市大兴区兴丰大街东150米,,,1,cc6695b0006421fea8f729af
海子角东里-社区警务工作站,39.726766,116.361133,黄马路86附近,73d66050e6ea18ffda2f28be,,1,73d66050e6ea18ffda2f28be
观音寺街道金华里社区来京人员和出租房屋服务站,39.750935,116.353608,北京市大兴区京开辅路金华里小区内,,(010)69205426,1,b0e668dea2aa3222b5147f3c
黄村火车站巡逻警务站,39.727688,116.338886,兴华大街与林校北路交叉口西南100米,,,1,49a1183aa21a8ac16fa3cce2
丽园社区居委会-流动人口管理站,39.759241,116.32538,兴盛街与枣园路交叉口东100米,331ec33e8b034fdb16764333,,1,331ec33e8b034fdb16764333
林校路街道兴政东里社区来京人员和出租房屋服务站,39.73394,116.349612,北京市大兴区兴政街兴政东里106号,,(010)69207461,1,10b781bd9054f615c356ac76
黄村镇黄河北里社区来京人员和出租房屋服务站,39.746738,116.356268,北京市大兴区黄村镇双河北里社区9号楼北侧,35a6a3cbba264ff16cc02c33,(010)60282240,1,35a6a3cbba264ff16cc02c33
富强西里-社区警务工作站,39.743624,116.341568,富强路与富林巷交叉口北100米,0ad532e8b49597956c3e1b3a,,1,0ad532e8b49597956c3e1b3a
北京市公安局特警总队大兴大队,39.737931,116.350275,北京市大兴区黄村东大街5号,4929fd7048eef80f8bb98813,,1,4929fd7048eef80f8bb98813
大兴公安分局交通支队,39.748455,116.348326,黄村镇清源路9号5层(黄村镇人民政府东),382dc0e6f107f7fa8405bf56,(010)69242047,1,382dc0e6f107f7fa8405bf56
北京市公安局大兴分局,39.738299,116.340075,北京市大兴区黄村西大街35号,e96b442074acb65982288afb,(010)69243071,1,e96b442074acb65982288afb
清源街道康秀园社区来京人员和出租房屋服务站,39.752322,116.319761,北京市大兴区黄村镇圣和巷8号院2号楼一层,,(010)69263112,1,4a884e33f00728e4c9e33c24
警务工作站(辛店南街),39.715977,116.354768,北京市大兴区行知路与黄徐路交叉口西南50米,b6e40086012351abdc1e52dc,,1,b6e40086012351abdc1e52dc
义和庄村委会治安联防办公室,39.721859,116.330267,义平路78号附近,ff499f5d349d7c18100daac5,,1,ff499f5d349d7c18100daac5
车站南里居委会警务工作站,39.714301,116.338071,林校路73号附近,4bc0123d42c5caef17b54bf5,,1,4bc0123d42c5caef17b54bf5
海子角社区警务工作站,39.725482,116.360163,海子角北街东五条颈肩腰腿痛专科(北京友爱医院东南)附近,4b18efbaffc5b5c4ca2915f8,,1,4b18efbaffc5b5c4ca2915f8
清源街道滨河西里北区社区来京人员和出租房屋服务站,39.757512,116.346034,北京市大兴区滨河西里17号楼东配楼滨河西里北区居委会,,(010)69203673,1,d7fea0a9a995927a077ce8b0
滨河西里-社区警务工作站,39.756441,116.347221,北京市大兴区滨河西里16,aa53224e6607f7b52bd7ab10,,1,aa53224e6607f7b52bd7ab10
清源街道丽园南区社区来京人员和出租房屋服务站,39.7553,116.325132,北京市大兴区黄村镇丽园C区16号楼2单元101室,,(010)69231152,1,14e361136d5e0b27c9fa5fd3
警务工作站(清平路),39.75586,116.353551,清平路附近,f812a766d55daa3b6c4760c1,,1,f812a766d55daa3b6c4760c1
滨河西里治安联防办公室,39.755988,116.34675,滨河西里16号,f8f292bead81a4c79222e0cc,,1,f8f292bead81a4c79222e0cc
海子角东里社区居委会-流动人口管理站,39.726776,116.361142,北京市大兴区黄马路86附近,2c3e8667aaa50b3aa2a93453,,1,2c3e8667aaa50b3aa2a93453
清源路派出所丽园社区警务工作站,39.759236,116.32538,北京市大兴区兴盛街与枣园路交叉口东100米,af63a5adba39a57dc7f50de4,,1,af63a5adba39a57dc7f50de4
康居社区居委会流动人口管理站,39.738863,116.330752,三中西巷21号附近,06dc5da3365f1abd48cc4a28,,1,06dc5da3365f1abd48cc4a28
富强东里社区居委会外来人口管理站,39.746554,116.346706,兴丰大街52号附近,96611b85f916524321f01721,,1,96611b85f916524321f01721
滨河东里-社区警务工作站,39.756711,116.347901,滨河街14号楼附近,ba227dfde7191b89220220a7,,1,ba227dfde7191b89220220a7
大兴公安分局观音寺派出所,39.730446,116.35648,北京市大兴区黄村镇观音寺街69号,99ddcc41a586ad1c6cc02c09,"(010)60282007,(010)60282012",1,99ddcc41a586ad1c6cc02c09
辛店小区外来人口管理站,39.72121,116.354405,北京市大兴区海子角南街与海子角南路交叉口西南150米,bfad308124d8b96a9cec2bad,,1,bfad308124d8b96a9cec2bad
车站南里社区居委会外来人口管理站,39.713194,116.33854,林校路60-9号附近,5b7ee169eb9e4edc2dfaa769,,1,5b7ee169eb9e4edc2dfaa769
海子角西里-社区警务工作站,39.718417,116.353992,黄徐路81号附近,b5bc8d8904ff96b081a12ea6,,1,4a1d7d53b1aa5a1976e5b63e
海子角(辛店)社区居委会流动人口管理站,39.72162,116.355101,海子角北街东五条颈肩腰腿痛专科(北京友爱医院东南)附近,37947b01e801f0599e95de01,,1,37947b01e801f0599e95de01
车站南里-社区警务工作站,39.713194,116.33854,林校路60-9号附近,b942b6ecf3a5aea324e0a04a,,1,b942b6ecf3a5aea324e0a04a
天宫院街道海子角东里社区来京人员出租房屋服务站,39.724022,116.360956,喜盛街五条与海子角东街交叉口西50米,caf8848146b432d481a12eea,(010)61244270,1,caf8848146b432d481a12eea
海子角(辛店)社区警务工作站,39.721503,116.355113,天宫院街道大兴桥东100米路南车站,b2cf746028020a1ab2077de5,,1,b2cf746028020a1ab2077de5
天宫院派出所(辛店村警务工作室),39.716109,116.35563,行知路与黄徐路交叉口东南50米,da02ffb111ecd0ce8d77277c,,1,da02ffb111ecd0ce8d77277c
林校路街道饮马井社区来京人员和出租房屋服务站,39.726551,116.342142,北京市大兴区黄村车站北巷6号,c6c118936a5cc75531169b0f,(010)69224318,1,c6c118936a5cc75531169b0f
大兴公安分局林校路派出所,39.726314,116.341429,北京市大兴区黄村镇车站北巷7号,2527be1ea205acb34afc8dfb,(010)69201110,1,2527be1ea205acb34afc8dfb
大兴公安分局清源路派出所,39.749123,116.341047,北京市大兴区黄村镇清源路清源西里小区内南门西侧,6a35bf0ed7e27ed817a1905d,"(010)69245101,(010)60211083",1,6a35bf0ed7e27ed817a1905d
大兴公安分局培训基地,39.738284,116.340173,北京市大兴区西大街35号北90米,,,1,ca59933dc184cd83a6da39c3
北京市公安局特警总队大兴大队-东门,39.737976,116.350578,黄村东大街16号附近,,,1,37a9c50c3d83593cbca82278
自行车租赁兴丰派出所站,39.742098,116.345898,北京市大兴区兴丰南大街,3b61cade08b69edd5d0d0273,,1,3b61cade08b69edd5d0d0273
黄村站铁路派出所-东北门,39.728793,116.336228,兴旺路附近,,,1,0bdc2c8ed8b53f0dc4f025e4
大兴区公安系统综合业务用房,39.748812,116.348327,清源路5号附近,335502439df7c09c8e7727f5,,1,335502439df7c09c8e7727f5
兴丰派出所-西门,39.742138,116.346246,兴丰南大街黄村中里兴丰家园,,,1,65fc47b7b9ee7672a8f0cd10
大兴公安分局交通支队停车场-出口,39.748401,116.348201,北京市大兴区滨河街与龙河路交叉口西100米,,,1,f3d2c12d102c1fc99e82ea90
北京市公安局大兴分局兴丰派出所-停车场,39.741966,116.346313,北京市大兴区黄村地区兴丰北大街3,58265e792bf6039d8605bfff,,1,58265e792bf6039d8605bfff
观音寺派出所户籍室,39.730647,116.356731,北京市大兴区观音寺街69号附近,,,1,1b1e7359dd521587931fc90c
北京市公安局大兴分局法医检验鉴定所,39.73132,116.312588,北京市大兴区永华路北50米,4156c135f08a77b12811d15a,,1,4156c135f08a77b12811d15a
大兴区综合行政服务中心公安分局分中心,39.738465,116.339511,黄村西大街35号,896d718454f946e5c909f026,,1,896d718454f946e5c909f026
观音寺派出所-东北门,39.730513,116.356722,观音寺街69号附近,4c0bf6ed4b7d548cad31e50f,,1,4c0bf6ed4b7d548cad31e50f
大兴公安分局交通支队-停车场,39.748458,116.347761,北京市大兴区清源大兴交警支队(大兴区黄村镇政府东),48cefcde15333be381a12edf,,1,48cefcde15333be381a12edf
国家电网充电站(北京市大兴区黄村镇派出所),39.754463,116.298341,北京市大兴区黄村镇派出所南侧停车场,,,1,fc5da1eaa39daa83bfa82205
大兴区公安分局林校路派出所治安联防办公室,39.7207,116.361609,北京市大兴区,dc0bfdcd0459407271455bfd,,1,dc0bfdcd0459407271455bfd
林校路派出所-东门,39.726229,116.34183,车站北巷7号附近,,,1,c092ca06190e0e092efaa7bc
大兴公安分局交通支队停车场-入口,39.748397,116.349028,滨河街与龙河路交叉口西100米,450d2cd8dc79c571a80dd8db,,1,450d2cd8dc79c571a80dd8db
大兴公安分局小马坊,39.738284,116.340173,北京市大兴区西大街35号北90米,,,1,def8bf72082052804d2fdf89
大兴区公安系统综合业务用房-南门,39.748537,116.348678,北京市大兴区滨河街与龙河路交叉口西100米,a5c0bc65d602150377026989,,1,a5c0bc65d602150377026989
