name,lat,lng,adderss,street_id,telephone,detail,uid
日本公使馆旧址,39.9092,116.414879,北京市东城区东交民巷23-1号,e30828481ffff3c1b24c49b1,,1,e30828481ffff3c1b24c49b1
比利时使馆旧址-南门,39.907552,116.41882,北京市东城区崇文门西大街9号,2c415b05c1e9f3e34e776ef9,,1,2c415b05c1e9f3e34e776ef9
北京东交民巷使馆建筑群,39.907574,116.419024,台基厂大街与祈年大街交叉口东100米,65fea5c234e4ba51cd04ef1c,,1,65fea5c234e4ba51cd04ef1c
法国使馆旧址-东交民巷天主堂,39.909321,116.418446,东城区东交民巷甲13号,80cd82a724156ff5fb2213c3,,1,80cd82a724156ff5fb2213c3
比利时使馆旧址,39.908033,116.418889,崇文门西大街9号,d3f18b284e2abd281f389483,,1,d3f18b284e2abd281f389483
美国使馆旧址,39.907164,116.407801,前门东大街23号,4c9a4a440a824583932ca30f,,1,4c9a4a440a824583932ca30f
日本公使馆旧址-南门,39.908966,116.414639,北京市东城区东交民巷23-1号,c70798b87ed584da51e5c5b9,,1,c70798b87ed584da51e5c5b9
奥匈使馆旧址,39.912435,116.420268,东城区台基厂头条3号,c8b5cdeff1cab87d120daa8a,,1,c8b5cdeff1cab87d120daa8a
意大利使馆旧址,39.912704,116.417776,北京市东城区台基厂大街1号,cc0849a077f7df5194031916,,1,cc0849a077f7df5194031916
英国签证申请中心,39.928751,116.438294,北京市东城区东水井胡同5号北京Inn2号楼B座9层A区A901-919室,2481d2aca4a26c023be4a631,,1,2481d2aca4a26c023be4a631
希腊驻华大使馆文化处,39.922194,116.458667,光华路9号世贸天阶大厦17层,0c15aae496a25db11b94c6e3,,1,0c15aae496a25db11b94c6e3
乌拉圭大使馆武官处,39.913219,116.458552,建国门外大街乙8号丽晶苑18-A,1eeed5465eccf58cb4147fab,(010)65684772,1,1eeed5465eccf58cb4147fab
阿尔巴尼亚大使馆,39.918657,116.455174,北京市朝阳区光华路28号,91c13f931de22d8420f017ab,(010)65321120,1,91c13f931de22d8420f017ab
美国驻华大使馆第二签证审理处,39.917871,116.455542,北京市朝阳区秀水东街2号,9c954c3f37e2d2e48b2fb5d4,,1,9c954c3f37e2d2e48b2fb5d4
圭亚那大使馆,39.921587,116.455707,北京市朝阳区建国门外秀水东街1号,6fddd7fd5ffb0b013417dcb7,(010)65321337,1,6fddd7fd5ffb0b013417dcb7
芬兰共和国驻华大使馆,39.919706,116.466857,北京市朝阳区光华路1号北京嘉里中心南楼26层,77e90c1667bac22ecae33c99,(010)85198300,1,77e90c1667bac22ecae33c99
保加利亚共和国大使馆,39.917153,116.455197,北京市朝阳区建国门外秀水北街4号,1df0409e7f44357c744ff18a,(010)65321946,1,1df0409e7f44357c744ff18a
白俄罗斯大使馆,39.922247,116.455358,北京市朝阳区日坛东一街1号,e116be54f8bc7c06c91b954b,(010)65321691,1,e116be54f8bc7c06c91b954b
越南驻华大使馆-武官处,39.918871,116.452285,建国门外光华路32号,adce9d2f769d4fa4c61b7519,(010)65323593,1,adce9d2f769d4fa4c61b7519
越南驻华大使馆-商务处,39.918871,116.452285,建国门外光华路32号,5a72492004d316d416c90549,(010)65327035,1,5a72492004d316d416c90549
斯里兰卡驻华大使馆-武官处,39.917746,116.451162,建国门外建华路3号,198ee41920e3c171d91318e9,(010)65321862,1,198ee41920e3c171d91318e9
越南驻华大使馆-科技处,39.918963,116.452086,建国门外光华路32号,41ade56d339f8ce6c61e5115,(010)65327055,1,41ade56d339f8ce6c61e5115
希腊大使馆-领事处,39.919347,116.446266,光华路19号,41572e00f6e9ebcab55f1eab,(010)65321588,1,41572e00f6e9ebcab55f1eab
奥地利大使馆-文化处,39.915303,116.450661,齐家园外交公寓7-4-33室,62ba5633aa7a1ea595f08cfa,(010)65329269,1,62ba5633aa7a1ea595f08cfa
埃及使馆商务处,39.915256,116.445185,秀水街1号建外公寓1号楼5单元7层,823f42436384aeec9cf779a4,,1,823f42436384aeec9cf779a4
伊拉克驻华大使馆-文化处,39.91791,116.444878,建国门外秀水北街25号,2887cc1667703c44e5073859,(010)65323248,1,2887cc1667703c44e5073859
古巴驻华大使馆-领事处,39.916187,116.452589,建国门外秀水南街1号,022fca3913d012036f3e1b69,(010)65322656,1,022fca3913d012036f3e1b69
新加坡驻华大使馆-商务处,39.917419,116.45094,建国门外秀水北街1号,e006443b2bb36500047ce817,(010)65059393,1,e006443b2bb36500047ce817
