name,lat,lng,adderss,street_id,telephone,detail,uid
北京市房山区文委行政执法队,39.734817,116.140503,北京市房山区西潞街道海逸半岛社区西潞南大街甲12号,e8ffeca1560e72c43517dc3e,,1,e8ffeca1560e72c43517dc3e
北京市房山区城市管理综合行政执法监察局,39.728761,116.143061,西潞南大街25号,5834c590548a824740024527,(010)69378917,1,5834c590548a824740024527
吴店拆迁指挥部,39.757757,116.157784,北京市房山区行宫东街,bc14da8f31e09d9976e5b667,,1,bc14da8f31e09d9976e5b667
府前广场应急避难场所,39.751634,116.151135,北京市房山区政通路4附近,d83448ea280d5d70ca1b9520,,1,d83448ea280d5d70ca1b9520
北京市房山区城建档案信息中心,39.759972,116.156734,吴店西里9,b3237c15a1af58fe8af15d20,,1,b3237c15a1af58fe8af15d20
北京市房山区测绘所,39.759851,116.156705,吴店西里9号楼,8eb48fa1b71dd3a6f32d83c6,,1,8eb48fa1b71dd3a6f32d83c6
房山区旅游局,39.754082,116.158061,月华北大街8号,844a750e92bbf1b9626858c6,(010)89352764,1,844a750e92bbf1b9626858c6
房山区纪检监察局,39.75419,116.149663,政通路1号,56810345a98ea46f0bccddba,,1,56810345a98ea46f0bccddba
北京市房山区建设委员会良乡房管所,39.742569,116.149717,良乡北关东路4号,0ec4b4861b45a6e65b10930a,(010)69352212,1,0ec4b4861b45a6e65b10930a
房山区动物卫生监督所,39.730508,116.11217,北京市房山区京周路斯巴鲁汽车房山澎湃中冀专卖,1b4bb0f53b4fa8ffb75f1ec1,,1,1b4bb0f53b4fa8ffb75f1ec1
房山房地产交易中心,39.736406,116.13485,房山区良乡镇苏庄东街2号,bff8fa7d722f9eddc8213dd4,,1,bff8fa7d722f9eddc8213dd4
房山区史志办公室,39.75419,116.149663,政通路1号,d32aa7d331be8b8709b93ae0,(010)89350071,1,d32aa7d331be8b8709b93ae0
文化路社区(居家)养老综合管理服务中心,39.740018,116.150722,温泉镇良乡中路54号,eff0f5c5496be85f7069d3d0,,1,eff0f5c5496be85f7069d3d0
房山区精神文明建设委员会办公室,39.75419,116.149663,政通路1号,437cad44964ae76d4f776ec1,(010)89350021,1,437cad44964ae76d4f776ec1
房山区电信局,39.754607,116.147723,拱辰北大街21号,e889a744b50860b58605bfc7,(010)89361166,1,e889a744b50860b58605bfc7
房山区渔政监督管理站,39.75336,116.145653,政通路8号,ddcb4c02f1551d8793114c10,,1,ddcb4c02f1551d8793114c10
北潞园社区居委会-劳动和社会保障服务站,39.746643,116.134553,北潞芳家园3,3f24e46fddb13683b45f1e86,,1,3f24e46fddb13683b45f1e86
