name,lat,lng,adderss,street_id,telephone,detail,uid
绿缘商城,39.736756,116.143193,北京市房山区西潞南大街1号,bc779c13932b5363c7f02571,(010)69360883,1,bc779c13932b5363c7f02571
李宁(华冠商城店),39.741547,116.145974,北京市房山区良乡秋树街38号华冠购物中心F2,,,1,b43f4c647feaa03297031937
新华商城,39.729013,116.157083,北京市房山区鸿顺园西区(良乡大学城西地铁站西),,,1,e7465297b94a949ac4effbab
淘客多一站式购物商城,39.741426,116.147803,北京市房山区楸树街42号附近,,,1,9439455baf7b5dc40c0a7038
国烟国酒商城,39.734816,116.15428,昊天大街177号,,13796279989,1,b5ac20e64471579397ec844b
沃惠商城,39.760589,116.178372,长阳路与阳光北大街交叉口东北200米,,,1,cd61208480d55d6b17948e73
星城商厦,39.736259,116.34565,北京市大兴区兴丰大街185号,37d60a4657e6ce601e1d11fb,(010)69241984,1,37d60a4657e6ce601e1d11fb
菜百首饰(星城商厦店),39.735751,116.344783,北京市大兴区兴丰南大街15号星城商厦1层,7bfa08fc51583e6625d2bb71,(010)69230488,1,7bfa08fc51583e6625d2bb71
三友电脑商城,39.751578,116.34464,北京市大兴区兴丰大街2段-205,,(010)69296725,1,f3419eeff55aa8c81811d557
北京国美大兴一店(星城商厦店),39.736201,116.345585,大兴区黄村镇兴丰南大街18号,431d763e2729db77dbd8917c,(010)69296344,1,431d763e2729db77dbd8917c
北京金都仓储服务中心网上商城,39.752769,116.351946,北京市大兴区S215,a86299c5c5baaf65a3acc48f,,1,a86299c5c5baaf65a3acc48f
屈臣氏(星城商厦店),39.736472,116.345422,北京市大兴区黄村镇兴丰大街15号星城商厦一层,7b10f33f443eaacfb817e721,(010)69259301,1,7b10f33f443eaacfb817e721
兴糖商城,39.727991,116.342026,黄村镇林校北路20号,3f9337d686af18b3f72310fb,,1,3f9337d686af18b3f72310fb
中复电讯(北京帝园商城店),39.737995,116.346382,北京市大兴区黄村镇兴丰大街62号北京帝园商城1层西区,6810ba4883241d17ed74f84d,(010)69242700,1,6810ba4883241d17ed74f84d
戴尔电脑(星城商厦店),39.736134,116.345711,北京市大兴区兴丰大街15号星城商厦F4,,,1,4474b0b9608f1064d6b74e7f
兴集商厦,39.743563,116.345686,富强西里45,d09e7478436c6004336212ba,,1,d09e7478436c6004336212ba
北京阳光起跑线商城,39.74447,116.338523,北京市大兴区新华街27号楼百联清城购物中心2层,,,1,6171712116e65bb2cafa5f02
黄村东大街帝园商城东区,39.737791,116.347644,北京市大兴区兴丰南大街59号,497c077de8dc19a445e27478,(010)69241658,1,497c077de8dc19a445e27478
星城商厦-一层小百货,39.73567,116.344891,北京市大兴区商场南巷,005b93819eea56674afc8dd5,,1,005b93819eea56674afc8dd5
菜百首饰(星城商厦店),39.735993,116.345529,北京市大兴区兴丰大街15号星城商厦F1,16587d2a32692c7d38221cca,,1,16587d2a32692c7d38221cca
金都建材网上商城-B区,39.752704,116.353088,柳林路与柳林路一巷交叉口东南100米,78f1e9af0d06790cad080f87,,1,78f1e9af0d06790cad080f87
361度(帝园商城店),39.737791,116.351431,北京市大兴区东大街1-8附近,5fa2f1cf9b592510cc06a48c,,1,5fa2f1cf9b592510cc06a48c
博士眼镜(北京帝园商城店),39.737671,116.347587,黄村兴丰大街62号帝园商城(黄村东大街)1层,7d7342dd4a0c0b2dc9c3db00,,1,7d7342dd4a0c0b2dc9c3db00
华福烟酒商城,39.7435,116.332447,富强路171,0f120c18b4764e8ce607389f,(010)69243091,1,0f120c18b4764e8ce607389f
贯强蓄电池商城,39.738616,116.332834,北京市大兴区黄村兴业大街三合南里22号,fb63bd3c8dc4560386420ed8,(010)89295922,1,fb63bd3c8dc4560386420ed8
