name,lat,lng,adderss,street_id,telephone,detail,uid
房山区良乡体育中心,39.747884,116.1424,政通路26号,c5822495dfc801f70c0e6b5d,,1,c5822495dfc801f70c0e6b5d
英仕马汇马术俱乐部,39.717781,116.110642,北京市房山区阎村成人学校南100米(阎村成人学校),b29d50221286c1761f3894ef,"4000305225,(010)57265225",1,b29d50221286c1761f3894ef
驭健综合训练馆,39.750708,116.1448,隆曦园路文水家园6幢1-20,,17600128950,1,4e81b0011ad1c8463517dcbd
大众篮球馆,39.748132,116.144632,北京市房山区良乡体育中心D栋,,,1,dab96bd0e99e9568d13ce320
阳光体育场,39.745717,116.137301,近郊房山区北潞园小区,c61bd305efde9315c27da2df,(010)89393689,1,c61bd305efde9315c27da2df
房山区工人俱乐部,39.728682,116.129626,北京市房山区翠柳大街与长虹西路交叉口西50米路南,b01160ef5a5709fd725e8072,(010)50874018,1,b01160ef5a5709fd725e8072
北潞园小区篮球场,39.745254,116.137402,北京市房山区北潞园小区阳光体育场,b6743cee01d233d7354aaeeb,(010)89393689,1,b6743cee01d233d7354aaeeb
龙之恋乒乓球俱乐部,39.756008,116.143283,北京市房山区良乡隆曦园b区1号楼对面,6b728a53151dc15288fc0690,,1,6b728a53151dc15288fc0690
北京市房山区碧洲青少年乒乓球俱乐部,39.751779,116.142183,隆曦园B区渔儿沟村文化活动中心内,a904bd5fd9ac7fc6eee4a576,,1,a904bd5fd9ac7fc6eee4a576
房山区良乡体育中心-体育场,39.748746,116.142063,政通西路与政通路交叉口东南150米,c4a5d77834692822e6e965fb,15210419881,1,c4a5d77834692822e6e965fb
武状元功夫馆,39.726017,116.129654,房山区西潞街道佳世苑26号2层206室,666ee3d0c4f2647b45e27408,(010)69381150,1,666ee3d0c4f2647b45e27408
阿布溜溜少儿轮滑,39.751763,116.147264,房山区拱辰北大街龙湖北京房山天街三楼,,,1,25ee003a1ffb5937028972fb
悠游宝贝国际婴幼儿游泳馆,39.72661,116.155726,北京市房山区良乡瑞雪春堂二里1号楼1-1,,,1,1c037a032ec48b0102897240
马博士婴儿游泳馆,39.740602,116.14555,北京市房山区良乡秋树街38号华冠购物中心F4,,"(010)57010240,13520215860",1,5d846aa28c5e53336c476032
渔儿沟群健乒乓球俱乐部,39.756234,116.143285,北京市房山区良乡京港澳高速公路隆曦园B区,93190d6ee49b89ad1c389449,,1,93190d6ee49b89ad1c389449
击剑俱乐部,39.736966,116.144695,良乡中路80号(美丫美百货东100米),e5b6d8fe9d6474789d95de26,,1,e5b6d8fe9d6474789d95de26
体育场路,39.747924,116.153196,体育场路与建华路交叉口西50米,,,1,8c11749b38f97d26fe0eb02b
红健跆拳道,39.740885,116.139916,北京市房山区北关西路,fc68460a02d56a265cbe86fb,,1,fc68460a02d56a265cbe86fb
卓跃运动馆,39.734956,116.147776,良乡镇拱辰南大街良辰百货三楼卓跃儿童运动馆,,,1,b964a1707e0f45d7734b87c1
博瑞跆拳道馆,39.737063,116.15163,北京市房山区文化路与良乡中路交叉口东50米,12baa02f2de80651f6c59cd0,,1,12baa02f2de80651f6c59cd0
网球场,39.725318,116.154315,北京市房山区良常路辅路,917a42e4933620131b11d53f,,1,917a42e4933620131b11d53f
良乡体育训练基地,39.747723,116.155101,北京市房山区体育场路4号,d6f59541087e69f431f71df5,,1,d6f59541087e69f431f71df5
太平庄羽毛球馆,39.741092,116.124786,北京市房山区G4(京港澳高速),1b2f467da1dc77f94d776e5b,(010)61354468,1,1b2f467da1dc77f94d776e5b
游泳馆,39.747408,116.141146,北京市房山区月华大街良乡文化广场(北潞园附近),6d19d3cfe418b59633169b57,,1,6d19d3cfe418b59633169b57
云川台球城(178店),39.741452,116.148143,拱辰大街49号科豪大厦4层,0a947e83453f39d93f9a5e25,(010)69365789,1,5c3517001237255fbfa82269
良乡训练馆,39.747124,116.155178,体育场路4号,999c336d8c13a830e011036a,,1,999c336d8c13a830e011036a
波菲武道馆,39.741827,116.144616,良乡北关西路20号伟业商厦3层,55f975e61769aebd0b1cc7a8,18600270097,1,55f975e61769aebd0b1cc7a8
武星盛龙跆拳道,39.729489,116.129765,北京市房山区共创大厦2层201室,,,1,716c8bc205e2c0547fc87654
儿童欢乐城,39.728262,116.129751,北京市房山区良乡镇佳世苑27号楼底商,,,1,752d37137902b475f6c59c7d
圆石滩乐享高尔夫,39.717495,116.110721,北京市房山区X004(炒十路),96cab7d922a4f6fc7c29bd28,18611549301,1,96cab7d922a4f6fc7c29bd28
仁正一跆拳道,39.741907,116.143754,北京市房山区北关西路22号良乡教育大厦3层,e3363258a78b1d331df74da6,"13911872053,15201032974",1,e3363258a78b1d331df74da6
德宝温泉会议中心-网球场,39.743434,116.156084,良乡多宝路1号北京德宝温泉会议中心,950578794b16824404fef55e,,1,950578794b16824404fef55e
龙跃龙辉搏击俱乐部,39.756536,116.139799,北京房山区良乡渔儿沟圣晖花园东门对面院内,d80f696afc37cc1b7369d306,13426038344,1,d80f696afc37cc1b7369d306
北京菲拓国际儿童运动俱乐部(房山店),39.736901,116.148047,良乡华哼国际中心9层912室,a6a640eb00962c8a9d95de8b,(010)80640906,1,a6a640eb00962c8a9d95de8b
华夏跆拳道,39.734956,116.147776,北京市房山区良乡国泰良辰百货三楼华夏跆拳道,,,1,4ab7d6f5e2e9a4390e3dda90
华夏精武跆拳道总馆,39.734956,116.147776,拱辰南大街123号国泰良辰百货3层,,,1,4d4d2bd7c34fd7b79d95de80
房山国际象棋俱乐部,39.744354,116.147781,北京市房山区良乡拱辰大街31号,bf7206ffcbc5e9d61ef74df0,(010)69382007,1,bf7206ffcbc5e9d61ef74df0
尚义跆拳道良乡馆,39.747979,116.151932,北京市房山区体育场路13号,,,1,bc689db9123814849d82ea5b
霞光体育场,39.741502,116.12585,北京市房山区,,,1,97372dc7ef6f4bd06168587b
阳光体育俱乐部跆拳道训练馆,39.745481,116.135754,北京市房山区北潞春南路1-1号,ded359f7bfefdc104c6d46ef,,1,ded359f7bfefdc104c6d46ef
宇春跆拳道馆,39.741928,116.146941,北京市良乡镇楸树街36号朝晖大厦5楼,a262d63962cfb9c0a6da398e,15010688674,1,a262d63962cfb9c0a6da398e
拳武跆拳道馆,39.739102,116.126199,太平庄南路104号附近,,,1,9730a9ad17ad4b821d1d118e
