name,lat,lng,adderss,street_id,telephone,detail,uid
大众健身房馆(良乡体育中心店),39.748309,116.144284,北京市房山区良乡体育中心D栋,,(010)56249033,1,342357ad2cc6faa57069d3d1
贺然国际健身学院,39.727283,116.129783,北京市房山区良乡苏庄大街佳世苑底商北区2-202号,62ebd71d057dd8bfb13c8151,(010)60337271,1,62ebd71d057dd8bfb13c8151
龙莉健身私教工作室,39.742437,116.132517,北京市房山区良乡北潞园健身广场北侧社区服务综合楼2005,,13811989856,1,7b86d54b25338cef9ff7794e
力练者健身馆,39.736668,116.131876,北京市房山区拱辰街道良乡西路30号力练者健身馆,,,1,ef2893915d39ed972ce67b18
北京动岚健身学院(学员报名处),39.742797,116.154862,房山区良乡多宝路德宝温泉会议中心二楼动岚健身(电业中学格林豪泰),a11a237472b24e70bb17e71b,,1,a11a237472b24e70bb17e71b
动岚健身总部,39.727242,116.138433,国槐街6号,,4000065299,1,0ebc6463008aee35b23c81c9
竞酷健身(房山店),39.719194,116.131673,北京市房山区良园二路超级蜂巢正对面,1ccdad2290ac5d9d3fe23187,,1,1ccdad2290ac5d9d3fe23187
阿瑞斯健身,39.724609,116.155363,北京市房山区良乡瑞雪春堂(良官路西),f152e15bc3fd295612882491,,1,f152e15bc3fd295612882491
昊天游泳健身会所,39.750158,116.146698,北京市房山区良乡拱辰北大街1号昊天假日酒店后院1层,4a0f71537e2d854b9868b489,18612179939,1,4a0f71537e2d854b9868b489
星月游泳健身,39.741946,116.147749,北京市房山区拱辰大街47号,,,1,84a8ac4acd83eb4e901fc929
玖晟捷健身空间(良乡店),39.736064,116.125211,太平庄综合市场二楼,,13910531154,1,3e77b909845b92d7e8e5825f
领动健身学院,39.742419,116.165606,良乡伟业家园北里,,,1,24d801ba30230bfad8eced90
普拉提运动健身会馆,39.727283,116.129783,良乡苏庄佳世苑底商乐家乐购超市二楼,b7a34cf92dba0e543517dcde,,1,b7a34cf92dba0e543517dcde
7号球汇平价大药房,39.739256,116.130643,北京市房山区良乡太平庄东里1号楼,879d4780688add9a7c29bdcd,"13910514575,13581895653",1,879d4780688add9a7c29bdcd
北京就爱舞舞蹈工作室,39.741227,116.146942,良乡医院对面朝晖大厦小博士幼儿园院内二楼,6c62f1968edc69c8c4effb85,13401030453,1,6c62f1968edc69c8c4effb85
北京绿色时代健身服务有限公司北京市房山区分公司,39.739153,116.142715,西潞北大街59号,52cd5a0b695d3e3e93114c4f,,1,52cd5a0b695d3e3e93114c4f
奥力新都会健身俱乐部,39.761305,116.169062,北京市房山区长阳镇绿地启航国际1号院5号楼b2层,37c9a1038cb9e6030a5cb37c,(010)89359088,1,37c9a1038cb9e6030a5cb37c
乐刻健身(启航国际店),39.748617,116.187478,北京市房山区辰光东路16号院16号楼103室,,,1,34d441ddc75d67e4aeb22a87
纯硕健身俱乐部,39.735489,116.188155,卓秀北街与良乡东路交叉口绿地诺亚方舟南区6号楼,,18210247686,1,a768e2ac9e37312e43ab9af6
良子健身(房山二店),39.75897,116.220409,北京市房山区广阳新路5号院中粮万科VMO祥云墅南门11号楼105室(半岛广场),2a7dc051ad6b7ab66c3e1b9b,(010)56335707,1,2a7dc051ad6b7ab66c3e1b9b
健身时刻Moments,39.739403,116.187376,北京市房山区卓秀北街8号院绿地诺亚方舟北区2号楼906室,,,1,2a5a17020454e308cae33ca4
GM健身工作室,39.756661,116.205073,北京市房山区长阳镇张家场周转房(长阳路南),,13780344789,1,44ef11cfb0ea865d1b94c6cd
君力游泳健身(金地朗悦店),39.739656,116.198819,阜盛东街金地朗悦二期57号院(12中学对过),,,1,0ea43486c1ea86e39cf779bf
武泰搏击健身,39.758935,116.215579,北京市房山区祥云街10院6号楼,,18511462369,1,1943960ccd8b80a83a04b132
大球馆,39.748117,116.168599,北京市房山区梅花街7号,c2468e92980f0ae43913fd81,,1,c2468e92980f0ae43913fd81
钛渡健身漫铂汇,39.739424,116.335374,北京市大兴区西大街三中西巷天锦苑商业街17号院底商,264afa7eec6da53a88fc06dc,(010)57241236,1,264afa7eec6da53a88fc06dc
兴核游泳健身,39.749761,116.347672,北京市大兴区清源路甲1号(兴核宾馆院内),,,1,1dac717655bb1c9c220262dd
元素力量健身俱乐部,39.758664,116.32406,枣园路大鸭梨5楼,,,1,069cfd3a958fa34ff33cba04
帝都游泳健身(枣园店),39.759677,116.34075,北京市大兴区枣园路4-25号,,(010)87713996,1,64ac857e1e22f0ddfa42b214
魔蝎韵动健身,39.756179,116.338255,丽园路与兴华大街交叉口中海国际港9号楼805室,,,1,80a967a8736269f37069d39e
星普健身工作室,39.752916,116.31902,北京市大兴区丽园路30号院24号楼1层104,,17600983636,1,f4ef81fe570110bc260bd0ee
帝都健身游泳中心(物美店),39.732535,116.337985,永华南里1号楼物美大卖场B1层,,,1,12081669388c1ab7260bd03f
唯米健身,39.754108,116.338054,北京市大兴区枣园波普公社三号楼3楼,beede2afbb0868c71ce999bd,15611028750,1,beede2afbb0868c71ce999bd
领尚健身(枣园店),39.759388,116.339485,北京市大兴区兴丰大街3段183号附近,,"13552611223,13581668743",1,878698c82979f7b528b97cb9
体育用品健身器材,39.744308,116.345737,兴丰大街67号,,"(010)69242959,15210056429",1,6f89f658eaab06591e580095
兴宾馆健身中心(生活天下),39.733284,116.346747,兴丰大街三段118号大兴宾馆康体中心2层,5841cb2f44f8ea6b84154159,,1,5841cb2f44f8ea6b84154159
源于汇聚健身俱乐部,39.742514,116.361404,团河路48号院盛嘉华苑2号楼底商,,(010)61296788,1,e9892e87e121c0112cb17e68
帝都健身,39.755237,116.339689,兴华路兴华大街交叉口物美超市内,a9682a0464d4061a6849f389,,1,a9682a0464d4061a6849f389
北京妙爽居健身中心,39.755655,116.33581,北京市大兴区枣园路丽园东里小区丽园东里北门,492fc42de83595ef23f01766,,1,492fc42de83595ef23f01766
觅跑自助健身,39.733616,116.337355,北京市大兴区永华路1-1附近,,,1,73fa202eac379d77ce04efe9
梵悦心灵瑜伽(大兴店),39.732172,116.335167,北京市大兴区艺苑桐城底商13-1,cee4cb1ede6fb57f8936eea7,18610220817,1,cee4cb1ede6fb57f8936eea7
大兴宾馆-游泳健身中心,39.733269,116.3464,北京市大兴区黄村兴丰大街118号大兴宾馆后院,e736ebfc3cf7309e931fc9ce,(010)57170857,1,e736ebfc3cf7309e931fc9ce
维特瑞健身会所,39.816715,116.165904,北京市丰台区云岗西路5-2,,,1,2a34814eeaa8ccaf9703191f
北京南宫温泉度假酒店-康体健身部,39.811467,116.160428,福宫路39号北京南宫温泉度假酒店B1层,ba3e8a5670dc85b10f0a705f,,1,ba3e8a5670dc85b10f0a705f
新都汇健身,39.762245,116.166322,北京市房山区良乡绿地启航社(绿地缤纷城西南),733976dc3273ead3d12dd660,,1,733976dc3273ead3d12dd660
硬糖国际健身会所(长阳店),39.769111,116.219996,北京市房山区长政南街1号院1号楼京投港·长阳6层,002f8622dc0df81fa8f729de,(010)50875388,1,002f8622dc0df81fa8f729de
