name,lat,lng,adderss,street_id,telephone,detail,uid
英仕马汇马术俱乐部,39.717781,116.110642,北京市房山区阎村成人学校南100米(阎村成人学校),b29d50221286c1761f3894ef,"4000305225,(010)57265225",1,b29d50221286c1761f3894ef
长阳奇兵连俱乐部,39.71311,116.204175,长阳镇黄良路南,abb0f1a59cce1974d4851f9e,,1,abb0f1a59cce1974d4851f9e
北京盛彬马术俱乐部,39.752995,116.262622,北京市大兴区黄村镇鹅房村左堤路,,13910825026,1,7bc3aef70e939eb9d22dd6b4
万芳亭马术俱乐部,39.742099,116.264342,北京市大兴区芦城乡鹅房村西口左堤路东侧昊建路南行1.5公里处,46e86fdd91c97d6cd03ce3ae,"13521143383,(010)61230068,13801364387",1,46e86fdd91c97d6cd03ce3ae
万芳亭马场,39.754459,116.261946,北京市大兴区左堤路鹅房村,18bbf3e0c5febcb0901fc96e,13601113969,1,18bbf3e0c5febcb0901fc96e
万芳亭马术俱乐部-东北门,39.742184,116.264632,北京市大兴区左堤路东150米,3faace633e3836fb841541df,,1,3faace633e3836fb841541df
芦城韭菜园马术俱乐部,39.745878,116.297874,北京市大兴区芦宋路,,,1,10e87f14382c8d7eeaf85336
国际友谊马场,39.802013,116.130286,北京市丰台区S328(泉湖东路),99aab037bb262d36744ff161,,1,99aab037bb262d36744ff161
北京纵横马术,39.790009,116.177292,北京市丰台区王佐镇顺源路,,(010)51261033,1,af275c5e9c1b1276ae31e5c8
纵横马术-北门,39.791187,116.176332,丰台王佐镇王庄(南宫地热博览园东南2公里)附近,,,1,c09cb91e220f9a010f0a70f8
风度马会(丰台俱乐部),39.791088,116.174765,北京市丰台区王佐镇王庄村北(顺源路),,13910391873,1,80de2afbf1c6289e28d7ab66
汉旗马术俱乐部,39.816462,116.264576,北京市丰台区农场路9号(紫谷伊甸园内),,"18600296840,13911445679,(010)63777988",1,19b5c4ac7e00e80472455bc3
慕马堂国际马术学院,39.779109,116.242013,北京市房山区长阳镇稻田南里5号青年农场东侧紧挨畜牧兽医实训园,,,1,59c5cc4399add64dcc06a487
北京汉旗马术俱乐部-停车场,39.816805,116.26434,左堤路国营北京市卢沟桥农场紫谷伊甸园内,,,1,cdae78794d53a34d2db96da9
马场加油站(公交340总站),39.843062,116.290814,北京市丰台区内环西路与富丰路交叉口北100米,baf3b9764cf13e6938221cd5,,1,baf3b9764cf13e6938221cd5
马场保温段住宅小区小-2号楼,39.840539,116.286007,富丰桥南富丰路8号楼,8fb5702931c099e6b35c6a92,,1,8fb5702931c099e6b35c6a92
马场6号楼,39.840221,116.286244,北京市丰台区新村街道外环西路保温段住宅小区,9176c197acbda2f432f71d4f,,1,9176c197acbda2f432f71d4f
马场5号楼,39.839777,116.284992,马场保温段住宅小区5号楼,4379c869a9a3a2e15a3ac88b,,1,4379c869a9a3a2e15a3ac88b
马场1号楼,39.84052,116.285917,北京市丰台区保温段住宅小区(北京电子科技学院南),a77f89281f6aaf9d364aae22,,1,a77f89281f6aaf9d364aae22
马场4号楼,39.839412,116.285807,北京市丰台区新村街道外环西路保温段住宅小区,bb230a2b40efeef37f29bdde,,1,bb230a2b40efeef37f29bdde
马场3号楼,39.839775,116.285925,北京市丰台区保温段住宅小区(外环西路西),02945f0ec673df4dbca24047,,1,02945f0ec673df4dbca24047
马场,39.837459,116.289663,北京市丰台区中核路8号东70米,,,1,57c41b13c479d328f02d834d
马场157号,39.833853,116.285967,外环西路与海鹰路交叉口西100米,b285e5efb8ac741afe0eb058,,1,b285e5efb8ac741afe0eb058
养马场,39.905101,116.170382,石景山区,300f8826011fd7748505bf72,,1,300f8826011fd7748505bf72
养马场公寓,39.902205,116.17398,石景山区水泥厂后身路南50米,,,1,1cd424e9e26e0ba258f6be3f
丰台区马术训练基地,39.877706,116.274352,北京市丰台区田各庄路321号,436228f9a3c5bdec40afe603,(010)63775768,1,436228f9a3c5bdec40afe603
中国社会工作联合会心理健康工作委员会马术运动与心理行为学部,39.878723,116.274828,G4京港澳高速与G4京港澳高速出口交叉口西北150米,,,1,6ac3b6f02f23b370213bf2cd
马场西里一号楼,39.902672,116.346065,北京市西城区小马厂西里1,db900694aeac5602b320a8fa,,1,db900694aeac5602b320a8fa
中奥邦成马术文化产业有限公司,39.799271,116.518585,经济技术开发区荣京东街2号大族广场T1座,,,1,8bd3fa0309c19215ca2915ce
北京银行(西马场路社区支行),39.846889,116.392237,北京市丰台区西马场路6号院3号楼1层105,d06944ebc9dc0c9ba0acc415,95526,1,d06944ebc9dc0c9ba0acc415
西马场南里-一区,39.84288,116.392282,北京市丰台区马家堡东路,3d1f7a29e79d2665b9df8f9e,,1,3d1f7a29e79d2665b9df8f9e
西马场南里-二区,39.845436,116.386894,角门南路,6646d796c4205de2260bd09b,,1,6646d796c4205de2260bd09b
大红门西马场甲14号,39.839171,116.396744,马家堡东路,83439f2a725987bc78f7968c,,1,83439f2a725987bc78f7968c
西马场南里二区-10号楼,39.845535,116.385714,西马场南里二区10号楼,de8280af36487e91bca822c8,,1,de8280af36487e91bca822c8
好药师大药房(西马场店),39.848152,116.391927,西马场路6号院1号楼4单元商业8,310e53e7e9eca0d4d62ce295,,1,310e53e7e9eca0d4d62ce295
门钉李肉饼爆肚(西马场店),39.842051,116.392915,西马场南里一区D7-9楼商场2层商业用房,83d72399fb865f039e9d68d8,13801317822,1,83d72399fb865f039e9d68d8
中国邮政(西马场邮政所),39.845726,116.385587,丰台区西马场南里二区10号楼一层,55fa2c0bc4171c2d1ce999d3,(010)87597862,1,55fa2c0bc4171c2d1ce999d3
西马场南里二区-9号楼,39.845941,116.38652,西马场南里二区9号,293c8b6aec42d3057bf7960f,,1,293c8b6aec42d3057bf7960f
西马场南里,39.843313,116.391275,北京市丰台区西马金润家园b2区,8e39e540d93386f3c9c3db2f,(010)57137898,1,8e39e540d93386f3c9c3db2f
西马场南里一区13号楼,39.844024,116.390987,西马场南里一区13号,44efcad4ab086781931fc905,,1,85d5b4067318b11fd92f2816
西马场南里二区15号楼,39.844619,116.389077,北京市丰台区西马金润家园二区15号楼,bf7ec555e8c89d964002454b,,1,bf7ec555e8c89d964002454b
西马场南里一区19号楼,39.842028,116.389181,西马场南里一区19号,a63550893e1d5de1b04c49f0,,1,a63550893e1d5de1b04c49f0
百年义利(西马场路店),39.848886,116.387498,北京市丰台区西马场路5号怡然家园9号楼底商,7e948374468faed5f02d834c,(010)56275540,1,7e948374468faed5f02d834c
西马场南里二区-1号楼,39.846146,116.389788,北京市丰台区大红门西路35号,68e6c804bb7acd921e1d116a,,1,68e6c804bb7acd921e1d116a
西马场南里一区10号楼,39.842276,116.391111,西马场南里一区10号,92619d5283335835b817e7d3,,1,92619d5283335835b817e7d3
西马场南里一区-2号楼,39.844369,116.392369,北京市丰台区西马场南里一区2号,dfc3c27a5cab6e59c336446b,,1,dfc3c27a5cab6e59c336446b
西马场南里一区28号楼,39.842556,116.385793,北京市丰台区西马场南里一区28号楼,1a93f2bcb98cd122b64f5426,,1,1a93f2bcb98cd122b64f5426
西马场南里社区居民委员会,39.84212,116.396652,马家堡东路168号海上海花园19号群楼,621d2f67564caed51f38940e,(010)87248068,1,621d2f67564caed51f38940e
西马场邮政储蓄ATM,39.845673,116.385589,西马场南里二区10号楼,6ee01020b8de9bef52e5c5d3,,1,6ee01020b8de9bef52e5c5d3
西马场南里一区17号楼,39.84233,116.389991,北京市丰台区西马场南里一区17号,cb6e3b6b253b29444354d7a6,,1,cb6e3b6b253b29444354d7a6
西马场南里一区-3号楼,39.843961,116.392304,西马·金润家园E区内,096a8ac93d8d7f2a631c67d5,,1,096a8ac93d8d7f2a631c67d5
西马场南里一区-1号楼,39.844687,116.392329,北京市丰台区角门南路西马场南里(一区),137fd01794c5a89f9122e025,,1,137fd01794c5a89f9122e025
西马场南里二区22号楼,39.843843,116.387237,北京市丰台区马家堡角门南路西马场南里二区21号楼,11020cc5ce0c1f359ee32195,,1,11020cc5ce0c1f359ee32195
