name,lat,lng,adderss,street_id,telephone,detail,uid
星巴克(北关西路店),39.741642,116.145599,房山区良乡北关西路14号华冠购物中心一层,371602792ae707fc38e4a666,(010)69384187,1,371602792ae707fc38e4a666
咖啡屋(西门店),39.738023,116.142176,北京市房山区良乡西潞东里甲1号楼2层X-04,927058287203052c276e9853,(010)56237137,1,927058287203052c276e9853
尚品咖啡,39.732138,116.148107,房山区拱辰南大街91号(与南关西路交口西南角),80237aca65534647c0364455,(010)60354801,1,80237aca65534647c0364455
铭记咖啡,39.729759,116.129819,房山区西潞街道苏庄三里共创大厦103,,(010)58417009,1,9b8cdb25d3fcd224fa42b218
星巴克(政通南路店),39.752102,116.147963,房山区通政南路2号院龙湖房山天街1层,,(010)61351520,1,2c30b74bafec2bfc3686f4d3
西堤岛,39.729839,116.164633,东羊庄村18号-14大学城购物中心3层,cd99ea427070ef3fc7f02511,(010)63341355,1,cd99ea427070ef3fc7f02511
卡督夫咖啡,39.720141,116.130682,北京市房山区翠柳大街辅路,,,1,89ed9fcd17a04c899f82eab7
小萌心屿,39.73124,116.178813,良乡东区十六号路首开·熙悦睿府书香10号院6号楼103,,"(010)60353118,13260209807",1,8b42a70bcfd61dd9f7e73b9a
森林咖啡,39.731608,116.178727,书院南街10号院1号楼1层101,,"18513312001,18611911928",1,f0af89009197ffb4fa0cad3e
光合时间创客咖啡,39.749151,116.186179,北京市房山区辰光东路16号院5号楼光合创意大楼一层大厅,,13810804063,1,807e88b07de62ad9b320a8f8
卯田咖啡厅,39.759628,116.216497,长泽南街中粮万科半岛广场2层同乐汇卯田空间内,29d59006a2c9f1fc3b04b100,13581588698,1,29d59006a2c9f1fc3b04b100
Mu Coffee,39.728746,116.175751,北京市房山区长虹东路辅路,,,1,e1d968bb547e62662002207a
咪咪咖啡吧,39.728762,116.172697,阳光南大街115号,,,1,83c5c0b6a76c68f607fef506
那间咖啡(大兴分店),39.733803,116.346616,大兴区兴丰大街三号,d97f8dcdbdf26adc28b97cb4,"(010)60215240,18513413615",1,d97f8dcdbdf26adc28b97cb4
星巴克(大兴天键广场店),39.758696,116.322141,大兴区枣园路26号大兴天键广场1层,,(010)61240871,1,eba3d3e181ebdd702a02e18d
咖啡一色,39.753131,116.338071,"兴华大街波普中心4栋131号(近清源路地铁站,北京印刷学院北300米)",974907543810a088bea24092,,1,974907543810a088bea24092
栗子咖啡(兴华大街店),39.7542,116.338039,大兴区兴华大街二段波普中心3号院3号楼底商115号,,(010)57253131,1,70acad760121d8aec909f0e1
醇在亦周咖啡店,39.743517,116.334572,富强西路131号,1768b21be147ce17b5147fa1,18513856167,1,1768b21be147ce17b5147fa1
MO CLUB,39.754784,116.338075,"北京市大兴区兴华大街二段3号院2号楼1层110室(波普中心东门北侧,巴蜀阁南侧)",cf45e840c2c0394a4f6d461f,,1,cf45e840c2c0394a4f6d461f
星巴克(大兴泰禾店),39.719201,116.326219,大兴区新源大街30号1号楼1层1088-1090号,,(010)53918390,1,9b5d8073eac912da1b94c608
喵宫主猫咪咖啡馆,39.754918,116.337564,兴华大街3号院附近,,,1,b29857dd09aae2c34f3a590e
洗车咖啡小镇(途虎永华路店),39.730252,116.315598,北京市大兴区永华路22号,603c58e3911e357c00ff2d4f,,1,603c58e3911e357c00ff2d4f
星巴克(天星街店),39.763093,116.166862,房山区天星街1号7号楼绿地缤纷城F1层,4dfee1e959c65f1643ab9a24,(010)52594162,1,4dfee1e959c65f1643ab9a24
南宫温泉咖啡厅,39.811466,116.160428,王佐镇福宫路39号南宫温泉度假酒店2楼,c52ab9e8d6359297be4842bc,"(010)83315566,(010)83393928,(010)83393926",1,c52ab9e8d6359297be4842bc
星巴克(悦盛路店),39.769104,116.193187,房山区悦盛路6号首创奥特莱斯F1层F1-B06号,e1c4d65154cb0eaa430245e2,(010)60356869,1,e1c4d65154cb0eaa430245e2
麦咖啡(昊天大街得来速餐厅),39.77257,116.171628,哑巴河村218-18号京周路,1972487f3571a1d4eb12e424,(010)81311472,1,1972487f3571a1d4eb12e424
星巴克(欣宁大街店),39.793945,116.334072,大兴区西红门镇欣宁大街15号北京荟聚西红门购物中心L1层,5c56502d99fb2ef3c4f50d65,(010)50931855,1,5c56502d99fb2ef3c4f50d65
漫咖啡(鸿坤广场店),39.797759,116.346216,北京市大兴区欣旺北街8号鸿坤广场1层,742bffaeeb794ed3d1f49ece,(010)51077980,1,742bffaeeb794ed3d1f49ece
星巴克(金星西路店),39.770181,116.340647,大兴区金星西路3号,ff304319715a835d09b93a0d,(010)53948665,1,ff304319715a835d09b93a0d
星巴克(宏福路店),39.796968,116.346291,北京市大兴区西红门宏福路鸿坤生活广场一层,de6f0ec4668d92c9f60e77ea,(010)60292130,1,de6f0ec4668d92c9f60e77ea
bruno caffe(绿地缤纷城店),39.769875,116.340419,北京市大兴区兴华大街与金星西路交叉口东北角绿地缤纷城F1,e8a1bf7aabe5710bae080f15,(010)80222687,1,e8a1bf7aabe5710bae080f15
巨门咖啡,39.779341,116.32773,北京市大兴区领海商业中心57号楼,c5b7d6ba0f7d90973f9a5e49,13811442733,1,c5b7d6ba0f7d90973f9a5e49
绿野仙踪茶艺馆,39.776898,116.323614,北京市大兴区兴盛街一段120,593850fbbeb80f44de1e52b0,(010)60231228,1,593850fbbeb80f44de1e52b0
创亿咖啡厅,39.76435,116.352258,西红门金苑路2号1幢2层216室,6139603d7b85e057f50e775e,13240202275,1,6139603d7b85e057f50e775e
