name,lat,lng,adderss,street_id,telephone,detail,uid
茶谷地(大学城店),39.728449,116.174797,北京市房山区书院南街13号院2号楼1层1-112,,17610838893,1,01653f5830f6a1f145e27400
茶饭思奶茶店,39.755676,116.336429,丽园路39号,6551e41ef00614502cb96d62,13601266628,1,6551e41ef00614502cb96d62
茶物语(百联清城国际购物中心店),39.744107,116.338018,北京市大兴区兴华大街27号百联清城购物中心F3,fbd9ea89a0f9d851cafa5fd6,,1,fbd9ea89a0f9d851cafa5fd6
菜鸟驿站(红楼东巷林校北里7号楼底商奶茶专营店),39.730743,116.347594,林校路街道林校北里7号楼底商奶茶专营店,c1539bb1a9106d6c94ec84f2,,1,c1539bb1a9106d6c94ec84f2
佟掌柜的奶茶,39.751592,116.346119,北京市大兴区滨河西里甲36号楼101,0f318c2c2231ca2b8bfc060b,18611421708,1,0f318c2c2231ca2b8bfc060b
果鲜奶茶(文西路店),39.815953,116.166461,北京市丰台区云岗西路1号南90米,,,1,6a2e51600f9ff305a1046447
茶丸(首创奥特莱斯店),39.769029,116.194524,长阳镇悦盛路6号院首创奥特莱斯B1层,,,1,6b768e3727aba3eb41afe6e9
比利时可丽屋,39.770111,116.192404,北京市房山区S315(京良路),,,1,a812abdc18f3622490114c3c
本铺抹茶,39.794207,116.332651,欣宁街15号北京荟聚西红门购物中心L3层4-03-79-SU-A,,,1,ff7c988da587f005100daa63
奶茶嫁给粉,39.797309,116.346505,西红门镇欣旺北街8号鸿坤广场购物中心4层赢得新食界美食城,,,1,af2df76b7f836b9ffbdc85fe
PURE JUICE(北京荟聚中心店),39.79367,116.333311,北京市大兴区欣宁街15号北京荟聚购物中心F3,,,1,c5b3f8f626d362aa4302459e
牛乃奶奶(资和信店),39.843899,116.291012,资和信大厦3座,96092b4fd01b266403294fb2,15120022009,1,96092b4fd01b266403294fb2
逸果奶茶店,39.822483,116.296049,丰葆路与六圈南路交叉口西北200米,,,1,2ca90acad41d96508605bf8e
咖啡奶茶街,39.830955,116.351165,北京市丰台区新发地长途客运站东门南侧,dad8b375f9b31a3588db7339,,1,dad8b375f9b31a3588db7339
唛生活手工酸奶奶茶,39.863204,116.315167,北京市丰台区丰管路16号11号楼F2-016,,4001655685,1,7b3da9957bb8180db726556a
悦尚奶茶,39.861923,116.299886,丰台街道东大街35号院12号楼底商,3232ee4eaef4be1ac9291543,15711003180,1,3232ee4eaef4be1ac9291543
