name,lat,lng,adderss,street_id,telephone,detail,uid
丰巢驿站,39.74129,116.138952,西潞园2里18号楼,,,1,59d65439403c1f8a3a13fd98
东方威尼斯演艺酒吧,39.72899,116.163057,北京市房山区鸿顺园商业1号楼2层西侧,d458de020de0a937f4231022,,1,d458de020de0a937f4231022
彼岸花酒吧(良坨大街),39.749328,116.137082,北京近郊房山区良坨北路1-14号,3f46ff846016b04a343a71a1,,1,3f46ff846016b04a343a71a1
Partner酒吧,39.741938,116.165948,良乡东路北150米伟业嘉园北里,,,1,6d0e982b7b698726c52ba1b6
星巴克(政通南路店),39.752102,116.147963,房山区通政南路2号院龙湖房山天街1层,,(010)61351520,1,2c30b74bafec2bfc3686f4d3
小酒馆,39.732479,116.146752,北京市房山区南关西路,,,1,59ae1c12a53d31b81e58000e
丰巢自提柜,39.760766,116.167528,长阳镇绿地启航国际15号楼,36eb608614094815626858fa,,1,36eb608614094815626858fa
忆青春酒吧,39.728754,116.176962,北京市房山区书院南街12号院2号楼210(中商惠民超市旁),,,1,79c8cc6b7b41f127ca1b95fb
曳紫酒吧,39.73166,116.177874,良乡东区十六号路首开熙悦书香睿府2号楼,,,1,41407c090f55872e8f1a89d9
小民谣酒吧,39.731341,116.178987,良乡东区十六号路西50米,,,1,003c16fd7b9c5f481d1d1190
BOSS酒吧,39.742053,116.359187,北京市大兴区团河路48号,2c4047b55828b80b631c6723,,1,2c4047b55828b80b631c6723
星巴克(大兴天键广场店),39.758696,116.322141,大兴区枣园路26号大兴天键广场1层,,(010)61240871,1,eba3d3e181ebdd702a02e18d
010久8酒吧,39.744519,116.345727,大兴区兴丰大街61号,,,1,75850fb86b44451b08ccdd03
Mo Club 酒吧,39.754784,116.338075,"北京市大兴区兴华大街二段3号院2号楼1层110室(波普中心东门北侧,巴蜀阁南侧)",cf45e840c2c0394a4f6d461f,,1,cf45e840c2c0394a4f6d461f
星巴克(大兴泰禾店),39.719201,116.326219,大兴区新源大街30号1号楼1层1088-1090号,,(010)53918390,1,9b5d8073eac912da1b94c608
翅八串吧酒吧,39.739959,116.350308,黄村西大街龙河路115号,,,1,561aa5abd02d762c1e5800e6
星巴克(天星街店),39.763093,116.166862,房山区天星街1号7号楼绿地缤纷城F1层,4dfee1e959c65f1643ab9a24,(010)52594162,1,4dfee1e959c65f1643ab9a24
星巴克(悦盛路店),39.769104,116.193187,房山区悦盛路6号首创奥特莱斯F1层F1-B06号,e1c4d65154cb0eaa430245e2,(010)60356869,1,e1c4d65154cb0eaa430245e2
museclub酒吧,39.776395,116.177366,北京市房山区京良路80号(金桥国际底商),,,1,c79fc2bd220180fd7369d31b
胡桃里音乐酒馆(大兴店),39.763816,116.347766,北京市大兴区康庄路2号,,,1,787954a09e1337e1b320a885
星巴克(欣宁大街店),39.793945,116.334072,大兴区西红门镇欣宁大街15号北京荟聚西红门购物中心L1层,5c56502d99fb2ef3c4f50d65,(010)50931855,1,5c56502d99fb2ef3c4f50d65
慢点酒吧,39.779383,116.336144,兴华大街地铁高米店北A口出来余生记南侧二楼,cbc818d2aad1acd9c17da2db,,1,cbc818d2aad1acd9c17da2db
星巴克(金星西路店),39.770181,116.340647,大兴区金星西路3号,ff304319715a835d09b93a0d,(010)53948665,1,ff304319715a835d09b93a0d
U Lounge私人定制酒吧,39.771101,116.339099,高米店南绿地中央广场C座1517(绿地缤纷城),,,1,3ca7d4dd9c5fb2008936ee85
