building_type,dengji,jianzhumianji,loupan_content,loupandizhi,price_perunit,release_date,service_price,suozailouceng,titile,total_price_10K,url,xzl_content,zhuangxiu
纯写字楼,甲级,118.24㎡,壬丰大厦，坐落在广州天河东路和天河路交界处，周边有学校、科研机构，银行、邮政、酒店等。,"['广州', '天河', '石牌桥', '壬丰大厦']",(25000元/㎡),2019/7/11 16:00:35,18.00元/平米·月,中区(共44层),岗顶颐高数码楼上，壬丰大厦，118平方低价出售！！,296,https://gz.office.fang.com/shou/3_240443377.html,1) 楼 盘：壬丰大厦 2) 位 置：岗顶颐高数码楼上 3) 面 积： 118.24平方 71 %实用率4) 报 价： 295万元 5) 装 修：精装修6) 看房时间：提前预约，随时可看 【盈胜地产】【写字楼】1、广州专业的商业地产服务2、良好的业主关系3、更多的房源信息渠道4、完善的管理与后续服务5、专业、专注、高效是我们一致的目标选择我您会得到1、专业、专心、高效的服务2、为您提供合适、可比性、的物业3、全程透明服务，不收取以外任何费用4、签署三方责任合约，代 办租赁备案等跟进服务5、提供物业的真实信息，把关交易公平、公正、合法有效6、处 理因矛盾产生的纠纷，跟进租期内后续服务7、同样楼盘价格租赁条款（租金，免租期，递增，年限等综合条款）8、提供您公司后期所涉所有需求解决渠道：装修设计、施工队、、工商、家具、软装、绿植租赁、保洁服务、电脑、设施设备、税收优惠补贴政策等等专业代理天河（体育中心、珠江新城）、越秀、海珠（琶洲、万胜围）、荔湾、黄埔、各区创意园区等地区写字楼租售：面积50方-10000方不等。本人专业、诚信，欢迎您来电。相信我能为您推荐适合的物业。盈胜地产----因为专注，值得信赖！,精装修(不可分割)
纯写字楼,甲级,110㎡,"富邦中心公交地铁网络完善。

富邦为住宅、写字楼、服务式公寓、商场集一体的综合项目，其中负一层、负二层为停车场，车位151个，1-4层为商场，五层为空中花园。","['广州', '荔湾', '陈家祠', '富邦中心']",(18000元/㎡),2019/8/13 10:41:57,15.00元/平米·月,中区(共26层),中山七路 富邦中心 两套小面积 打包出售总110方 单价一万八每平,198,https://gz.office.fang.com/shou/3_241382781.html,中山七路 富邦中心 两套小面积 打包出售总110方 单价一万八每平 两套单位面积分别是53 57方 现在租紧 租金一万每月 看房需提前约,简装修(不可分割)
毛坯(不可分割),,140㎡,"富力盈通大厦项目位于珠江新城华夏路，地处中轴线区位,毗邻城市交通动脉黄埔大道，北邻体育西成熟商业和生活区。
项目占地7,623㎡，总建筑面积约120,000㎡，层数41层，总高达到196米。项目1层至5层为配套商业，6至41层为超甲级写字楼。东侧紧邻珠江新城中轴线，视野极为开阔，俯揽近20万㎡中央绿化广场，坐拥稀缺的景观资源。
富力地产在珠江新城成功开发了富力中心、富力盈信大厦、富力盈泰广场、富力盈凯广场、富力盈隆广场等多个写字楼项目，均受到广泛市场关注，在商业地产领域获得较大成功，对于珠江新城区域的开发起到至关重要的作用。富力盈通大厦是富力集团继富力盈信大厦荣耀谢幕后又一超甲级写字楼力作","['广州', '天河', '珠江新城中', '富力盈通大厦']",(37000元/㎡),2019/8/20 11:56:51,,中区(共45层),珠江新城 富力盈通大厦 高大上 配套完善,518,https://gz.office.fang.com/shou/3_241578740.html,,
纯写字楼,甲级,105㎡,"VILI威尼国际建筑于广州天河北林和西路的西侧，东邻广州火车东站，南接中泰国际广场，西靠广州军事体育学院，北瞰火车东站站台及广园东路。
      威尼国际坐镇广州新城市中轴线，总占地面积近6000平方米，总建筑面积8.6万平方米，威尼国际地上部分共三十一层, 一、二层是商业功能, 三层架空层，四至三十一层为写字楼和酒店式公寓。项目总套数1218套。","['广州', '天河', '天河北', '威尼国际大厦']",(20000元/㎡),2019/9/4 20:31:24,13.00元/平米·月,中区(共31层),威尼国际大厦出售 南向带租约卖 豪华装修 6厘租金 业主出国急售,210,https://gz.office.fang.com/shou/3_242005749.html,威尼国际大厦简介威尼国际大厦分与纯写字楼两部分，写字楼部分气氛浓厚，环境舒适，同时也是天河北众多写字楼中性价比的一个写字楼楼盘，广州火车东站，交通便利。该大厦实行管理，服务到位，与富力盈力史丹尼、富力盈丰威尔斯、公园28、富力盈盛大厦等是广州为数不多的可的。威尼国际大厦物业详尽威尼国际大厦地址：广州市天河区林和西路167号威尼国际大厦楼层分布：总楼层31层;1-2层为商场，3层为会所，4层以上为写字楼。威尼国际大厦实用率：70％威尼国际大厦楼底高度：写字楼：2.8米，2.9米威尼国际大厦电梯：13台高速日立电梯威尼国际大厦停车位：负1-负3层，固定车位1700元/月，非固定800/月，其他价格待定。威尼国际大厦管理费：写字楼：13元/平方/月;：4.8元/平方/月威尼国际大厦周边配套威尼国际大厦周边交通：1号线、3号线广州东站。威尼国际大厦周边餐饮：星巴克、麦当劳、必胜客欢乐餐厅、味千拉面等威尼国际大厦周边银行：渣打银行、招商银行、交通银行、广发银行等威尼国际大厦优、缺点威尼国际大厦优点1、 威尼国际大厦位于林和西双，拥有便利的交通。周边餐饮、娱乐配套完善。2、 威尼国际大厦有3层地下停车场，停车位充足。威尼国际大厦缺点1、周边写字楼较多，上下班交通拥挤堵塞。选择合富合富置业目前在广州专业从事写字楼一手代理项目策划租售及二手租售范畴业务里具影响力的代理机构;拥有完善的架构，分部设于各区写字楼心脏地带;具有全面的一、二手市场资讯，盘源齐全，资讯准确，为广大客户提供专业的写字楼服务。,精装修(不可分割)
精装修(可分割),甲级,125㎡,越秀城市广场是一双塔楼物业，南塔楼为39层高写字楼，北塔楼为33层高公寓式写字楼。,"['广州', '越秀', '小北', '越秀城市广场']",(21525元/㎡),2019/9/3 14:58:15,10.00元/平米·月,中区(共39层),越秀城市广场 500方出售 正对电梯口 24,269,https://gz.office.fang.com/shou/3_241963665.html,越秀城市广场物业详尽 越秀城市广场地址：广州市东风中路439号 越秀城市广场评定：写字楼 越秀城市广场实用率：70% 越秀城市广场楼底高度：2.3m 越秀城市广场电梯：提供10台HITACHI电梯 越秀城市广场停车位：279个，月租￥1600元/月/个 越秀城市广场管理费：南塔12元/m2； 北塔:6.6元/m2,
精装修(可分割),甲级,145㎡,维多利广场位于天河体育西路与天河路交汇处，周边有天河体育中心，广州购书中心、天河城广场、正佳广场、地铁一号线、三号线、机场快速干线等。 楼高222.6米，由6层商业群楼、4层地下停车场及两座分别为52层、36层的写字楼组成。,"['广州', '天河', '体育中心', '维多利广场']",(24800元/㎡),2019/9/2 17:37:55,25.00元/平米·月,低区(共40层),珠江新城 维多利广场 24800元/方 高层148 东南向,360,https://gz.office.fang.com/shou/3_241943451.html,维多利广场写字楼 【业主报价】：24800元/平方米，上一手是二手业主，价高，现时交易，仅需交付3%的契税，因此相当于各付各税，类似于一手交易； 【推介面积】：高层145平方米 【管理费】：25元/㎡/月 【单位情况】： 适合于：金融，理财咨询，外贸物流，网络科技，广告设计等公司,
毛坯(不可分割),甲级,110㎡,宜安广场该大厦位于环市东，北靠环市路，南临东风路，东及花园酒店，周边有地铁淘金站。,"['广州', '越秀', '建设路', '宜安广场']",(18000元/㎡),2019/9/2 10:50:43,21.50元/平米·月,高区(共29层),环市路淘金宜安广场写字楼 110方业主原价出售 租约灵活,198,https://gz.office.fang.com/shou/3_241931680.html,,
毛坯(不可分割),,112㎡,"中信广场共包括1幢80层办公楼、2幢38层附楼、4层商场裙楼及2层地下停车场。主楼高达391米，中信广场配备卫星天线，光纤通讯，中央冷气，后备电源，10,000条IDD和传真线路；34部进口日立高速升降电梯；地库设有2层停车场，车位超逾900个，办公室设施配套齐。","['广州', '天河', '天河北', '中信广场']",(28000元/㎡),2019/8/10 14:15:04,,高区(共75层),广州中信广场写字楼出售 业主急售 值得一看,314,https://gz.office.fang.com/shou/3_241309229.html,广州中信广场笋盘写字楼出售 业主急售 值得一看一、 中信广场『地址』：天河区天河北路 『面积』：112㎡ 『价位』：28000元/方 『管理费』：29/㎡ 『空调』：空调 『室内装修』：贸易公司在用，带3个间隔； 『交通』：地铁站：3号线 林和西站,
简装修(不可分割),甲级,110㎡,壬丰大厦，坐落在广州天河东路和天河路交界处，周边有学校、科研机构，银行、邮政、酒店等。,"['广州', '天河', '石牌桥', '壬丰大厦']",(19000元/㎡),2019/6/11 17:53:17,15.00元/平米·月,中区(共42层),体育中心高层望花园，南向单位，电梯口单位,209,https://gz.office.fang.com/shou/3_239502620.html,壬丰大厦位于广东省广州市天河区天河路490号， 是天河路与天河东路的交汇处， 地铁3号线石牌桥站· 壬丰大厦高41层， 集中了写字楼与， 其中1~4层为颐高数码广场华南总店· 壬丰大厦与保利丰兴广场和即将竣工的太古汇将成为天河东的一个商业圈· 壬丰大厦配套完善， 包含员工餐厅、多功能会议室及健身休闲室等·,
简装修(不可分割),甲级,110㎡,"海印星玥位于番禺大道北383号，属于华南板块，地处番禺区南村镇，处于华南碧桂园和万博中心之间。 
海印星玥推出的是7栋复式小户型，商业立项，2梯六户，面积为80-90多平方米。","['广州', '番禺', '番禺大道', '海印星玥']",(27300元/㎡),2019/9/6 14:52:45,2.50元/平米·月,高区(共19层),海印星玥写字楼 110方有装修 即买即收租,300,https://gz.office.fang.com/shou/3_242058532.html,1.小区的环境决定于人的心情，室内的格局诠释着的情调，房屋宽敞、温馨，采光，满屋子都洋溢着阳/光的味道，楼盘间距大，采光系数89.5%，南北透风性强，社区拥有穿山景观活水方形设计开放大气，整体空间利用率/高，两开间朝南，采光效果佳！2.小区安逸而幽静，建筑风格是时尚的，绿化率/高，让人情不自禁的有种舒适清爽之感，小区是为数不多的超低密度花园洋房，70年产权，可落/户！3.周边配套设施齐全，交通出行非/常方便，您只要出价就可以得到一个满意、理想的，4.此房可以轻松交易，如果您心动了，如果您有意愿了，您可以随时打电话来看房，全天为您服精装修。,
