cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu
6.00米,第1层(共2层),,3㎡,8.00米,"南山,西丽",创科路与打石二路交汇处,云街,5.00米,2019/6/24 15:56:21,12.00元/㎡·月,其他,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其它",南山总部基地 2500家公司先进驻 万科开发一手原始股,24万,https://sz.shop.fang.com/shou/3_219330697.html,毛坯
5.50米,第1层(共1层),"网络,暖气,停车位,客梯,中央空调,上水,下水,可明火,排烟,排污,燃气",30㎡,10.00米,"光明区,光明",松白路,中粮云景国际,3.00米,2019/8/29 13:32:29,0.00元/㎡·月,住宅底商,否,百货超市,单价2.8万 地铁口出口 无缝接驳 住宅底商,84万,https://sz.shop.fang.com/shou/3_221280623.html,精装修
3.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,燃气",150㎡,4.00米,"光明区,光明",光明新区公明街道南环大道与松白路交汇处东南侧,益田假日府邸商铺,5.00米,2019/8/12 19:16:14,12.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",光明笋铺 低价急抛 好位置5厘租约抵月供 品牌租客进驻,10.5万,https://sz.shop.fang.com/shou/3_220805509.html,简装修
,第3层(共6层),,43㎡,7.00米,"龙岗,布吉",4.00米,布吉镇政府东北侧,10.00米,2019/8/7 17:26:28,5.00元/㎡·月,其他,否,布吉中心花园商铺,（百果园）在卖，月租26500元 ，620万 布吉小东门 离,12万,https://sz.shop.fang.com/shou/3_220648325.html,简装修
5.90米,第2层(共6层),,3㎡,4.00米,"南山,西丽",创科路与打石二路交汇处,云街,5.00米,2019/6/21 19:19:03,5.00元/㎡·月,其他,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其它",贸易战下如何保护好自己的资产？来做肯德基的房东吧,27万,https://sz.shop.fang.com/shou/3_219248615.html,毛坯
6.00米,第1层(共3层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",10㎡,2.00米,"龙华区,龙华",龙华新区民治街道民塘路与简上路交汇处,中海锦城商铺,6.00米,2019/7/20 10:06:30,8.00元/㎡·月,住宅底商,是,"家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",（资本配置新方向）地铁口双出口转角铺王 7折清盘,98万,https://sz.shop.fang.com/shou/3_220082111.html,毛坯
4.50米,第6层(共30层),"停车位,客梯,燃气",39㎡,6.00米,"罗湖,东门",粤海城珠宝商业楼,粤海城珠宝商业楼,6.00米,2019/8/7 10:35:22,0.00元/㎡·月,住宅底商,否,"酒店宾馆,美容美发",罗湖首付90万一手 公--寓 双地铁口 团购价免代理,90万,https://sz.shop.fang.com/shou/3_220631360.html,毛坯
,第1层(共1层),,3㎡,3.00米,"深圳周边区,深圳周边",5.00米,南环大道9号,4.00米,2019/8/30 10:52:25,0.00元/㎡·月,其他,否,奥园峯荟,极乐活时区奥园缤纷 地铁口一手临街铺 稳定租约,15万,https://sz.shop.fang.com/shou/3_221302466.html,简装修
4.00米,第1层(共1层),"网络,暖气,停车位,中央空调,上水,下水,可明火,排烟,排污,燃气",30㎡,4.00米,"光明区,光明",松白路,中粮云景国际,5.00米,2019/7/20 14:10:19,5.00元/㎡·月,住宅底商,否,"服饰鞋包,餐饮美食,休闲娱乐",单价2.8万！地铁口出口 无缝接驳 住宅底商,84万,https://sz.shop.fang.com/shou/3_220093303.html,毛坯
7.00米,第4层(共7层),"暖气,上水",47㎡,8.00米,"南山,蛇口",蛇口,蛇口太子湾,6.00米,2019/7/21 16:56:56,5.00元/㎡·月,住宅底商,是,百货超市,特价品鉴专线！太子湾震撼特价1100万！深圳一线滨海商业！,20万,https://sz.shop.fang.com/shou/3_220126932.html,简装修
