cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu,shiyongmianji,location_coords,city
5.00米,,"网络,暖气,扶梯,中央空调,上水,下水,可明火,排污",6601㎡,22.00米,"龙岗,布吉,吉厦村",吉厦村商铺,吉厦村,45.00米,2019/8/25 10:58:33,1.00元/㎡·月,住宅底商,否,"酒店宾馆,百货超市",布吉丹沙路整栋厂房隔壁就是恒大旧改 可自用 博拆迁 买租金受益,6800万,https://sz.shop.fang.com/shou/3_221169730.html,毛坯,6600㎡,"114.157519,22.615120",深圳
7.00米,第1层(共1层),,92㎡,8.00米,"宝安,西乡,中信湾上六座",西乡兴业路与悦和路交会处,中信湾上六座,6.00米,2019/8/31 15:00:01,2.00元/㎡·月,住宅底商,是,百货超市,宝安西乡人人乐，成熟商圈底商92平1150万,1150万,https://sz.shop.fang.com/shou/3_221337144.html,简装修,,"113.856223,22.569799",深圳
5.50米,第1层(共25层),客梯,491㎡,10.00米,"福田,八卦岭,天阶一号",福田-八卦岭-天阶一号,天阶一号,49.10米,2019/8/16 23:52:00,0.00元/㎡·月,住宅底商,否,百货超市,（业主再减999万）（带15万租金）（星巴克的房东）,3569万,https://sz.shop.fang.com/shou/3_220936678.html,简装修,,"114.101213,22.552511",深圳
5.00米,第1层(共32层),,146㎡,11.00米,"罗湖,人民南,云景豪园",春风路2033号,云景豪园,12.00米,2019/9/3 16:23:27,8.00元/㎡·月,住宅底商,是,餐饮美食,罗湖国贸华润万家同， 单价9万转角餐饮正街铺,1314万,https://sz.shop.fang.com/shou/3_221414039.html,精装修,,"114.126797,22.540193",深圳
5.00米,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",55㎡,9.00米,"南山,蛇口,太子湾兰桂坊",蛇口邮轮大道,太子湾兰桂坊,3.00米,2019/6/23 14:08:24,40.00元/㎡·月,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",兰桂坊蛇口沿港滨海沿街餐饮铺,1045万,https://sz.shop.fang.com/shou/3_219300099.html,毛坯,,"113.921922,22.488360",深圳
3.00米,第1层(共1层),,252.03㎡,1.00米,"南山,前海,港湾丽都",南山区桃园西路与前海路交界处,港湾丽都,1.00米,2019/8/26 16:37:15,2.60元/㎡·月,住宅底商,是,百货超市,港湾丽都一个地/铁口的铺 很高 价格放心买,1700万,https://sz.shop.fang.com/shou/3_221204918.html,毛坯,,"113.914520,22.531172",深圳
7.00米,第2层(共2层),"网络,停车位,上水,下水,可明火,排烟,排污,燃气,外摆区",516㎡,8.00米,"南山,前海,太子湾LKF",太子湾邮轮母港,太子湾LKF,6.00米,2019/9/4 15:14:51,0.00元/㎡·月,商业街商铺,否,餐饮美食,前海自贸中心，招商蛇口太子湾开售欢迎品鉴,6000万,https://sz.shop.fang.com/shou/3_221438474.html,毛坯,,"113.921926,22.486676",深圳
7.00米,第26层(共49层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,燃气",67㎡,8.00米,"龙华区,龙华,壹成中心",龙华东环一路壹城中心第五区,壹成中心,6.00米,2019/8/15 11:11:24,15.25元/㎡·月,商业街商铺,是,"家居建材,百货超市,生活服务,酒店宾馆,餐饮美食,服饰鞋包,美容美发,休闲娱乐",深圳第壹大体量鸿荣源社区临街一手底商带租出售！隔两层无压力！,1380万,https://sz.shop.fang.com/shou/3_220881039.html,精装修,,"114.036030,22.645228",深圳
5.00米,,"停车位,上水,下水,可明火,排烟,排污,燃气,外摆区",121㎡,12.00米,"福田,华强,旧墟大厦",旧墟大厦,旧墟大厦,10.00米,2019/5/17 19:37:47,0.00元/㎡·月,临街门面,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",华强南 成熟商圈 旧墟大厦 正街铺 10米门宽 双门面 双租客,1400万,https://sz.shop.fang.com/shou/3_217739719.html,精装修,120㎡,"114.089413,22.538188",深圳
6.00米,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,燃气,外摆区",90.46㎡,4.00米,"龙华区,龙华,中海锦城",中海锦城商铺,中海锦城,17.00米,2019/9/4 8:12:20,10.00元/㎡·月,购物中心/百货,是,服饰鞋包,购物公园深圳新商务中心综合体港铁双口无缝连接铺17万起,1700万,https://sz.shop.fang.com/shou/3_221425157.html,简装修,83㎡,"114.014230,22.637275",深圳
