zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url,location_coords
,37500元/月,押一付三,120㎡,,,,第1层(共1层),精装修,住宅底商,是,美容美发,通州区云景东路时尚街区,通州区云景东路8号,4.00米,30.00米,5.00米,,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:49:56,https://shop.fang.com/zu/3_427451616.html,"116.667013,39.882850"
,134400元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,15.00米,15.00米,4.50米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/10 15:15:53,https://shop.fang.com/zu/3_438557080.html,"116.481050,39.996794"
,50000元/月,押一付三,200㎡,,,,第1层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 10:02:53,https://shop.fang.com/zu/3_438541177.html,"116.458705,39.906458"
,150000元/月,押二付三,330000.00㎡,,,,第1层(共1层),精装修,临街门面,是,"生活服务,美容美发,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,35.00米,20.00米,5.20米,客梯18个，货梯6个,33.00元/㎡·月,"网络,暖气,停车位,中央空调,上水,下水,排烟",2019/7/20 14:03:03,https://shop.fang.com/zu/3_436067569.html,"116.433366,39.920552"
,24000元/月,押三付三,100000.00㎡,,,,第1层(共30层),精装修,写字楼配套底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",建外SOHO商铺,东三环中路39号,8.00米,8.00米,3.00米,客梯12个，货梯2个,租金已包含,"中央空调,上水,下水,可明火,排烟,排污",2019/8/8 17:49:04,https://shop.fang.com/zu/3_437076463.html,"116.458705,39.906458"
,256500元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,16.00米,15.00米,4.50米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/10 16:29:04,https://shop.fang.com/zu/3_438560265.html,"116.481050,39.996794"
,15000元/月,押一付三,584084.00㎡,,,,第2层(共2层),简装修,商业街商铺,是,餐饮美食,通州万达广场商铺,新华西街与北苑南路交叉口东南角,4.50米,10.00米,5.10米,客梯0个，货梯0个,,"网络,暖气,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/20 16:50:29,https://shop.fang.com/zu/3_427448917.html,"116.226850,39.905888"
,27000元/月,押二付三,100000.00㎡,,,,第3层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,10.00米,17.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/9 9:35:44,https://shop.fang.com/zu/3_437100714.html,"116.458705,39.906458"
,45000元/月,押一付三,260㎡,,,,第3层(共3层),精装修,商业街商铺,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,租金已包含,"网络,暖气,客梯,货梯",2019/8/16 19:33:15,https://shop.fang.com/zu/3_437481530.html,"116.458705,39.906458"
,360000元/月,押一付三,584084.00㎡,,,,第1层(共2层),简装修,写字楼配套底商,是,生活服务,通州万达广场商铺,新华西街与北苑南路交叉口东南角,40.00米,12.00米,5.70米,客梯0个，货梯0个,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:49:56,https://shop.fang.com/zu/3_427451542.html,"116.226850,39.905888"
