zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url
,37500元/月,押一付三,120㎡,,,,第1层(共1层),精装修,住宅底商,是,美容美发,通州区云景东路时尚街区,通州区云景东路8号,4.00米,30.00米,5.00米,,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:49:56,https://shop.fang.com/zu/3_427451616.html
,134400元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,15.00米,15.00米,4.50米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/10 15:15:53,https://shop.fang.com/zu/3_438557080.html
,50000元/月,押一付三,200㎡,,,,第1层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 10:02:53,https://shop.fang.com/zu/3_438541177.html
,150000元/月,押二付三,330000.00㎡,,,,第1层(共1层),精装修,临街门面,是,"生活服务,美容美发,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,35.00米,20.00米,5.20米,客梯18个，货梯6个,33.00元/㎡·月,"网络,暖气,停车位,中央空调,上水,下水,排烟",2019/7/20 14:03:03,https://shop.fang.com/zu/3_436067569.html
,24000元/月,押三付三,100000.00㎡,,,,第1层(共30层),精装修,写字楼配套底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",建外SOHO商铺,东三环中路39号,8.00米,8.00米,3.00米,客梯12个，货梯2个,租金已包含,"中央空调,上水,下水,可明火,排烟,排污",2019/8/8 17:49:04,https://shop.fang.com/zu/3_437076463.html
,256500元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,16.00米,15.00米,4.50米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/10 16:29:04,https://shop.fang.com/zu/3_438560265.html
,15000元/月,押一付三,584084.00㎡,,,,第2层(共2层),简装修,商业街商铺,是,餐饮美食,通州万达广场商铺,新华西街与北苑南路交叉口东南角,4.50米,10.00米,5.10米,客梯0个，货梯0个,,"网络,暖气,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/20 16:50:29,https://shop.fang.com/zu/3_427448917.html
,27000元/月,押二付三,100000.00㎡,,,,第3层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,10.00米,17.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/9 9:35:44,https://shop.fang.com/zu/3_437100714.html
,45000元/月,押一付三,260㎡,,,,第3层(共3层),精装修,商业街商铺,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,租金已包含,"网络,暖气,客梯,货梯",2019/8/16 19:33:15,https://shop.fang.com/zu/3_437481530.html
,360000元/月,押一付三,584084.00㎡,,,,第1层(共2层),简装修,写字楼配套底商,是,生活服务,通州万达广场商铺,新华西街与北苑南路交叉口东南角,40.00米,12.00米,5.70米,客梯0个，货梯0个,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:49:56,https://shop.fang.com/zu/3_427451542.html
,16000元/月,押二付三,100000.00㎡,,,,第3层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,5.00米,20.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/19 9:52:27,https://shop.fang.com/zu/3_437587127.html
,23000元/月,押一付三,100000.00㎡,,,,第1层(共3层),精装修,临街门面,否,餐饮美食,建外SOHO商铺,东三环中路39号,10.00米,5.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,中央空调,排烟,燃气",2019/8/23 11:18:05,https://shop.fang.com/zu/3_437796677.html
,36000元/月,押一付三,130㎡,,,,第1层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,15.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 10:11:17,https://shop.fang.com/zu/3_438541975.html
,135000元/月,押二付三,0.00㎡,,,,第1层(共1层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",保利中央公园商铺,望京东园七区,15.00米,20.00米,4.20米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/15 20:48:50,https://shop.fang.com/zu/3_437433711.html
,70000元/月,押三付三,100000.00㎡,,,,第2层(共30层),精装修,写字楼配套底商,否,"生活服务,美容美发,餐饮美食",建外SOHO商铺,东三环中路39号,15.00米,12.00米,3.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/18 10:28:58,https://shop.fang.com/zu/3_437549884.html
,40000元/月,押一付三,100000.00㎡,,,,第1层(共3层),精装修,临街门面,否,健身，瑜伽，培训,建外SOHO商铺,东三环中路39号,8.00米,8.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,中央空调,可明火,排烟,燃气",2019/8/26 15:08:42,https://shop.fang.com/zu/3_437928012.html
,405000元/月,押二付三,900㎡,,,,第1层(共3层),简装修,住宅底商,是,"百货超市,生活服务,美容美发,休闲娱乐",西大望路鸿坤花语墅,鸿坤花语墅,16.00米,15.00米,3.50米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/6/15 14:09:29,https://shop.fang.com/zu/3_434054877.html
,60000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,5.00米,28.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/8/20 9:44:06,https://shop.fang.com/zu/3_437627774.html
,438900元/月,半年付,1900㎡,,,,第6层(共6层),毛坯,购物中心/百货,否,"百货超市,家居建材,服饰鞋包,生活服务",新荟城,北京市朝阳区望京东园一区120号,50.00米,25.00米,5.50米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/26 19:29:36,https://shop.fang.com/zu/3_437937543.html
,90000元/月,押一付三,100000.00㎡,,,,第1层(共2层),精装修,临街门面,否,"服饰鞋包,生活服务,美容美发,休闲娱乐",建外SOHO商铺,东三环中路39号,18.00米,15.00米,4.20米,客梯12个，货梯2个,30.00元/㎡·月,"网络,暖气,上水,下水,排烟,燃气",2019/7/19 17:17:03,https://shop.fang.com/zu/3_436020476.html
,30000元/月,押一付三,100000.00㎡,,,,第2层(共3层),精装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",建外SOHO商铺,东三环中路39号,10.00米,15.00米,4.00米,客梯12个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟",2019/7/19 13:48:00,https://shop.fang.com/zu/3_436009491.html
,37500元/月,押一付三,90700.00㎡,,,,第1层(共3层),简装修,临街门面,是,百货超市,格瑞雅居商铺,内环路9号，八通线城铁果园站南700米,6.00米,12.00米,5.00米,客梯0个，货梯0个,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 16:49:56,https://shop.fang.com/zu/3_427451447.html
,72000元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,15.00米,20.00米,5.20米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/11 9:24:27,https://shop.fang.com/zu/3_427829198.html
,78000元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,10.00米,20.00米,5.20米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/7 16:48:50,https://shop.fang.com/zu/3_426156128.html
,420000元/月,押二付三,2800㎡,,,,第1层(共3层),精装修,写字楼配套底商,是,,汇中广场,亚运村北苑路北汇中广场,10.00米,15.00米,4.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水",2019/9/10 11:23:32,https://shop.fang.com/zu/3_438547831.html
,1404000元/月,押三付三,3900㎡,,,,第3层(共23层),精装修,住宅底商,否,"百货超市,酒店宾馆,家居建材,生活服务,美容美发,餐饮美食,休闲娱乐",世奥国际中心,芍药居北里101号世奥国际,60.00米,40.00米,4.00米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,燃气",2019/7/29 19:37:38,https://shop.fang.com/zu/3_436545028.html
,70000元/月,押二付三,100000.00㎡,,,,第1层(共30层),精装修,其他,否,,建外SOHO商铺,东三环中路39号,20.00米,15.00米,3.00米,客梯12个，货梯2个,租金已包含,"上水,下水",2019/9/5 8:58:52,https://shop.fang.com/zu/3_438331100.html
,25000元/月,押一付三,70㎡,,,,第1层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 10:21:31,https://shop.fang.com/zu/3_438542889.html
,116392元/月,押二付三,490000.00㎡,,,,第1层(共2层),精装修,临街门面,是,"百货超市,家居建材,生活服务,美容美发,餐饮美食,休闲娱乐",SOHO现代城商业,建国路88号,10.00米,20.00米,4.50米,客梯3个，货梯1个,4.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,可明火,燃气,外摆区",2019/7/16 9:26:33,https://shop.fang.com/zu/3_435831009.html
,120000元/月,押二付三,330000.00㎡,,,,第2层(共3层),精装修,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银河SOHO商铺,小牌坊胡同甲七号,20.00米,35.00米,5.20米,客梯18个，货梯6个,33.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水",2019/8/21 9:52:32,https://shop.fang.com/zu/3_437689315.html
,367500元/月,半年付,3500㎡,,,,第1层(共2层),简装修,其他,否,汽车,新发地汽车市场,北京市丰台区南四环中路260号新发地汽车交易市场,40.00米,30.00米,4.50米,,12.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,外摆区",2019/7/24 13:01:59,https://shop.fang.com/zu/3_430838909.html
,90750元/月,押一付三,550㎡,,,,第1层(共3层),简装修,商业街商铺,否,,龙湖长楹天街,朝阳北路管庄路口向东50米,5.00米,4.00米,3.00米,,15.00元/㎡·月,"网络,暖气,客梯,燃气",2019/7/30 9:36:11,https://shop.fang.com/zu/3_436560016.html
,60000元/月,押二付三,0.00㎡,,,,第1层(共3层),精装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",保利中央公园商铺,望京东园七区,10.00米,12.00米,4.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/27 16:23:53,https://shop.fang.com/zu/3_436444860.html
,60000元/月,押一付三,0.00㎡,,,,第1层(共1层),精装修,住宅底商,否,,保利中央公园商铺,望京东园七区,10.00米,20.00米,4.20米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/15 20:41:02,https://shop.fang.com/zu/3_437433317.html
,69000元/月,押一付三,230㎡,,,,第1层(共5层),简装修,住宅底商,是,百货超市,新时代国际中心,北京市丰台区福宜街,15.00米,10.00米,5.00米,,27.00元/㎡·月,"网络,暖气,停车位,货梯,中央空调,上水,下水,排污",2019/9/6 12:12:44,https://shop.fang.com/zu/3_438394338.html
,15000元/月,押一付三,101㎡,,,,第2层(共6层),简装修,住宅底商,否,,建外SOHO商业,东三环中路39号,5.00米,4.00米,3.00米,,15.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,燃气",2019/9/10 11:40:10,https://shop.fang.com/zu/3_438549337.html
,12000元/月,押二付三,650000.00㎡,,,,第1层(共3层),精装修,商业街商铺,否,餐饮美食,龙湖长楹天街商铺,朝阳北路管庄路口向东50米,5.00米,4.00米,3.00米,客梯4个，货梯2个,租金已包含,"暖气,停车位,燃气",2019/7/30 9:40:21,https://shop.fang.com/zu/3_436559941.html
,65000元/月,半年付,120000.00㎡,,,,第1层(共1层),简装修,写字楼配套底商,否,"服饰鞋包,美容美发,休闲娱乐",三里屯SOHO商铺,三里屯工体北路南侧，南三里屯路西侧,5.00米,8.00米,4.00米,客梯0个，货梯0个,30.00元/㎡·月,"排烟,排污",2019/8/31 12:09:49,https://shop.fang.com/zu/3_425061633.html
,72900元/月,押二付三,392265.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",望京SOHO商业,望京街与阜安西路交叉路口（望京街中部）,10.00米,10.00米,5.00米,客梯4个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/2 11:50:46,https://shop.fang.com/zu/3_438218645.html
