zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url
6万元,5000元/月,押一付二,38㎡,,2个月,,第1层(共1层),"精装修
                                ",临街门面 ,否,百货超市，服饰鞋包，生活服务，美容美发，餐饮美食，休闲娱乐,"
                                    望岛花艺 ","
                                    四川省成都市武侯区二环路西1段-90号-附5号 ",3.50米,6.00米,5.50米,,租金已包含,"暖气,中央空调,下水,排污,外摆区",2019/8/4 13:20:41,https://cd.shop.fang.com/zu/1_52957904.html
,8000元/月,季付,320㎡,,,,第2层(共3层),"精装修
                                ",临街门面 ,否,休闲娱乐，美容美发，生活服务，百货超市,"
                                    盐市口 ","
                                    龙湖金楠天街 ",,,,,,"网络,暖气,停车位,客梯,货梯",2019/8/27 15:06:05,https://cd.shop.fang.com/zu/1_52961200.html
,17000元/月,半年付,100㎡,,,,第1层(共1层),简装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",首创光和城,首创光和城,20.00米,40.00米,5.10米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/6/15 18:13:59,https://cd.shop.fang.com/zu/3_207938226.html
,56000元/月,面议,800㎡,700㎡,,,第2层(共3层),简装修,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",教育培训 教育城 文化培训,锦江区，青羊区，武侯区，成华区，金牛区 郫都区，新,40.00米,20.00米,4.50米,,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/6/23 10:21:20,https://cd.shop.fang.com/zu/3_208016008.html
,10000元/月,租金已包含,暂无,,,,精装修,其他,否,EGO潮流广场,,客梯0个，货梯0个,5.00米,4.00米,3.00米,EGO潮流广场,16649.99㎡,24㎡,,2019/8/2 22:48:20,https://cd.shop.fang.com/zu/3_208453615.html
,2888元/月,押一付三,37㎡,,,,第2层(共2层),"毛坯
                                ",住宅底商 ,否,百货超市，家居建材，生活服务，美容美发，餐饮美食，休闲娱乐,"
                                    中交悦湖 ","
                                    四川省成都市双流县创意南路 ",3.45米,8.80米,5.00米,,5元/月,,2019/9/8 14:34:44,https://cd.shop.fang.com/zu/1_52963143.html
,20661元/月,面议,248.93㎡,248㎡,,,第1层(共3层),简装修,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",滨河春天,郫都区 新都区 成华区 高新区 天府新区 金牛区 青羊区,23.00米,12.00米,4.50米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/8 10:01:19,https://cd.shop.fang.com/zu/3_208878624.html
,130元/月,年付,242.89㎡,,,,第1层(共35层),毛坯,住宅底商,是,,光华大道洲际春天广场 亚洲湾 地铁口商铺 住宅底商,温泉大道二段177号,8.90米,20.00米,6.00米,,4.50元/㎡·月,"上水,下水,排污,外摆区",2019/7/21 11:25:05,https://cd.shop.fang.com/zu/3_208306094.html
,70500元/月,押一付三,0.00㎡,,,,第1层(共1层),毛坯,住宅底商,否,百货超市,蓝润ISC商铺,天府大道与华府大道交汇处（地铁一号线华府大道站）,22.00米,10.00米,5.50米,客梯0个，货梯0个,,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/14 10:54:36,https://cd.shop.fang.com/zu/3_208227696.html
,14542元/月,半年付,111.86㎡,106.49㎡,,,第1层(共2层),毛坯,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",洲际春天广场,温泉大道二段177号,5.00米,15.00米,6.00米,,4.50元/㎡·月,"停车位,上水,下水,排烟,排污,外摆区",2019/7/21 16:15:25,https://cd.shop.fang.com/zu/3_208309952.html
