zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url
nan,69480元/月,月付,772㎡,nan,nan,nan,第2层(共3层),"精装修
                                ",购物中心/百货 ,否,餐饮美食,"
                                    飞晟汇inface ","
                                    开创大道彩文路166号 ",nan,nan,nan,nan,nan,"网络,停车位,客梯,货梯",2019/8/17 10:26:54,https://gz.shop.fang.com/zu/1_52136560.html
nan,24000元/月,月付,77.5㎡,nan,nan,nan,第1层(共2层),"精装修
                                ",住宅底商 ,否,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务，百货超市，家居建材，其他,"
                                    广钢商圈中海花湾壹号 ","
                                    广州市荔湾区中海花湾壹号锦汇1街A3栋110铺 ",nan,nan,nan,nan,nan,网络,2019/7/30 11:36:40,https://gz.shop.fang.com/zu/1_52134272.html
nan,1元/月,面议,400㎡,nan,nan,nan,第1层(共1层),"简单装修
                                ",商业街商铺 ,是,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务，百货超市，酒店宾馆，家居建材，其他,"
                                    500平方火锅餐馆南沙区出租 ","
                                    太石工业区 ",nan,nan,nan,nan,nan,"网络,暖气,停车位,客梯,货梯",2019/7/29 21:22:31,https://gz.shop.fang.com/zu/1_52134226.html
nan,300元/月,月付,380㎡,nan,nan,nan,第1层(共2层),"精装修
                                ",商业街商铺 ,否,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务,"
                                    捷登都会商场 ","
                                    捷登都会商场公元前E出口 ",nan,nan,nan,nan,nan,"停车位,客梯,货梯",2019/7/30 12:07:01,https://gz.shop.fang.com/zu/1_52134278.html
nan,36000元/月,面议,150㎡,nan,nan,nan,第1层(共1层),"简单装修
                                ",住宅底商 ,否,休闲娱乐,"
                                    金沙创展 ","
                                    金沙路现代一街64号219室 ",nan,nan,nan,nan,nan,"网络,停车位",2019/7/30 14:04:22,https://gz.shop.fang.com/zu/1_52134285.html
3.5万元,24500元/月,押二付一,20㎡,nan,12个月,nan,第1层(共1层),"简装修
                                ",临街门面 ,否,服饰鞋包,"
                                    人民中路344号金贝儿童装 ","
                                    广东省广州市越秀区人民中路344号 ",3.60米,4.50米,3.00米,nan,租金已包含,,2019/8/1 12:08:36,https://gz.shop.fang.com/zu/1_52134485.html
9.5万元,5400元/月,押二付一,45㎡,nan,36个月,nan,第1层(共2层),"简装修
                                ",临街门面 ,否,百货超市，家居建材，服饰鞋包，生活服务，美容美发，休闲娱乐，其他,"
                                    海珠区鹭江西街9号 ","
                                    广东省广州市海珠区鹭江西街3号 ",2.60米,12.60米,4.80米,nan,0.01元/月,"扶梯,上水,下水",2019/8/1 15:42:39,https://gz.shop.fang.com/zu/1_52134510.html
nan,5800元/月,押二付一,16㎡,nan,nan,nan,第1层(共9层),"精装修
                                ",商业街商铺 ,否,服饰鞋包，美容美发，其他,"
                                    海珠状元坊 ","
                                    广东省广州市海珠区前进北街22号 ",4.00米,3.50米,4.00米,nan,8元/月,,2019/8/1 22:59:41,https://gz.shop.fang.com/zu/1_52134553.html
10万元,3300元/月,押二付一,80㎡,nan,12个月,nan,第1层(共1层),"精装修
                                ",临街门面 ,否,服饰鞋包，美容美发，餐饮美食，休闲娱乐,"
                                    时光奶茶小吃 ","
                                    广东省广州市白云区广从五路121号 ",2.00米,10.00米,3.00米,nan,租金已包含,"网络,可明火,外摆区",2019/8/2 9:19:26,https://gz.shop.fang.com/zu/1_52134565.html
nan,4113元/月,押二付一,51.41㎡,nan,nan,nan,第1层(共1层),"毛坯
                                ",临街门面 ,否,百货超市，生活服务，美容美发，休闲娱乐,"
                                    广州市番禺区市桥街长堤东路425号 ","
                                    广东省广州市番禺区长堤东路 ",4.00米,13.00米,5.00米,nan,租金已包含,"上水,下水,外摆区",2019/8/2 11:00:13,https://gz.shop.fang.com/zu/1_52134575.html
nan,105元/月,月付,10000㎡,nan,nan,nan,第2层(共3层),"简单装修
                                ",写字楼配套底商 ,否,其他,"
                                    财富大厦 ","
                                    财富大厦150号 ",nan,nan,nan,nan,nan,"网络,停车位,客梯,货梯",2019/8/1 10:50:08,https://gz.shop.fang.com/zu/1_52134467.html
nan,33000元/月,押二付一,60㎡,nan,nan,nan,第1层(共5层),"简装修
                                ",购物中心/百货 ,否,"
                                    百信广场商铺 ",0平,7.00米,5.00米,4.50米,百信广场商铺,nan,10元/月,,2019/8/2 20:17:59,https://gz.shop.fang.com/zu/1_52134671.html
nan,1050000元/月,月付,0平,nan,nan,nan,第2层(共3层),"简单装修
                                ",写字楼配套底商 ,否,其他,财富公馆商铺,"
                                    西湾路149号 ",nan,nan,nan,nan,nan,"网络,停车位,客梯,货梯",2019/8/1 10:54:53,https://gz.shop.fang.com/zu/1_52134469.html
16万元,3200元/月,押一付二,0平,nan,26个月,nan,第1层(共6层),"简装修
                                ",住宅底商 ,是,百货超市，家居建材，服饰鞋包，生活服务，美容美发，餐饮美食，其他,奥园冠军城商铺,"
                                    狮山镇博爱路与科技路交界(狮山中心旁) ",4.00米,6.00米,3.50米,nan,租金已包含,"上水,可明火",2019/7/24 17:22:57,https://gz.shop.fang.com/zu/1_52133726.html
nan,3300元/月,押二付一,40㎡,nan,nan,nan,第1层(共2层),"精装修
                                ",住宅底商 ,否,百货超市，生活服务，餐饮美食，休闲娱乐，其他,"
                                    瑶台花园 ","
                                    广东省广州市越秀区瑶华中街64号 ",3.00米,12.00米,5.00米,nan,3元/月,,2019/8/31 16:24:38,https://gz.shop.fang.com/zu/1_52138765.html
.8万元,2000元/月,押二付一,0平,nan,16个月,nan,第1层(共8层),"简装修
                                ",住宅底商 ,是,百货超市，服饰鞋包，生活服务，休闲娱乐，其他,滨海路街铺,"
                                    滨海路一街 ",2.50米,8.00米,3.20米,nan,租金已包含,,2019/7/13 11:09:07,https://gz.shop.fang.com/zu/1_52132528.html
nan,3500元/月,押二付一,200㎡,nan,nan,nan,第1层(共1层),"简单装修
                                ",住宅底商 ,否,"
                                    新桥泰安路新区 ","
                                    广东省广州市番禺区泰安路17号 ",17.00米,12.00米,3.00米,nan,nan,0.5元/月,,2019/7/13 18:06:11,https://gz.shop.fang.com/zu/1_52132565.html
30000万元,13100元/月,押二付二,0平,nan,14个月,nan,第1层(共1层),"精装修
                                ",购物中心/百货 ,否,服饰鞋包,时尚天河商业广场,"
                                    广州天河体育中心正南门西侧 ",14.20米,6.00米,2.00米,客梯0个，货梯1个,租金已包含,,2019/7/14 0:27:56,https://gz.shop.fang.com/zu/1_52132603.html
30000万元,13200元/月,押二付二,0平,nan,13个月,nan,第1层(共1层),"精装修
                                ",购物中心/百货 ,否,服饰鞋包，美容美发,时尚天河商业广场,"
                                    广州天河体育中心正南门西侧 ",46.00米,8.00米,1.00米,客梯0个，货梯1个,50元/月,,2019/7/13 23:30:22,https://gz.shop.fang.com/zu/1_52132598.html
15万元,13800元/月,押一付二,0平,nan,46个月,nan,第1层(共2层),"精装修
                                ",商业街商铺 ,否,百货超市，酒店宾馆，家居建材，服饰鞋包，生活服务，美容美发，餐饮美食，休闲娱乐，其他,锐丰中心商铺,"
                                    黄埔区开创大道与荔红二路交界(香雪牌坊旁边) ",4.00米,10.00米,5.00米,nan,6.5元/月,"网络,停车位,客梯,货梯,上水,下水,排烟,排污,燃气,外摆区",2019/9/11 6:41:55,https://gz.shop.fang.com/zu/1_52140074.html
nan,32000元/月,押二付一,392000.00㎡,180㎡,nan,nan,第1层(共3层),简装修,商业街商铺,是,"服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",白云万达广场商铺,云城东路501号,7.00米,8.00米,11.00米,客梯0个，货梯0个,10.00元/㎡·月,"网络,中央空调,上水,下水,可明火,排烟,排污,外摆区",2019/7/31 10:33:42,https://gz.shop.fang.com/zu/3_237841640.html
nan,60000元/月,押一付三,0.00㎡,nan,nan,nan,第1层(共3层),毛坯,商业街商铺,否,餐饮美食,车陂路商铺,天河车陂路,5.00米,10.00米,5.00米,客梯0个，货梯0个,租金已包含,"网络,上水,下水,可明火,排烟,排污,燃气",2019/8/6 11:19:10,https://gz.shop.fang.com/zu/3_241184296.html
nan,180000元/月,租金已包含,暂无,nan,nan,nan,商业街商铺,nan,否,江南西商铺,nan,客梯0个，货梯0个,江南西商铺,nan,nan,nan,0.00㎡,365㎡,,2019/8/27 10:48:04,https://gz.shop.fang.com/zu/3_241767323.html
