zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url
nan,198000元/月,押三付三,350㎡,nan,nan,nan,第1层(共1层),毛坯,临街门面,否,"休闲娱乐,美容美发,餐饮美食,酒店宾馆,生活服务,百货超市",淮海中路地铁口,西藏南路 淮海中路,6.00米,8.00米,7.00米,nan,nan,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,燃气",2019/9/7 20:55:56,https://sh.shop.fang.com/zu/3_361855336.html
nan,58000元/月,押一付三,350㎡,nan,nan,nan,第1层(共3层),简装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",五角场,杨浦区-五角场,10.00米,20.00米,4.30米,nan,nan,"网络,暖气,停车位,客梯,货梯,扶梯,燃气",2019/9/8 10:24:58,https://sh.shop.fang.com/zu/3_361892748.html
nan,40000元/月,押一付三,0.00㎡,nan,nan,nan,第1层(共1层),简装修,商业街商铺,否,"美容美发,休闲娱乐,服饰鞋包,生活服务,酒店宾馆,家居建材,百货超市",新闸路商铺,新闸路商铺,6.00米,8.00米,7.00米,客梯0个，货梯0个,nan,"网络,暖气,停车位,客梯,货梯,扶梯",2019/9/7 21:03:11,https://sh.shop.fang.com/zu/3_361856321.html
nan,41000元/月,押一付三,200㎡,nan,nan,nan,第1层(共1层),简装修,商业街商铺,否,百货超市,芳甸路商铺,浦东新区-联洋,15.00米,4.00米,3.00米,nan,nan,"客梯,货梯,扶梯",2019/9/9 9:07:15,https://sh.shop.fang.com/zu/3_361979590.html
nan,28000元/月,押一付三,78㎡,nan,nan,nan,第1层(共2层),简装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",天钥桥路,天钥桥路,9.00米,10.00米,4.00米,nan,nan,"客梯,货梯,扶梯",2019/9/7 9:13:19,https://sh.shop.fang.com/zu/3_361776745.html
nan,1800000元/月,押一付三,24000㎡,nan,nan,nan,第1层(共5层),简装修,商业街商铺,否,百货超市,闵行金泉苑,虹梅路3329-3号,35.00米,4.00米,3.00米,nan,nan,"客梯,货梯,扶梯",2019/9/9 9:04:45,https://sh.shop.fang.com/zu/3_361979085.html
nan,78000元/月,押一付三,300㎡,nan,nan,nan,第1层(共2层),精装修,住宅底商,否,"餐饮美食,休闲娱乐",陕西南路,陕西南路,6.00米,25.00米,4.00米,nan,1.00元/㎡·月,"上水,下水,可明火,排烟,排污,燃气",2019/8/10 10:53:15,https://sh.shop.fang.com/zu/3_358879937.html
nan,30000元/月,押三付三,20㎡,nan,nan,nan,第-2层(共1层),简装修,购物中心/百货,否,餐饮美食,合生汇,合生汇,4.00米,5.00米,5.00米,nan,租金已包含,"上水,下水",2019/9/2 10:13:03,https://sh.shop.fang.com/zu/3_361240974.html
nan,29400元/月,押二付三,0.00㎡,nan,nan,nan,第2层(共4层),精装修,写字楼配套底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,休闲娱乐",皋尧御和汇,御北路368弄1-3号,10.00米,18.00米,5.00米,客梯0个，货梯0个,12.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,排烟,排污",2019/8/21 16:34:31,https://sh.shop.fang.com/zu/3_359995879.html
nan,15000元/月,押二付三,35㎡,30㎡,nan,nan,第1层(共3层),毛坯,住宅底商,否,餐饮美食,七宝城市广场,七宝城市广场,5.00米,7.00米,7.00米,nan,1.00元/㎡·月,"网络,燃气",2019/9/6 10:52:20,https://sh.shop.fang.com/zu/3_361673100.html
