zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url,location_coords
,5800元/月,押一付一,30㎡,,,,第1层(共1层),"精装修
                                ",商业街商铺 ,否,服饰鞋包，美容美发,"
                                    华特步行街 ","
                                    广东省深圳市龙岗区龙园路 ",4.00米,6.00米,5.00米,,30元/月,"网络,停车位,中央空调,上水,下水,排烟,排污",2019/8/4 18:12:50,https://sz.shop.fang.com/zu/1_52627524.html,"114.273151,22.730692"
,7800元/月,月付,60㎡,,,,第2层(共4层),"简单装修
                                ",购物中心/百货 ,是,家居建材,"
                                    泰源建材装饰广场 ","
                                    南新天桥旁边 ",,,,,,"暖气,停车位,客梯",2019/7/14 20:34:11,https://sz.shop.fang.com/zu/1_52624559.html,"113.922966,22.541394"
,7800元/月,月付,60㎡,,,,第2层(共4层),"简单装修
                                ",购物中心/百货 ,是,家居建材,"
                                    深圳南山泰源装饰建材广场 ","
                                    南新天桥旁边 ",,,,,,"暖气,停车位,客梯,货梯",2019/7/14 20:39:42,https://sz.shop.fang.com/zu/1_52624561.html,"113.923259,22.540876"
,16500元/月,押二付一,22㎡,,,,第1层(共30层),"简单装修
                                ",购物中心/百货 ,否,餐饮美食，其他,"
                                    龙华红山6979 ","
                                    广东省深圳市宝安区腾龙路 ",6.50米,3.50米,5.00米,,租金已包含,,2019/7/16 13:16:37,https://sz.shop.fang.com/zu/1_52624766.html,"114.022864,22.623522"
,2700元/月,押二付一,24㎡,,,,第1层(共6层),"简单装修
                                ",商业街商铺 ,否,餐饮美食,"
                                    公明西田场商场门口 ","
                                    广东省深圳市宝安区西田路41-3 ",5.50米,3.80米,2.80米,,租金已包含,,2019/7/16 13:36:29,https://sz.shop.fang.com/zu/1_52624768.html,"113.894641,22.780660"
,24000元/月,面议,0平,,,,第1层(共9层),"简单装修
                                ",商业街商铺 ,是,餐饮美食，休闲娱乐，美容美发，生活服务，百货超市，家居建材，其他,下水径村商铺,"
                                    布吉下水径村 ",,,,,,"网络,停车位",2019/7/15 11:00:12,https://sz.shop.fang.com/zu/1_52624592.html,"114.111000,22.614601"
,1500元/月,面议,50㎡,,,,第1层(共5层),"精装修
                                ",商业街商铺 ,否,服饰鞋包，美容美发，生活服务，其他,"
                                    南山南油荔秀服饰广场104栋 ","
                                    荔秀服饰广场104栋 ",,,,,,"网络,停车位,客梯,货梯",2019/7/26 13:48:32,https://sz.shop.fang.com/zu/1_52626226.html,"113.926911,22.513576"
3.5万元,2500元/月,押一付一,10㎡,,5个月,,第1层(共1层),"简装修
                                ",临街门面 ,否,百货超市，服饰鞋包，生活服务，美容美发，餐饮美食，其他,"
                                    拾分柠檬鸡 ","
                                    广东省深圳市福田区新洲二街49号 ",3.00米,3.00米,2.50米,,0.4元/月,"网络,上水,下水,排烟,排污",2019/7/15 13:30:41,https://sz.shop.fang.com/zu/1_52624608.html,"114.017820,22.747755"
,3500元/月,押一付三,0平,,,,第2层(共2层),"精装修
                                ",住宅底商 ,是,休闲娱乐,中加名园商铺,"
                                    布吉镇荣华路 ",4.00米,13.00米,7.00米,,3元/月,,2019/7/14 8:02:56,https://sz.shop.fang.com/zu/1_52624492.html,"114.121888,22.592852"
,10700元/月,押二付一,25㎡,,,,第1层(共2层),毛坯,住宅底商,否,,易尚中心,易尚中心,3.00米,4.00米,6.00米,,20.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排污,燃气,外摆区",2019/7/29 14:54:11,https://sz.shop.fang.com/zu/3_220370161.html,"113.879963,22.547567"
,396000元/月,押二付一,3300㎡,,,,第5层(共40层),精装修,写字楼配套底商,否,休闲娱乐,彭年酒店,嘉宾路,5.00米,50.00米,4.20米,,45.00元/㎡·月,客梯,2019/9/4 19:11:12,https://sz.shop.fang.com/zu/3_215210939.html,"114.122461,22.541110"
,666900元/月,租金已包含,暂无,,,,简装修,其他,否,国贸商业大厦商铺,,客梯0个，货梯0个,6.00米,8.00米,7.00米,国贸商业大厦商铺,0.00㎡,5130㎡,,2019/9/1 20:57:16,https://sz.shop.fang.com/zu/3_221368160.html,
,5400元/月,押二付一,30㎡,,,,第1层(共3层),毛坯,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",open mall红禧公馆,固戍地铁站A出口,4.00米,10.00米,6.00米,,18.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/22 10:42:26,https://sz.shop.fang.com/zu/3_221084109.html,"113.930332,22.508370"
