cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu,shiyongmianji,location_coords,city
3.00米,第1层(共1层),"网络,停车位,上水,下水,可明火,排烟,排污,燃气,外摆区",16㎡,4.00米,"海珠,东晓南,东晓南路",海珠东晓南路,东晓南路,4.00米,2019/8/10 16:33:56,10.00元/㎡·月,临街门面,否,"餐饮美食,百货超市",海珠东晓南地铁口 临街茶少爷铺位 收租1.5万/月 个人红本 急售,48万,https://gz.shop.fang.com/shou/3_241314728.html,精装修,,"113.292090,23.073100",广州
5.50米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",27㎡,10.00米,"广州周边,佛山,长华国际中心",狮山镇博爱中路68号,长华国际中心,2.70米,2019/9/3 21:44:17,0.00元/㎡·月,住宅底商,否,百货超市,长华国际 主通道位置 现经营大卡司 12 产权清,35万,https://gz.shop.fang.com/shou/3_241977721.html,精装修,,"113.282472,23.125633",广州
7.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",20㎡,5.00米,"天河,体育中心,正佳广场",天河路208号,正佳广场,4.00米,2019/8/27 19:03:03,10.00元/㎡·月,购物中心/百货,是,餐饮美食,急售！新收 正佳广场 贡茶在租18000/月 带产权出售 即买即收租,42万,https://gz.shop.fang.com/shou/3_241783707.html,精装修,,"113.327990,23.132189",广州
7.00米,第1层(共1层),"网络,暖气,停车位,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",25㎡,8.00米,"广州周边,佛山,世博广场",佛山市禅城区汾江南路38号,世博广场,6.00米,2019/9/4 14:21:41,5.00元/㎡·月,住宅底商,是,百货超市,世博广场一楼铺位 魁奇路地铁口旁 月收1万7 带租约急售 产权清晰,40万,https://gz.shop.fang.com/shou/3_241992963.html,简装修,,,广州
3.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯",20㎡,4.00米,"越秀,解放北,白马服装市场",站南路16号,白马服装市场,5.00米,2019/8/30 17:09:57,0.00元/㎡·月,商业街商铺,否,百货超市,广州白马服装城临街 现营一点点奶茶 月租18200,17.6万,https://gz.shop.fang.com/shou/3_241863803.html,简装修,,"113.253709,23.146566",广州
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",18㎡,6.00米,"天河,天河南,体育东横街",天河区体育东横街,体育东横街,3.00米,2019/9/3 14:33:59,0.00元/㎡·月,临街门面,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",体育东横街老商圈临街大人流 月收13 传统 双地铁地段,25万,https://gz.shop.fang.com/shou/3_241962441.html,精装修,,"113.332560,23.128643",广州
5.00米,第1层(共1层),,12㎡,4.00米,"越秀,环市东,农林下路",广州市越秀区农林下路,农林下路,3.00米,2019/9/3 22:33:58,0.00元/㎡·月,其他,否,,东山口地铁站旁 一线临街产权铺 蜜雪冰城承租 收租8600,31万,https://gz.shop.fang.com/shou/3_241979017.html,精装修,,"113.297758,23.129123",广州
6.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",19㎡,7.00米,"越秀,北京路,北京路步行街",北京路322号附近,北京路步行街,3.00米,2019/9/3 22:13:42,3.00元/㎡·月,商业街商铺,否,"百货超市,餐饮美食",急售北京路商业步行街 月收14000 人流爆满 产权清晰,26万,https://gz.shop.fang.com/shou/3_241978371.html,简装修,,"113.269225,23.119908",广州
3.00米,第1层(共6层),,20㎡,4.47米,"天河,体育中心,正佳广场",天河路208号,正佳广场,4.47米,2019/9/4 10:28:45,40.00元/㎡·月,购物中心/百货,是,,(出售) 正佳广场 7字位产权餐饮铺位 大卡司奶茶店急售 月收15000,41万,https://gz.shop.fang.com/shou/3_241983765.html,简装修,,"113.327990,23.132189",广州
5.50米,第1层(共1层),"网络,暖气,停车位,燃气",17㎡,10.00米,"越秀,解放北,白马服装市场",站南路16号,白马服装市场,1.70米,2019/8/29 9:50:39,0.00元/㎡·月,商业街商铺,否,百货超市,急售 白马服装城 餐饮店经营月收12500/月带租约 带产权,23万,https://gz.shop.fang.com/shou/3_241818312.html,简装修,,"113.253709,23.146566",广州
