zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url,location_coords
,69480元/月,月付,772㎡,,,,第2层(共3层),"精装修
                                ",购物中心/百货 ,否,餐饮美食,"
                                    飞晟汇inface ","
                                    开创大道彩文路166号 ",,,,,,"网络,停车位,客梯,货梯",2019/8/17 10:26:54,https://gz.shop.fang.com/zu/1_52136560.html,"113.501000,23.171923"
,24000元/月,月付,77.5㎡,,,,第1层(共2层),"精装修
                                ",住宅底商 ,否,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务，百货超市，家居建材，其他,"
                                    广钢商圈中海花湾壹号 ","
                                    广州市荔湾区中海花湾壹号锦汇1街A3栋110铺 ",,,,,,网络,2019/7/30 11:36:40,https://gz.shop.fang.com/zu/1_52134272.html,"113.379298,23.129899"
,1元/月,面议,400㎡,,,,第1层(共1层),"简单装修
                                ",商业街商铺 ,是,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务，百货超市，酒店宾馆，家居建材，其他,"
                                    500平方火锅餐馆南沙区出租 ","
                                    太石工业区 ",,,,,,"网络,暖气,停车位,客梯,货梯",2019/7/29 21:22:31,https://gz.shop.fang.com/zu/1_52134226.html,"113.525165,22.801624"
,300元/月,月付,380㎡,,,,第1层(共2层),"精装修
                                ",商业街商铺 ,否,餐饮美食，服饰鞋包，休闲娱乐，美容美发，生活服务,"
                                    捷登都会商场 ","
                                    捷登都会商场公元前E出口 ",,,,,,"停车位,客梯,货梯",2019/7/30 12:07:01,https://gz.shop.fang.com/zu/1_52134278.html,"113.265649,23.125756"
,36000元/月,面议,150㎡,,,,第1层(共1层),"简单装修
                                ",住宅底商 ,否,休闲娱乐,"
                                    金沙创展 ","
                                    金沙路现代一街64号219室 ",,,,,,"网络,停车位",2019/7/30 14:04:22,https://gz.shop.fang.com/zu/1_52134285.html,"113.222942,23.273942"
3.5万元,24500元/月,押二付一,20㎡,,12个月,,第1层(共1层),"简装修
                                ",临街门面 ,否,服饰鞋包,"
                                    人民中路344号金贝儿童装 ","
                                    广东省广州市越秀区人民中路344号 ",3.60米,4.50米,3.00米,,租金已包含,,2019/8/1 12:08:36,https://gz.shop.fang.com/zu/1_52134485.html,"113.253492,23.120822"
9.5万元,5400元/月,押二付一,45㎡,,36个月,,第1层(共2层),"简装修
                                ",临街门面 ,否,百货超市，家居建材，服饰鞋包，生活服务，美容美发，休闲娱乐，其他,"
                                    海珠区鹭江西街9号 ","
                                    广东省广州市海珠区鹭江西街3号 ",2.60米,12.60米,4.80米,,0.01元/月,"扶梯,上水,下水",2019/8/1 15:42:39,https://gz.shop.fang.com/zu/1_52134510.html,"113.307381,23.093091"
,5800元/月,押二付一,16㎡,,,,第1层(共9层),"精装修
                                ",商业街商铺 ,否,服饰鞋包，美容美发，其他,"
                                    海珠状元坊 ","
                                    广东省广州市海珠区前进北街22号 ",4.00米,3.50米,4.00米,,8元/月,,2019/8/1 22:59:41,https://gz.shop.fang.com/zu/1_52134553.html,"113.259621,23.113080"
10万元,3300元/月,押二付一,80㎡,,12个月,,第1层(共1层),"精装修
                                ",临街门面 ,否,服饰鞋包，美容美发，餐饮美食，休闲娱乐,"
                                    时光奶茶小吃 ","
                                    广东省广州市白云区广从五路121号 ",2.00米,10.00米,3.00米,,租金已包含,"网络,可明火,外摆区",2019/8/2 9:19:26,https://gz.shop.fang.com/zu/1_52134565.html,
,4113元/月,押二付一,51.41㎡,,,,第1层(共1层),"毛坯
                                ",临街门面 ,否,百货超市，生活服务，美容美发，休闲娱乐,"
                                    广州市番禺区市桥街长堤东路425号 ","
                                    广东省广州市番禺区长堤东路 ",4.00米,13.00米,5.00米,,租金已包含,"上水,下水,外摆区",2019/8/2 11:00:13,https://gz.shop.fang.com/zu/1_52134575.html,"113.376662,22.928232"
,105元/月,月付,10000㎡,,,,第2层(共3层),"简单装修
                                ",写字楼配套底商 ,否,其他,"
                                    财富大厦 ","
                                    财富大厦150号 ",,,,,,"网络,停车位,客梯,货梯",2019/8/1 10:50:08,https://gz.shop.fang.com/zu/1_52134467.html,"113.242078,23.151159"
,33000元/月,押二付一,60㎡,,,,第1层(共5层),"简装修
                                ",购物中心/百货 ,否,"
                                    百信广场商铺 ",0平,7.00米,5.00米,4.50米,百信广场商铺,,10元/月,,2019/8/2 20:17:59,https://gz.shop.fang.com/zu/1_52134671.html,"113.325057,23.126164"
,1050000元/月,月付,0平,,,,第2层(共3层),"简单装修
                                ",写字楼配套底商 ,否,其他,财富公馆商铺,"
                                    西湾路149号 ",,,,,,"网络,停车位,客梯,货梯",2019/8/1 10:54:53,https://gz.shop.fang.com/zu/1_52134469.html,"113.240960,23.151231"
16万元,3200元/月,押一付二,0平,,26个月,,第1层(共6层),"简装修
                                ",住宅底商 ,是,百货超市，家居建材，服饰鞋包，生活服务，美容美发，餐饮美食，其他,奥园冠军城商铺,"
                                    狮山镇博爱路与科技路交界(狮山中心旁) ",4.00米,6.00米,3.50米,,租金已包含,"上水,可明火",2019/7/24 17:22:57,https://gz.shop.fang.com/zu/1_52133726.html,"113.364091,22.910144"
,3300元/月,押二付一,40㎡,,,,第1层(共2层),"精装修
                                ",住宅底商 ,否,百货超市，生活服务，餐饮美食，休闲娱乐，其他,"
                                    瑶台花园 ","
                                    广东省广州市越秀区瑶华中街64号 ",3.00米,12.00米,5.00米,,3元/月,,2019/8/31 16:24:38,https://gz.shop.fang.com/zu/1_52138765.html,"113.252236,23.161695"
.8万元,2000元/月,押二付一,0平,,16个月,,第1层(共8层),"简装修
                                ",住宅底商 ,是,百货超市，服饰鞋包，生活服务，休闲娱乐，其他,滨海路街铺,"
                                    滨海路一街 ",2.50米,8.00米,3.20米,,租金已包含,,2019/7/13 11:09:07,https://gz.shop.fang.com/zu/1_52132528.html,"113.827894,23.280286"
,3500元/月,押二付一,200㎡,,,,第1层(共1层),"简单装修
                                ",住宅底商 ,否,"
                                    新桥泰安路新区 ","
                                    广东省广州市番禺区泰安路17号 ",17.00米,12.00米,3.00米,,,0.5元/月,,2019/7/13 18:06:11,https://gz.shop.fang.com/zu/1_52132565.html,"113.421371,22.950923"
30000万元,13100元/月,押二付二,0平,,14个月,,第1层(共1层),"精装修
                                ",购物中心/百货 ,否,服饰鞋包,时尚天河商业广场,"
                                    广州天河体育中心正南门西侧 ",14.20米,6.00米,2.00米,客梯0个，货梯1个,租金已包含,,2019/7/14 0:27:56,https://gz.shop.fang.com/zu/1_52132603.html,"113.323714,23.133875"
30000万元,13200元/月,押二付二,0平,,13个月,,第1层(共1层),"精装修
                                ",购物中心/百货 ,否,服饰鞋包，美容美发,时尚天河商业广场,"
                                    广州天河体育中心正南门西侧 ",46.00米,8.00米,1.00米,客梯0个，货梯1个,50元/月,,2019/7/13 23:30:22,https://gz.shop.fang.com/zu/1_52132598.html,"113.323714,23.133875"
15万元,13800元/月,押一付二,0平,,46个月,,第1层(共2层),"精装修
                                ",商业街商铺 ,否,百货超市，酒店宾馆，家居建材，服饰鞋包，生活服务，美容美发，餐饮美食，休闲娱乐，其他,锐丰中心商铺,"
                                    黄埔区开创大道与荔红二路交界(香雪牌坊旁边) ",4.00米,10.00米,5.00米,,6.5元/月,"网络,停车位,客梯,货梯,上水,下水,排烟,排污,燃气,外摆区",2019/9/11 6:41:55,https://gz.shop.fang.com/zu/1_52140074.html,"113.501460,23.173506"
,32000元/月,押二付一,392000.00㎡,180㎡,,,第1层(共3层),简装修,商业街商铺,是,"服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",白云万达广场商铺,云城东路501号,7.00米,8.00米,11.00米,客梯0个，货梯0个,10.00元/㎡·月,"网络,中央空调,上水,下水,可明火,排烟,排污,外摆区",2019/7/31 10:33:42,https://gz.shop.fang.com/zu/3_237841640.html,"113.264917,23.172898"
,60000元/月,押一付三,0.00㎡,,,,第1层(共3层),毛坯,商业街商铺,否,餐饮美食,车陂路商铺,天河车陂路,5.00米,10.00米,5.00米,客梯0个，货梯0个,租金已包含,"网络,上水,下水,可明火,排烟,排污,燃气",2019/8/6 11:19:10,https://gz.shop.fang.com/zu/3_241184296.html,"113.392198,23.126335"
,180000元/月,租金已包含,暂无,,,,商业街商铺,,否,江南西商铺,,客梯0个，货梯0个,江南西商铺,,,,0.00㎡,365㎡,,2019/8/27 10:48:04,https://gz.shop.fang.com/zu/3_241767323.html,
,4000元/月,押二付一,0.00㎡,,,,第1层(共1层),精装修,住宅底商,是,百货超市,中山大道中商铺,中山大道中,5.00米,8.00米,4.00米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/9/5 9:19:34,https://gz.shop.fang.com/zu/3_242011368.html,"113.409315,23.119753"
,99900元/月,押二付一,450㎡,,,,第1层(共1层),毛坯,商业街商铺,否,"餐饮美食,休闲娱乐",多宝路商铺,多宝路,12.00米,15.00米,4.50米,,5.00元/㎡·月,"上水,下水,可明火,燃气",2019/8/22 18:44:02,https://gz.shop.fang.com/zu/3_241649223.html,"113.233728,23.116420"
,110000元/月,押一付三,0.00㎡,,,,第2层(共5层),毛坯,住宅底商,否,,芳村大道中商铺,荔湾区芳村大道中路,10.00米,12.00米,4.00米,客梯0个，货梯0个,租金已包含,,2019/8/6 11:44:31,https://gz.shop.fang.com/zu/3_241185442.html,"113.224269,23.103380"
,200000元/月,租金已包含,暂无,,,,写字楼配套底商,,否,保利中汇广场商铺,,客梯0个，货梯0个,保利中汇广场商铺,,,,0.00㎡,728㎡,,2019/8/27 10:37:37,https://gz.shop.fang.com/zu/3_241766699.html,
,18000元/月,押二付一,392000.00㎡,130㎡,,,第1层(共2层),精装修,商业街商铺,是,"生活服务,美容美发,餐饮美食,休闲娱乐",白云万达广场商铺,云城东路501号,8.00米,10.00米,11.00米,客梯0个，货梯0个,10.00元/㎡·月,"网络,中央空调,上水,下水,可明火,排烟,排污,外摆区",2019/7/23 10:17:13,https://gz.shop.fang.com/zu/3_240777309.html,"113.264917,23.172898"
面议,12000元/月,押三付一,18.00㎡,,,,第1层(共4层),简装修,临街门面,否,,琶洲商业广场商铺,海珠琶洲蟠龙新街3号,,,3.50米,客梯0个，货梯0个,5.00元/㎡·月,"停车位,客梯,货梯,扶梯,上水,下水,排污,燃气,外摆区",2019/7/22 12:01:51,https://gz.shop.fang.com/zu/3_229156266.html,"113.383905,23.098788"
,70000元/月,127㎡,第1层(共5层),,,,住宅底商,,否,凯旋新世界,,花城大道,1.00米,1.00米,3.00米,,,,,2019/9/11 11:06:27,https://gz.shop.fang.com/zu/3_242195999.html,"113.352806,23.117050"
,37500元/月,押二付一,0.00㎡,130㎡,,,第1层(共2层),精装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",番禺万达广场商铺,迎宾大道万博中心以东、汉溪大道以北、兴南大道以南,6.00米,13.00米,10.00米,客梯0个，货梯0个,15.00元/㎡·月,"网络,暖气,停车位,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/13 18:14:40,https://gz.shop.fang.com/zu/3_240509805.html,"113.349106,23.007572"
,2500元/月,押二付一,50㎡,,,,第1层(共3层),精装修,住宅底商,是,百货超市,广东省广州市番禺区迎星东路,广东省广州市番禺区迎星东路,6.00米,7.00米,6.00米,,5.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/9/7 22:45:51,https://gz.shop.fang.com/zu/3_242106741.html,"113.376971,22.969229"
,60000元/月,押二付一,1200㎡,,,,第1层(共3层),精装修,住宅底商,是,百货超市,沿江中路,越秀区沿江中路,30.00米,30.00米,4.00米,,5.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/9/5 9:24:40,https://gz.shop.fang.com/zu/3_242011497.html,"113.304588,23.026075"
,31000元/月,55㎡,暂无,,,,住宅底商,,否,保利天悦商铺,,客梯0个，货梯0个,1.00米,1.00米,3.00米,保利天悦商铺,0.00㎡,,,2019/8/19 11:50:29,https://gz.shop.fang.com/zu/3_241552555.html,
,80000元/月,租金已包含,暂无,,,,住宅底商,,否,十甫路商铺,,客梯0个，货梯0个,十甫路商铺,,,,0.00㎡,142㎡,,2019/8/20 17:15:43,https://gz.shop.fang.com/zu/3_241588382.html,
50万元,28000元/月,押三付一,18.00㎡,,72个月,空转,第1层(共39层),精装修,临街门面,否,,琶洲商业广场商铺,海珠琶洲蟠龙新街3号,4.00米,17.00米,3.80米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/22 12:01:51,https://gz.shop.fang.com/zu/3_237449502.html,"113.383905,23.098788"
,19800元/月,押二付一,89㎡,,,,第1层(共1层),精装修,住宅底商,是,百货超市,广东省广州市天河区花城大道20号,广东省广州市天河区花城大道20号,3.30米,4.00米,3.60米,,5.00元/㎡·月,"网络,暖气,停车位,货梯,扶梯,燃气",2019/9/7 22:58:11,https://gz.shop.fang.com/zu/3_242106988.html,"113.318205,23.118712"
,187000元/月,押二付一,1700㎡,,,,第4层(共30层),毛坯,写字楼配套底商,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",先烈中路商业裙楼商铺4楼,先烈中路80号,17.00米,100.00米,3.50米,,30.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/30 14:03:48,https://gz.shop.fang.com/zu/3_241856832.html,"113.306029,23.146242"
,65000元/月,租金已包含,暂无,,,,住宅底商,,否,中海花湾壹号商铺,,客梯0个，货梯0个,中海花湾壹号商铺,,,,0.00㎡,200㎡,,2019/8/25 12:45:29,https://gz.shop.fang.com/zu/3_241722806.html,
